OTU,LDA_score,CLass
Thermoanaerobacteraceae,4.466008981903216,CD
Enterobacteriaceae,7.131641551087344,CD
Methanobacteriaceae,4.829031682227683,UC
Family_XIII,5.643887006408647,UC
Clostridiaceae_1,6.1269979069069125,UC
Clostridiales_vadinBB60_group,4.541403508752783,nonIBD
Victivallaceae,4.613502231906244,nonIBD
Actinomycetaceae,5.203676833271277,nonIBD
Coriobacteriaceae,5.760931207767321,nonIBD
Rhodospirillaceae,5.865190151665333,nonIBD
Mollicutes_RF9__order__,5.964205467327282,nonIBD
Christensenellaceae,6.127536805812537,nonIBD
Desulfovibrionaceae,6.616285698462607,nonIBD
Erysipelotrichaceae,6.774190617713652,nonIBD
Verrucomicrobiaceae,6.945141044790602,nonIBD
Alcaligenaceae,7.176361011206346,nonIBD
Rikenellaceae,7.196516570487968,nonIBD
Porphyromonadaceae,7.254205593141839,nonIBD
Ruminococcaceae,7.979593081333022,nonIBD
Lachnospiraceae,8.12734964845205,nonIBD
Bacteroidaceae,8.30900427378829,nonIBD
