OTU,LDA_score,CLass
Thermoanaerobacteraceae,4.465586551135566,CD
Enterobacteriaceae,7.131641497404559,CD
Methanobacteriaceae,4.845788675439106,UC
Family_XIII,5.643899380882295,UC
Clostridiaceae_1,6.128041017743818,UC
Clostridiales_vadinBB60_group,4.537896381165277,nonIBD
Victivallaceae,4.591064853412267,nonIBD
Actinomycetaceae,5.204490589523727,nonIBD
Coriobacteriaceae,5.760908376449348,nonIBD
Rhodospirillaceae,5.839304269482789,nonIBD
Mollicutes_RF9__order__,5.973971262241027,nonIBD
Christensenellaceae,6.127548698658514,nonIBD
Desulfovibrionaceae,6.616285862090914,nonIBD
Erysipelotrichaceae,6.7741898467997155,nonIBD
Verrucomicrobiaceae,6.945141367193472,nonIBD
Alcaligenaceae,7.176361058859746,nonIBD
Rikenellaceae,7.1965165631297445,nonIBD
Porphyromonadaceae,7.254205747193779,nonIBD
Ruminococcaceae,7.97959308320848,nonIBD
Lachnospiraceae,8.127349647199317,nonIBD
Bacteroidaceae,8.309004273778697,nonIBD
