OTU,LDA_score,CLass
f__Eubacterium_xylanophilum_group,5.469129000278469,CD
Family_XIII_AD3011_group,5.533842665093322,CD
Family_XIII,5.680469699074914,CD
Deltaproteobacteria,6.397364004049972,CD
Desulfovibrionales,6.403766723942864,CD
Desulfovibrionaceae,6.408235296184991,CD
Bilophila,6.415310359326454,CD
Lachnospiraceae_NK4A136_group,6.815845565492109,CD
Alcaligenaceae,7.216708395570396,CD
Burkholderiales,7.219861951281787,CD
Bacilli,7.241077121278358,CD
Betaproteobacteria,7.267260862701895,CD
Fusobacteria,7.361906498873752,CD
Fusobacteriia,7.361906498873752,CD
Fusobacteriales,7.361906498873752,CD
Fusobacteriaceae,7.363660283509799,CD
Fusobacterium,7.363660283509799,CD
Hafnia_Obesumbacterium,4.374788596981507,UC
Lachnospiraceae_FCS020_group,4.924519247087124,UC
Prevotellaceae_NK3B31_group,5.4338425866041415,UC
f__Eubacterium_ventriosum_group,5.745188937189266,UC
Ruminococcaceae_UCG_013,5.77137023118204,UC
Ruminococcaceae_UCG_004,5.818434623886883,UC
Peptostreptococcaceae,6.4136922354145485,UC
Haemophilus,6.563533017078131,UC
Pasteurellales,6.567180674858107,UC
Pasteurellaceae,6.567180674858107,UC
f__Eubacterium_coprostanoligenes_group,6.637122894133617,UC
f__Eubacterium_hallii_group,6.747996214023171,UC
Prevotella,7.272970456434976,UC
Rikenellaceae,7.573387246548508,UC
Alistipes,7.573990340646942,UC
Christensenella,3.8835460191667646,nonIBD
Defluviitaleaceae,4.864902921783452,nonIBD
Defluviitaleaceae_UCG_011,4.895670023946146,nonIBD
Lactonifactor,5.0396548579132245,nonIBD
Ruminococcaceae_UCG_008,5.251590481042484,nonIBD
Clostridiales_vadinBB60_group__family__,5.418800242678931,nonIBD
Lachnospiraceae_UCG_001,5.444039157119961,nonIBD
Clostridiales_vadinBB60_group,5.455259652816124,nonIBD
Stomatobaculum,5.545326795667401,nonIBD
Coriobacteriales,5.680453312724227,nonIBD
Coriobacteriaceae,5.680453312724224,nonIBD
Coriobacteriia,5.680453312724353,nonIBD
Granulicatella,5.730362015297378,nonIBD
Carnobacteriaceae,5.7312158620257865,nonIBD
Holdemania,5.803507756444032,nonIBD
Ruminococcaceae_NK4A214_group,5.858364140216574,nonIBD
Butyricicoccus,5.889232936802865,nonIBD
Lachnospiraceae_ND3007_group,5.9477419337768636,nonIBD
Ruminococcaceae_UCG_003,5.9981858262033825,nonIBD
Mollicutes_RF9,6.155198666482184,nonIBD
Dorea,6.1561881619273535,nonIBD
Mollicutes_RF9__order__,6.173197475303628,nonIBD
Mollicutes,6.189127494424162,nonIBD
Tenericutes,6.191205876161407,nonIBD
Lachnospira,6.205484117842141,nonIBD
Odoribacter,6.217823516320361,nonIBD
Ruminococcaceae_UCG_014,6.268070627587203,nonIBD
f__Eubacterium_eligens_group,6.310700879509013,nonIBD
Ruminococcaceae_UCG_005,6.320713185715268,nonIBD
Ruminiclostridium,6.3843153469613405,nonIBD
Fusicatenibacter,6.416082949111002,nonIBD
Megasphaera,6.510722375542701,nonIBD
Ruminococcaceae_UCG_002,6.627385111503646,nonIBD
Ruminococcus,6.705214311796512,nonIBD
Roseburia,6.743592414534337,nonIBD
Christensenellaceae_R_7_group,6.788958338428866,nonIBD
Bifidobacteriales,6.797085950687469,nonIBD
Bifidobacteriaceae,6.797085950687469,nonIBD
Christensenellaceae,6.797362911871186,nonIBD
Bifidobacterium,6.798995334513805,nonIBD
Flavonifractor,6.830438097341468,nonIBD
Akkermansia,7.017848186409185,nonIBD
Streptococcus,7.018891832176792,nonIBD
Streptococcaceae,7.018969150333227,nonIBD
Verrucomicrobia,7.0321133275969885,nonIBD
Verrucomicrobiales,7.033223960479238,nonIBD
Verrucomicrobiaceae,7.035183163981059,nonIBD
Lactobacillales,7.036073086501399,nonIBD
Lachnospiraceae_UCG_008,7.042767443021751,nonIBD
Verrucomicrobiae,7.053593838418473,nonIBD
Actinobacteria,7.061551792742263,nonIBD
uncultured,7.145911211711293,nonIBD
Negativicutes,7.175218775489922,nonIBD
Selenomonadales,7.175218775489922,nonIBD
Veillonella,7.176309694605891,nonIBD
Blautia,7.19489976026341,nonIBD
Veillonellaceae,7.1971954084930445,nonIBD
Coprococcus,7.207638812287726,nonIBD
Porphyromonadaceae,7.244678316528478,nonIBD
Anaerostipes,7.449899681717664,nonIBD
Subdoligranulum,7.456064498370647,nonIBD
Faecalibacterium,7.840074358661801,nonIBD
Ruminococcaceae,8.064895582148376,nonIBD
Bacteroidaceae,8.159618364117904,nonIBD
Bacteroides,8.159618364117904,nonIBD
Lachnospiraceae,8.213906725534798,nonIBD
Bacteroidetes,8.239761709416939,nonIBD
Bacteroidia,8.250142225992377,nonIBD
Bacteroidales,8.250142225992377,nonIBD
Clostridia,8.43934744420684,nonIBD
Clostridiales,8.439349905243569,nonIBD
Firmicutes,8.49329772767514,nonIBD
Bacteria,8.685324999148396,nonIBD
