OTU,LDA_score,CLass
Comamonadaceae,5.837354665708287,CD
Clostridiales_vadinBB60_group,5.801218081801939,UC
Family_XIII,5.934928683401593,UC
Bifidobacteriaceae,6.716545241505076,UC
Peptostreptococcaceae,6.73902791548313,UC
Enterobacteriaceae,7.568534878524253,UC
Rikenellaceae,7.849087559866576,UC
Peptococcaceae,5.906467417727736,nonIBD
Mollicutes_RF9__order__,6.231975428793124,nonIBD
Coriobacteriaceae,6.28866730631405,nonIBD
Carnobacteriaceae,6.435208252315466,nonIBD
Christensenellaceae,6.847956379607247,nonIBD
Verrucomicrobiaceae,6.936510673416199,nonIBD
Desulfovibrionaceae,7.0204508370259076,nonIBD
Erysipelotrichaceae,7.0358318969681095,nonIBD
Alcaligenaceae,7.206245387555504,nonIBD
Streptococcaceae,7.281613636948919,nonIBD
Pasteurellaceae,7.378851420082442,nonIBD
Porphyromonadaceae,7.404707296187251,nonIBD
Veillonellaceae,7.4478928488783485,nonIBD
Ruminococcaceae,8.377883579688774,nonIBD
Lachnospiraceae,8.418448095878663,nonIBD
Bacteroidaceae,8.528701547946595,nonIBD
