OTU,LDA_score,CLass
Porphyromonadaceae,7.250494347266825,UC
Bifidobacteriaceae,6.687982569519963,UC
Clostridiales_vadinBB60_group,5.866176680342797,nonIBD
Family_XIII,5.920279621056088,nonIBD
Coriobacteriaceae,6.0650048880408765,nonIBD
Mollicutes_RF9__order__,6.202612186672265,nonIBD
Peptostreptococcaceae,6.268073244911357,nonIBD
Carnobacteriaceae,6.331775180874274,nonIBD
Christensenellaceae,6.770418046354718,nonIBD
Desulfovibrionaceae,6.808636533045295,nonIBD
Verrucomicrobiaceae,6.977185449852418,nonIBD
Prevotellaceae,7.1362987854530795,nonIBD
Streptococcaceae,7.176818166109447,nonIBD
Alcaligenaceae,7.179849696275436,nonIBD
Rikenellaceae,7.339971768823248,nonIBD
Veillonellaceae,7.342364315307142,nonIBD
Erysipelotrichaceae,7.462772152476375,nonIBD
Enterobacteriaceae,7.749506333245373,nonIBD
Ruminococcaceae,8.392438391223621,nonIBD
Bacteroidaceae,8.48162348010221,nonIBD
Lachnospiraceae,8.560059509177115,nonIBD
