OTU,LDA_score,CLass
Negativicoccus,5.305403304545844,nonIBD
Latescibacteria__phylum__,5.478797982006443,nonIBD
Gelria,5.486167202864538,nonIBD
JG30_KF_CM45__order__,5.504275347200893,nonIBD
Lachnospiraceae_FCS020_group,5.518208885349356,nonIBD
Tepidimonas,5.52053358310303,nonIBD
Lactonifactor,5.521980761661133,nonIBD
Cnuella,5.664303705385881,nonIBD
Campylobacter,5.699314207040495,nonIBD
Ruminococcaceae_UCG_011,5.721634722421139,nonIBD
Victivallaceae__family__,5.985770156515884,nonIBD
Family_XIII_UCG_001,5.986810131677341,nonIBD
vadinBE97__family__,6.092016856634407,nonIBD
Rikenellaceae_RC9_gut_group,6.1764562153402105,nonIBD
Defluviitaleaceae_UCG_011,6.234086971140095,nonIBD
Clostridiales_vadinBB60_group__family__,6.3899699128865155,nonIBD
Peptococcus,6.4214668482602075,nonIBD
Collinsella,6.436174631363525,nonIBD
Ruminococcaceae_UCG_010,6.4975207008159925,nonIBD
Granulicatella,6.570273606233771,nonIBD
Howardella,7.19443765911077,nonIBD
Mollicutes_RF9__order__,7.317610144247517,nonIBD
Ruminococcaceae_UCG_008,7.50453035895099,nonIBD
Succiniclasticum,7.578697650379086,nonIBD
Ruminiclostridium,7.622455614716788,nonIBD
Lachnospiraceae_UCG_010,7.914391143175876,nonIBD
f__Eubacterium_rectale_group,8.38734132651953,nonIBD
