OTU,LDA_score,CLass
Hafnia_Obesumbacterium,3.9439717758343646,CD
Hungatella,4.60933729022732,CD
Ruminococcaceae_UCG_004,5.154744516939533,CD
Lactonifactor,5.207438825354095,CD
Butyricicoccus,5.8168381451102,CD
f__Clostridium_innocuum_group,5.839054638792011,CD
Ruminococcaceae_UCG_013,6.029384814811437,CD
Anaerococcus,6.083346040976502,CD
f__Eubacterium_xylanophilum_group,6.117129734140393,CD
Ruminococcaceae_NK4A214_group,6.128538129207544,CD
f__Eubacterium_eligens_group,6.272181359126737,CD
Parasutterella,6.445481970603204,CD
Fusicatenibacter,6.495461764534075,CD
Ruminococcus,6.582000180906696,CD
Christensenellaceae_R_7_group,6.655575331560533,CD
Ruminococcaceae_UCG_005,6.732899336697662,CD
Coprococcus,6.784600412868272,CD
Blautia,6.87987169565958,CD
Romboutsia,5.401458299000904,UC
Lachnospiraceae_UCG_001,5.432400483540619,UC
Clostridiales_vadinBB60_group__family__,5.443863158296821,UC
f__Eubacterium_ventriosum_group,5.822768664058533,UC
Dorea,6.189943888618917,UC
Lachnospira,6.317977147797871,UC
f__Eubacterium_coprostanoligenes_group,6.425645206435006,UC
Bilophila,6.4631784234111365,UC
Prevotellaceae_NK3B31_group,6.488862225975967,UC
Bifidobacterium,6.5050809144149895,UC
Ruminococcaceae_UCG_014,6.565061843605663,UC
Roseburia,6.8458976395838,UC
Ruminococcaceae_UCG_002,6.973444924368638,UC
uncultured,7.266629594030703,UC
Stomatobaculum,4.874248893315742,nonIBD
Holdemania,5.029253575002205,nonIBD
Mollicutes_RF9__order__,5.277060344593012,nonIBD
Lachnospiraceae_FCS020_group,5.31912985617937,nonIBD
Lachnospiraceae_ND3007_group,5.9848871190141235,nonIBD
Akkermansia,7.340538095829288,nonIBD
Alistipes,7.472024763112164,nonIBD
