OTU,LDA_score,CLass
Comamonadaceae,5.832440894932327,CD
Clostridiales_vadinBB60_group,5.802166048040939,UC
Family_XIII,5.939048845977983,UC
Bifidobacteriaceae,6.716753362596614,UC
Peptostreptococcaceae,6.7391380655793975,UC
Enterobacteriaceae,7.568534783984321,UC
Rikenellaceae,7.849087885912241,UC
Peptococcaceae,5.9012649055279764,nonIBD
Mollicutes_RF9__order__,6.225200151304569,nonIBD
Coriobacteriaceae,6.287326036512263,nonIBD
Carnobacteriaceae,6.435939472532445,nonIBD
Christensenellaceae,6.8479568110943765,nonIBD
Verrucomicrobiaceae,6.936501423906018,nonIBD
Desulfovibrionaceae,7.020466007434486,nonIBD
Erysipelotrichaceae,7.035820908794806,nonIBD
Alcaligenaceae,7.206247202145029,nonIBD
Streptococcaceae,7.281628657487085,nonIBD
Pasteurellaceae,7.378847516424303,nonIBD
Porphyromonadaceae,7.404712055188268,nonIBD
Veillonellaceae,7.447890246592058,nonIBD
Ruminococcaceae,8.377883626630382,nonIBD
Lachnospiraceae,8.418448132593852,nonIBD
Bacteroidaceae,8.528701552177004,nonIBD
