OTU,LDA_score,CLass
Porphyromonadaceae,7.250498818595492,UC
Bifidobacteriaceae,6.688351467214258,UC
Clostridiales_vadinBB60_group,5.852127245523806,nonIBD
Family_XIII,5.926967247506247,nonIBD
Coriobacteriaceae,6.067114292889548,nonIBD
Mollicutes_RF9__order__,6.1979585053023305,nonIBD
Peptostreptococcaceae,6.269121117936512,nonIBD
Carnobacteriaceae,6.331407206610298,nonIBD
Christensenellaceae,6.7705950163822175,nonIBD
Desulfovibrionaceae,6.808691160760445,nonIBD
Verrucomicrobiaceae,6.973907071108397,nonIBD
Prevotellaceae,7.136314609993657,nonIBD
Streptococcaceae,7.176844685595705,nonIBD
Alcaligenaceae,7.179881894246211,nonIBD
Rikenellaceae,7.3399814052968795,nonIBD
Veillonellaceae,7.342386396622537,nonIBD
Erysipelotrichaceae,7.462778970597714,nonIBD
Enterobacteriaceae,7.749507885219841,nonIBD
Ruminococcaceae,8.392438540896647,nonIBD
Bacteroidaceae,8.481623482535081,nonIBD
Lachnospiraceae,8.560059572537728,nonIBD
