OTU,LDA_score,CLass
Defluviitaleaceae_UCG_011,3.8229554440885964,CD
Lachnospiraceae_UCG_001,5.332224161874906,CD
f__Eubacterium_xylanophilum_group,6.0565360454431945,CD
Bilophila,6.274053682160755,CD
Ruminococcaceae_UCG_005,6.525473863285813,CD
Blautia,6.545769400516137,CD
Ruminiclostridium,6.5613686297934946,CD
Akkermansia,6.888556258511847,CD
Alistipes,7.113151135160263,CD
uncultured,7.226534273421195,CD
Christensenella,4.141647546330588,UC
Ruminococcaceae_UCG_004,4.86322480759073,UC
Hafnia_Obesumbacterium,5.1464016120750955,UC
Holdemania,5.33511701934622,UC
f__Eubacterium_ventriosum_group,5.413627950342655,UC
Prevotellaceae_NK3B31_group,6.161714466176253,UC
Bifidobacterium,6.579461197378259,UC
Dorea,6.812035208014618,UC
Haemophilus,7.045726822504133,UC
Lactonifactor,4.464278951809014,nonIBD
Clostridiales_vadinBB60_group__family__,5.184665478493496,nonIBD
Stomatobaculum,5.373724060951949,nonIBD
Ruminococcaceae_UCG_013,5.530794992294142,nonIBD
Butyricicoccus,5.653088038778432,nonIBD
Lachnospiraceae_ND3007_group,5.778166114933315,nonIBD
Ruminococcaceae_UCG_008,5.853902917110853,nonIBD
f__Eubacterium_eligens_group,6.006944591321498,nonIBD
Ruminococcaceae_NK4A214_group,6.033272922371925,nonIBD
Mollicutes_RF9__order__,6.15906297019537,nonIBD
Lachnospira,6.234516034869101,nonIBD
f__Eubacterium_coprostanoligenes_group,6.296450884011321,nonIBD
Ruminococcaceae_UCG_014,6.388026503075165,nonIBD
Ruminococcaceae_UCG_003,6.4876806719482065,nonIBD
Parasutterella,6.49382391012318,nonIBD
Fusicatenibacter,6.595992162924928,nonIBD
Christensenellaceae_R_7_group,6.65784164069273,nonIBD
Streptococcus,6.670668737824824,nonIBD
Ruminococcus,6.675270102841588,nonIBD
Coprococcus,6.677866635099353,nonIBD
Anaerostipes,6.817091441165631,nonIBD
Lachnospiraceae_NK4A136_group,6.928893249353267,nonIBD
Subdoligranulum,6.953178211640302,nonIBD
Ruminococcaceae_UCG_002,6.960634359087824,nonIBD
