OTU,LDA_score,CLass
Negativicoccus,5.302646362922057,nonIBD
Latescibacteria__phylum__,5.437466205761503,nonIBD
Lactonifactor,5.4766590678802745,nonIBD
Gelria,5.4971223383183405,nonIBD
Lachnospiraceae_FCS020_group,5.50180381679567,nonIBD
Tepidimonas,5.537631354250205,nonIBD
JG30_KF_CM45__order__,5.543477893359867,nonIBD
Cnuella,5.648112773952181,nonIBD
Campylobacter,5.6837615932444105,nonIBD
Ruminococcaceae_UCG_011,5.7278253958150325,nonIBD
Victivallaceae__family__,5.985898186933735,nonIBD
Family_XIII_UCG_001,5.9900037455626505,nonIBD
vadinBE97__family__,6.1068052457599125,nonIBD
Rikenellaceae_RC9_gut_group,6.179317816016865,nonIBD
Defluviitaleaceae_UCG_011,6.226712088932762,nonIBD
Clostridiales_vadinBB60_group__family__,6.3846832493927925,nonIBD
Peptococcus,6.412841555648974,nonIBD
Collinsella,6.4361608725878074,nonIBD
Ruminococcaceae_UCG_010,6.484031209608289,nonIBD
Granulicatella,6.572054669260499,nonIBD
Howardella,7.144851476433609,nonIBD
Mollicutes_RF9__order__,7.324386530795893,nonIBD
Ruminococcaceae_UCG_008,7.514931088364303,nonIBD
Succiniclasticum,7.6192161632233075,nonIBD
Ruminiclostridium,7.622454861726643,nonIBD
Lachnospiraceae_UCG_010,7.950526841701519,nonIBD
f__Eubacterium_rectale_group,8.387341315721846,nonIBD
