OTU,LDA_score,CLass
f__Eubacterium_rectale_group,7.999663382104213,CD
Lachnospiraceae_UCG_010,7.489058199339282,CD
Gammaproteobacteria,7.330009181101626,CD
Pasteurellales,7.260208065619967,CD
Pasteurellaceae,7.260208065612586,CD
Haemophilus,7.2574396171409745,CD
Bacilli,7.050453748533511,CD
Lactobacillales,6.9838761032276855,CD
Escherichia_Shigella,6.645596809999734,CD
Enterobacteriaceae,6.6450869930262675,CD
Enterobacteriales,6.641183370097678,CD
Ruminococcaceae_UCG_003,6.6203975017160275,CD
Veillonella,6.5654101970399665,CD
Family_XI,5.997332260425212,CD
Pseudomonadales,5.983337468636569,CD
Actinomyces,5.920319411887448,CD
Actinomycetaceae,5.912202584809303,CD
Actinomycetales,5.888386674758981,CD
Flavonifractor,5.874154738975537,CD
Pseudomonas,5.821924819300183,CD
Pseudomonadaceae,5.821892420415118,CD
Moraxellaceae,5.488131121585286,CD
Acinetobacter,5.332009766723368,CD
Peptoniphilus,5.328001827999443,CD
Staphylococcus,4.993647308422026,CD
Staphylococcaceae,4.989634911180827,CD
Atopobium,4.352908019533127,CD
Candidatus_Stoquefichus,4.179174715173778,CD
Dielma,4.354865853613255,UC
Christensenella,4.546751895610814,UC
Lachnospiraceae_FCS020_group,4.549601438565601,UC
Mogibacterium,4.601158023082156,UC
vadinBE97__family__,4.8707781158089745,UC
vadinBE97,4.875883945311833,UC
Gastranaerophilales,4.936881336272262,UC
Melainabacteria,4.939578855658337,UC
Gastranaerophilales__order__,4.948597512164716,UC
Corynebacterium,4.951136480646719,UC
Hungatella,4.9518370635905145,UC
Candidatus_Soleaferrea,5.17625183538194,UC
Corynebacteriales,5.214951328728323,UC
Corynebacteriaceae,5.2156334989122355,UC
Peptostreptococcus,5.243318038553582,UC
f__Ruminococcus_gauvreauii_group,5.287211772652197,UC
Oscillibacter,5.329964468136999,UC
f__Clostridium_innocuum_group,5.331937101777555,UC
Senegalimassilia,5.400502986693974,UC
Anaerotruncus,5.644501371177556,UC
Porphyromonas,5.7288266287951615,UC
Butyricimonas,5.791571296676032,UC
Lachnospiraceae_UCG_001,5.7967364410777575,UC
Clostridiales_vadinBB60_group,5.883407399627783,UC
Clostridiales_vadinBB60_group__family__,5.894374777468379,UC
Ruminococcaceae_UCG_013,5.982002654266697,UC
Odoribacter,5.982391332682719,UC
Barnesiella,6.017940344076603,UC
Victivallis,6.057662861504341,UC
Victivallaceae,6.0580194729809005,UC
Lentisphaeria,6.072249105496027,UC
Victivallales,6.093908878369769,UC
f__Eubacterium_eligens_group,6.095112822241234,UC
Lentisphaerae,6.09628660535672,UC
Ruminococcaceae_NK4A214_group,6.106068598592015,UC
Prevotellaceae_NK3B31_group,6.179757591272672,UC
Ruminococcaceae_UCG_005,6.231101951422973,UC
f__Eubacterium_xylanophilum_group,6.254217302485385,UC
f__Eubacterium_ventriosum_group,6.3227579532143565,UC
Peptostreptococcaceae,6.327045487269399,UC
Collinsella,6.34385286379332,UC
Coriobacteriales,6.412622660423618,UC
Coriobacteriaceae,6.413419924785642,UC
Coriobacteriia,6.413509196598824,UC
Bilophila,6.586973060102446,UC
Butyricicoccus,6.680686304652462,UC
Lachnospira,6.772355298679098,UC
Ruminococcaceae_UCG_014,6.905995259188284,UC
Veillonellaceae,6.910048722012946,UC
Alistipes,6.951161550633444,UC
Rikenellaceae,6.952545619186185,UC
Holdemanella,6.959356656596185,UC
Ruminiclostridium,6.965793758320292,UC
Dorea,6.974628025328561,UC
Acidaminococcaceae,7.012825692483401,UC
Phascolarctobacterium,7.014803226294225,UC
Parabacteroides,7.105215166850421,UC
Parasutterella,7.116067123686286,UC
Sutterella,7.136081230239005,UC
Bifidobacterium,7.144716176867356,UC
Bifidobacteriaceae,7.144829735805243,UC
Bifidobacteriales,7.144870332532674,UC
Porphyromonadaceae,7.173813006286555,UC
Ruminococcus,7.1982077842886145,UC
Actinobacteria,7.200034954722856,UC
Coprococcus,7.200146240558615,UC
Negativicutes,7.2334273278885215,UC
Selenomonadales,7.234745909109907,UC
Subdoligranulum,7.240837891153216,UC
Erysipelotrichaceae,7.261387348984344,UC
Erysipelotrichales,7.261495855994189,UC
Erysipelotrichia,7.261567144202783,UC
Lachnoclostridium,7.385735834341286,UC
f__Eubacterium_hallii_group,7.3899624114764055,UC
Blautia,7.419099655017859,UC
Alcaligenaceae,7.421802348013821,UC
Burkholderiales,7.4259595359444,UC
Betaproteobacteria,7.430295370483373,UC
Roseburia,7.455379479157194,UC
Anaerostipes,7.557112656644607,UC
Lachnospiraceae_UCG_008,7.575935441073831,UC
Proteobacteria,7.679649900013931,UC
uncultured,7.684935527606762,UC
f__Ruminococcus_gnavus_group,7.8402132709469585,UC
Prevotella,8.22586982075432,UC
Prevotellaceae,8.317179246759837,UC
Bacteroides,8.575165997999425,UC
Bacteroidaceae,8.576604004264158,UC
Faecalibacterium,8.580727966954521,UC
Lachnospiraceae,8.592255259342322,UC
Ruminococcaceae,8.669127098827929,UC
Bacteroidia,8.782877188298126,UC
Bacteroidetes,8.784452416772055,UC
Bacteroidales,8.784480585007532,UC
Clostridia,8.943746387107511,UC
Clostridiales,8.944794033609073,UC
Firmicutes,8.959075230772399,UC
Bacteria,9.201853371122075,UC
