OTU,LDA_score,CLass
Rhodospirillaceae,5.424656785150276,UC
Micromonosporaceae,5.366771463760751,UC
Methylobacteriaceae,4.950507927910763,UC
Geodermatophilaceae,4.840082126998275,UC
Christensenellaceae,4.782504284065713,UC
Family_XIII,4.739043885975296,UC
Methanobacteriaceae,4.638541200571721,UC
Rikenellaceae,4.611673682005601,UC
Corynebacteriaceae,4.444921129852011,UC
Blastocatellaceae_Subgroup_4_,4.421569794972317,UC
JG30_KF_CM45_order_,4.42148874766327,UC
Elev_16S_1332,4.116262767650072,UC
Micrococcaceae,3.9013252180460682,UC
Opitutaceae,3.8377648458675115,UC
Victivallaceae,3.542503793486958,UC
Thermoanaerobacteraceae,3.414029675086503,UC
Defluviitaleaceae,3.3660962000285988,UC
Prevotellaceae,6.946765110922103,nonIBD
Bifidobacteriaceae,7.07229908475149,nonIBD
