OTU,LDA_score,CLass
Corynebacteriaceae,6.026050749327746,CD
Erysipelotrichaceae,7.00526949401476,CD
Clostridiaceae_1,7.202830601468098,CD
Thermoanaerobacteraceae,4.4676870625787855,UC
vadinBE97,5.12354460731982,UC
Carnobacteriaceae,5.866194786550885,UC
Clostridiales_vadinBB60_group,6.12529698617783,UC
Coriobacteriaceae,6.126512881571438,UC
Peptostreptococcaceae,6.298634577135515,UC
Victivallaceae,6.334367121056151,UC
Bifidobacteriaceae,7.277324004964541,UC
Christensenellaceae,7.360421880621129,UC
Porphyromonadaceae,7.4439658674935325,UC
Ruminococcaceae,8.562188509484908,UC
Prevotellaceae,8.72132226482614,UC
Verrucomicrobiaceae,6.448134436074017,nonIBD
Rikenellaceae,7.275398880812164,nonIBD
Lachnospiraceae,8.263553861180206,nonIBD
Bacteroidaceae,8.465439503053744,nonIBD
