OTU,LDA_score,CLass
Candidatus_Stoquefichus,3.3971083526767742,CD
Oscillibacter,4.339363382028877,CD
Faecalitalea,5.450233146051881,CD
Staphylococcus,5.522983526326382,CD
f__Eubacterium_ventriosum_group,5.784013736107828,CD
Corynebacterium,6.040421177132607,CD
Roseburia,6.878019977434886,CD
Erysipelotrichaceae_UCG_003,6.9076441524795005,CD
Parabacteroides,7.143803600070599,CD
Christensenella,2.997958439427624,UC
Lachnospiraceae_FCS020_group,3.319535765531661,UC
Senegalimassilia,3.629307864371338,UC
Slackia,3.7124497012196715,UC
Gelria,3.7801134403410455,UC
vadinBE97__family__,3.867306450154829,UC
Hungatella,4.524261997187027,UC
Butyricimonas,4.729412516071683,UC
Romboutsia,4.831277177240972,UC
Clostridiales_vadinBB60_group__family__,4.967845538467266,UC
Victivallis,5.034591587863234,UC
Holdemanella,5.315527180402159,UC
Lachnospiraceae_UCG_001,5.353018048407095,UC
Atopobium,5.386783602827104,UC
Lachnospiraceae_ND3007_group,5.528572116473575,UC
f__Eubacterium_eligens_group,5.854955646824254,UC
Ruminococcaceae_NK4A214_group,6.015635230633202,UC
Ruminococcaceae_UCG_013,6.060730350860077,UC
Ruminococcaceae_UCG_005,6.110297628972581,UC
Collinsella,6.22499530105788,UC
f__Eubacterium_xylanophilum_group,6.342266781790286,UC
Barnesiella,6.7699394706354425,UC
Lachnospiraceae_UCG_010,6.968313852856369,UC
Lachnospira,7.1247120963110895,UC
Prevotellaceae_NK3B31_group,7.213517638936208,UC
Lactonifactor,3.555449827257583,nonIBD
Eubacterium,3.5916632635762284,nonIBD
Gastranaerophilales__order__,5.370979417582592,nonIBD
Intestinibacter,6.595730753911493,nonIBD
Escherichia_Shigella,8.33069641686291,nonIBD
