OTU,LDA_score,CLass
Senegalimassilia,4.8449708920673356,CD
Holdemania,5.328164695047874,CD
Staphylococcus,5.843433249234294,CD
Lachnospiraceae_UCG_010,7.474163470214992,CD
Escherichia_Shigella,8.27623763457809,CD
Gelria,3.355083054225962,UC
Victivallis,4.130550837575425,UC
Parabacteroides,4.233450405619116,UC
Prevotellaceae_NK3B31_group,4.451777387530894,UC
Blastococcus,4.675149550679942,UC
Ruminococcaceae_UCG_010,4.933520132080106,UC
Lactonifactor,5.042900939084772,UC
Hungatella,5.795481792970546,UC
Ruminococcaceae_UCG_013,5.910411374420432,UC
f__Eubacterium_ventriosum_group,6.037531619725073,UC
Bifidobacterium,6.537113153085531,UC
Intestinibacter,6.56069400770411,UC
Adlercreutzia,3.8163482953961014,nonIBD
Christensenella,4.152493089849239,nonIBD
Eubacterium,4.462192461499723,nonIBD
Lactobacillus,4.760835882189494,nonIBD
Romboutsia,5.052671526954981,nonIBD
Candidatus_Stoquefichus,5.275181399752789,nonIBD
Turicibacter,5.407794269820316,nonIBD
Ruminococcaceae_UCG_004,5.536852314445054,nonIBD
f__Ruminococcus_gauvreauii_group,5.666648299042414,nonIBD
f__Eubacterium_xylanophilum_group,5.7908601122239345,nonIBD
Ruminococcaceae_NK4A214_group,6.098200429523073,nonIBD
Lachnospira,6.613130782096189,nonIBD
Lachnospiraceae_ND3007_group,6.623190252691661,nonIBD
f__Eubacterium_eligens_group,6.635083926370389,nonIBD
Fusicatenibacter,6.934012853920179,nonIBD
f__Eubacterium_rectale_group,7.487656396506694,nonIBD
