"","Betaproteobacteria","Clostridia","Bacteroidia","Alphaproteobacteria","Actinobacteria","Gammaproteobacteria","JG30_KF_CM66","Thermoleophilia","Bacilli","Negativicutes","Flavobacteriia","Erysipelotrichia","Fusobacteriia","Coriobacteriia","Fibrobacteria","Deinococci","Chloroflexia","Spirochaetes","Acidimicrobiia","Melainabacteria","Deltaproteobacteria","Synergistia","Caldilineae","Planctomycetacia","Spartobacteria","OPB35_soil_group","Sphingobacteriia","Tectomicrobia(phylum)","Lentisphaeria","Subgroup_6","Nitrospira","Candidatus_Falkowbacteria","Cytophagia","Gitt_GS_136","Epsilonproteobacteria","Cyanobacteria(phylum)","Holophagae","Opitutae","Oligosphaeria","Chloroplast","Solibacteres","KD4_96","Verrucomicrobiae","Cyanobacteria","UA11","Elusimicrobia"
"X206615",0.0015229392728,0.517418617933,0.364743955835,0.0,0.00285551113649,0.028745478774,0.0,0.0,0.000951837045498,0.0622501427756,0.0,0.0116124119551,0.00399771559109,0.0001903674091,0.0,0.0,0.0,0.0,0.0,0.0,0.00342661336379,0.0,0.0,0.0,0.0,0.0,0.000761469636398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015229392728,0.0,0.0,0.0
"X206614",0.00424028268551,0.622614840989,0.282685512367,0.00424028268551,0.0,0.0240282685512,0.0,0.00141342756184,0.00282685512367,0.0501766784452,0.0,0.00777385159011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206617",0.001953125,0.364583333333,0.559244791667,0.00325520833333,0.005859375,0.00455729166667,0.0,0.0,0.00455729166667,0.02734375,0.0,0.0,0.0260416666667,0.00260416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206619",0.00745341614907,0.449068322981,0.452795031056,0.0,0.0,0.00652173913043,0.0,0.0,0.0,0.0689440993789,0.00807453416149,0.00124223602484,0.00341614906832,0.00248447204969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206616",0.0,0.682242990654,0.00934579439252,0.0,0.0,0.299065420561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00934579439252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206618",0.00436408977556,0.127805486284,0.246259351621,0.0,0.0,0.0835411471322,0.0,0.0,0.517456359102,0.0168329177057,0.0,0.0,0.00249376558603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00124688279302,0.0,0.0,0.0
"X206645",0.0,0.481942714819,0.354919053549,0.0336239103362,0.0,0.0286425902864,0.0,0.0,0.0199252801993,0.0809464508095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",8.47206337103e-05,0.610920489685,0.341763036388,0.0069894522811,0.00326174439785,0.00669293006312,0.0,0.0,0.000550684119117,0.0261786758165,0.0,0.0016096920405,0.000296522217986,0.00139789045622,0.0,0.0,0.0,0.0,0.0,0.0,4.23603168552e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47206337103e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23603168552e-05,8.47206337103e-05,0.0,0.0
"X206648",0.0863009680258,0.483836902317,0.354356116163,0.0150190671751,0.0,0.00170137870343,0.0,0.0,0.000586682311528,0.00956292167791,0.0,0.0332648870637,0.0,0.000293341155764,0.0,0.0,0.0,0.0,0.0,0.0,0.0150777354063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206647",0.027530117862,0.624189970861,0.159004914539,0.000739355456008,0.000260948984474,0.000739355456008,0.0,0.0,0.0153090070891,0.00608880963772,0.0,0.122254599226,0.000173965989649,0.000173965989649,0.0,0.0,0.0,0.0,0.0,0.0,0.0434045144174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000130474492237,0.0,0.0,0.0,0.0,0.0,0.0
"X206656",0.00115207373272,0.524193548387,0.274193548387,0.0,0.00172811059908,0.0259216589862,0.0,0.0,0.0,0.0253456221198,0.0,0.0714285714286,0.0293778801843,0.00172811059908,0.0,0.00345622119816,0.0,0.0,0.0,0.0,0.0230414746544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109447004608,0.00345622119816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00403225806452,0.0,0.0,0.0
"X206655",0.0115384615385,0.712393162393,0.207692307692,0.0141025641026,0.0,0.0183760683761,0.0,0.0,0.0,0.00811965811966,0.0,0.0196581196581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00555555555556,0.00213675213675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042735042735,0.0,0.0,0.0
"X206659",0.0288302481292,0.339346199291,0.270342654588,0.00181173690429,0.00275699094132,0.0141788105553,0.0,0.0,0.00890114218196,0.274832611264,0.0,0.00748326112643,0.0083497439937,0.000551398188263,0.0,0.0,0.0,0.0,0.0,0.00401732965735,0.0282000787712,0.00945254037022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000945254037022,0.0,0.0,0.0
