"","x"
"1","Lactobacillus"
"2","Sphingobacterium"
"3","Senegalimassilia"
"4","Prevotellaceae_UCG_003"
"5","Hydrogenoanaerobacterium"
"6","Faecalibaculum"
"7","Family_XIII_UCG_001"
"8","_Eubacterium_nodatum_group"
"9","Enhydrobacter"
"10","_Ruminococcus_torques_group"
"11","Chitinophagaceae(family)"
"12","Paenibacillus"
"13","Chloronema"
"14","Motilibacter"
"15","Zimmermannella"
"16","Geobacter"
"17","env_OPS_17(family)"
"18","Peptostreptococcus"
"19","Anaerofilum"
"20","Rikenellaceae_RC9_gut_group"
"21","Acidaminococcus"
"22","Lachnoclostridium"
"23","Petrimonas"
"24","Cyanobacteria(phylum)"
"25","Aggregatibacter"
"26","Eubacterium"
"27","Catonella"
"28","Proteiniphilum"
"29","Dielma"
"30","Flavonifractor"
"31","Granulicatella"
"32","Lachnospiraceae_ND3007_group"
"33","Rikenella"
"34","Christensenella"
"35","Lachnospiraceae_UCG_010"
"36","Actinotignum"
"37","Polymorphobacter"
"38","Gardnerella"
