"","x"
"1","uncultured(family)"
"2","Sphingobacterium"
"3","Prevotellaceae_UCG_003"
"4","Hydrogenoanaerobacterium"
"5","_Eubacterium_brachy_group"
"6","Romboutsia"
"7","Desulfovibrio"
"8","Faecalibaculum"
"9","Family_XIII_UCG_001"
"10","_Ruminococcus_torques_group"
"11","Chitinophagaceae(family)"
"12","Roseomonas"
"13","env_OPS_17(family)"
"14","Phenylobacterium"
"15","Gitt_GS_136(class)"
"16","Anaerofilum"
"17","Rikenellaceae_RC9_gut_group"
"18","Staphylococcus"
"19","Acidaminococcus"
"20","Lachnoclostridium"
"21","Aggregatibacter"
"22","Brevibacterium"
"23","Catonella"
"24","Skermanella"
"25","Enterorhabdus"
"26","Z20"
"27","Finegoldia"
"28","Shuttleworthia"
"29","Rikenella"
"30","Lachnospiraceae_UCG_010"
"31","Megamonas"
"32","Lawsonella"
