"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Actinobacteria","Gammaproteobacteria","JG30_KF_CM66","Solibacteres","Thermoleophilia","Flavobacteriia","Sphingobacteriia","Bacilli","Negativicutes","Erysipelotrichia","Fusobacteriia","Deinococci","Coriobacteriia","Fibrobacteria","Opitutae","Chloroflexia","Spirochaetes","Acidimicrobiia","Melainabacteria","Deltaproteobacteria","Blastocatellia","Subgroup_6","Synergistia","Nitrospira","Mollicutes","Caldilineae","Planctomycetacia","WCHA1_57","Spartobacteria","OPB35_soil_group","Tectomicrobia(phylum)","Lentisphaeria","Methanobacteria","Proteobacteria_Incertae_Sedis","Candidatus_Falkowbacteria","Chloroplast","Cytophagia","Gitt_GS_136","Epsilonproteobacteria","Cyanobacteria(phylum)","Holophagae","Oligosphaeria","KD4_96","Verrucomicrobiae","Cyanobacteria","UA11","Elusimicrobia"
"X206615",0.0,0.0015229392727964973,0.5174186179326099,0.3647439558347611,0.0028555111364934323,0.028745478774033887,0.0,0.0,0.0,0.0,0.0007614696363982486,0.0009518370454978108,0.06225014277555682,0.01161241195507329,0.003997715591090805,0.0,0.00019036740909956216,0.0,0.0,0.0,0.0,0.0,0.0,0.0034266133637921186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015229392727964973,0.0,0.0,0.0
"X206614",0.004240282685512367,0.004240282685512367,0.6226148409893993,0.2826855123674912,0.0,0.02402826855123675,0.0,0.0,0.0014134275618374558,0.0,0.0,0.0028268551236749115,0.05017667844522968,0.0077738515901060075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206617",0.0032552083333333335,0.001953125,0.3645833333333333,0.5592447916666666,0.005859375,0.004557291666666667,0.0,0.0,0.0,0.0,0.0,0.004557291666666667,0.02734375,0.0,0.026041666666666668,0.0,0.0026041666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206619",0.0,0.007453416149068323,0.44906832298136645,0.45279503105590063,0.0,0.006521739130434782,0.0,0.0,0.0,0.008074534161490683,0.0,0.0,0.06894409937888199,0.0012422360248447205,0.0034161490683229812,0.0,0.002484472049689441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206616",0.0,0.0,0.6822429906542056,0.009345794392523364,0.0,0.29906542056074764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206618",0.0,0.004364089775561097,0.12780548628428928,0.24625935162094764,0.0,0.08354114713216958,0.0,0.0,0.0,0.0,0.0,0.5174563591022444,0.01683291770573566,0.0,0.0024937655860349127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012468827930174563,0.0,0.0,0.0
"X206645",0.033623910336239106,0.0,0.48194271481942713,0.3549190535491905,0.0,0.028642590286425903,0.0,0.0,0.0,0.0,0.0,0.019925280199252802,0.08094645080946451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",0.006989452281103063,8.472063371034016e-05,0.6109204896852628,0.34176303638751215,0.003261744397848096,0.006692930063116872,0.0,0.0,0.0,0.0,0.0,0.000550684119117211,0.026178675816495106,0.001609692040496463,0.00029652221798619053,0.0,0.0013978904562206124,0.0,0.0,0.0,0.0,0.0,0.0,4.236031685517008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.472063371034016e-05,0.0,0.0,0.0,0.0,4.236031685517008e-05,8.472063371034016e-05,0.0,0.0
"X206648",0.01501906717512467,0.08630096802581402,0.4838369023173951,0.3543561161630977,0.0,0.0017013787034320916,0.0,0.0,0.0,0.0,0.0,0.0005866823115283074,0.009562921677911411,0.03326488706365503,0.0,0.0,0.0002933411557641537,0.0,0.0,0.0,0.0,0.0,0.0,0.015077735406277501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206647",0.0007393554560083504,0.027530117861957987,0.6241899708606967,0.1590049145392076,0.0002609489844735354,0.0007393554560083504,0.0,0.0,0.0,0.0,0.0,0.015309007089114078,0.006088809637715827,0.12225459922585134,0.0001739659896490236,0.0,0.0001739659896490236,0.0,0.0,0.0,0.0,0.0,0.0,0.04340451441743139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001304744922367677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
