"","x"
"1","uncultured"
"2","JG30_KF_CM66(class)"
"3","Pedobacter"
"4","Senegalimassilia"
"5","Flavobacterium"
"6","Intestinibacter"
"7","Paraprevotella"
"8","Ruminococcaceae_NK4A214_group"
"9","Howardella"
"10","Microbacter"
"11","Saccharomonospora"
"12","Gordonibacter"
"13","Formivibrio"
"14","Brochothrix"
"15","Mollicutes_RF9(order)"
"16","Anaeroglobus"
"17","Chitinophagaceae(family)"
"18","Faecalicoccus"
"19","Selenomonas"
"20","Family_XIII_UCG_002"
"21","Motilibacter"
"22","Eikenella"
"23","Solibacillus"
"24","Geobacter"
"25","Rhodanobacter"
"26","Lentimicrobiaceae(family)"
"27","Candidatus_Falkowbacteria(class)"
"28","Oribacterium"
"29","Chloroplast(class)"
"30","Acidovorax"
"31","Acidaminococcus"
"32","Lachnoclostridium"
"33","Petrimonas"
"34","Cyanobacteria(phylum)"
"35","Eubacterium"
"36","Catonella"
"37","Skermanella"
"38","Allisonella"
"39","Bacillus"
"40","Mogibacterium"
"41","Prevotellaceae_NK3B31_group"
"42","Shuttleworthia"
"43","Lachnospiraceae_ND3007_group"
"44","Rikenella"
"45","Aeromonas"
"46","Christensenella"
"47","Rubellimicrobium"
"48","Lachnospiraceae_UCG_010"
"49","Escherichia_Shigella"
"50","Megamonas"
"51","Lineage_IIb(order)"
"52","Actinotignum"
"53","Polymorphobacter"
"54","Lineage_IIc(order)"
