"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Spirochaetae","Cyanobacteria","Acidobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Verrucomicrobia","Tectomicrobia","Lentisphaerae","Parcubacteria","Euryarchaeota","Tenericutes","Elusimicrobia"
"X206615",0.0336950314106,0.592233009709,0.365505425471,0.00304587854559,0.0,0.00399771559109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015229392728,0.0,0.0,0.0,0.0,0.0,0.0
"X206614",0.0325088339223,0.683392226148,0.282685512367,0.00141342756184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206617",0.009765625,0.396484375,0.559244791667,0.00846354166667,0.0,0.0260416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206619",0.0139751552795,0.519254658385,0.460869565217,0.00248447204969,0.0,0.00341614906832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206616",0.299065420561,0.682242990654,0.00934579439252,0.00934579439252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206618",0.0879052369077,0.662094763092,0.246259351621,0.0,0.0,0.00249376558603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00124688279302,0.0,0.0,0.0,0.0,0.0,0.0
"X206645",0.0622665006227,0.582814445828,0.354919053549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",0.0138941839285,0.639259541661,0.341763036388,0.00465963485407,0.0,0.000296522217986,0.0,0.0,0.0,8.47206337103e-05,0.0,0.0,0.0,0.0,0.0,4.23603168552e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X206648",0.118099149311,0.52725139337,0.354356116163,0.000293341155764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206647",0.0724133431914,0.767842386813,0.159004914539,0.000434914974123,0.0,0.000173965989649,0.0,0.0,0.0,0.000130474492237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206656",0.0501152073733,0.620967741935,0.274193548387,0.00345622119816,0.0,0.0293778801843,0.00345622119816,0.0,0.0,0.0,0.0,0.0,0.0109447004608,0.0,0.0,0.00403225806452,0.0,0.0,0.00345622119816,0.0,0.0,0.0
"X206655",0.0461538461538,0.740170940171,0.207692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.00555555555556,0.0,0.0,0.0,0.0,0.0,0.00042735042735,0.0,0.0,0.0,0.0,0.0,0.0
"X206659",0.07302087436,0.630563213864,0.270342654588,0.00330838912958,0.0,0.0083497439937,0.0,0.0,0.0,0.00401732965735,0.0,0.00945254037022,0.0,0.0,0.0,0.000945254037022,0.0,0.0,0.0,0.0,0.0,0.0
"X206660",0.0645355547749,0.475234606313,0.427911878356,0.000501831685653,0.0,0.0196718020776,0.0,0.0,0.0,0.001154212877,0.0,0.002308425754,0.0,0.0,0.0,0.00848095548753,0.0,0.000200732674261,0.0,0.0,0.0,0.0
"X206667",0.0357176873988,0.443470806743,0.515858653205,0.000857224497571,0.0,0.00361939232308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000476235831984
"X206668",0.118226600985,0.389162561576,0.390804597701,0.101806239737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206671",0.129132166108,0.251501169332,0.600341318501,0.0,0.0,0.019025346059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206672",0.267248215702,0.22098863336,0.493259318002,0.00361265309719,0.0,0.0147149528593,0.0,0.0,0.0,0.000176226980351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206673",0.02722323049,0.420005584252,0.474103029457,0.00146586625715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0772022895435,0.0,0.0,0.0,0.0,0.0,0.0
"X206681",0.0507955936353,0.781517747858,0.146878824969,0.0208078335373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206682",0.0464547677262,0.826405867971,0.0733496332518,0.0293398533007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244498777506,0.0,0.0,0.0,0.0,0.0,0.0
"X206695",0.458592132505,0.313664596273,0.138716356108,0.0258799171843,0.0,0.00931677018634,0.00103519668737,0.0,0.0,0.0517598343685,0.0,0.0,0.0,0.0,0.0,0.00103519668737,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.307386156346,0.297767901562,0.202779343969,6.63327916155e-05,0.0,0.192000265331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0214996519104,0.462344895368,0.496171014374,0.0199434866293,0.0,4.09517179246e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.0217756641756,0.525798262238,0.438051989845,0.014123788751,0.0,0.000250294990525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.992445349336,0.00262537505358,0.00487569652808,5.35790827261e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.97685004552,0.0100143061516,0.00572246065808,0.00182078293666,0.0,0.00507218103785,0.000520223696189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
