"","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Moraxellaceae","Peptococcaceae","JG30_KF_CM66(class)","Solibacteraceae_Subgroup_3_","uncultured","Pseudomonadaceae","Sphingomonadaceae","Intrasporangiaceae","Lactobacillaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Flavobacteriaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","Burkholderiaceae","Family_XI","Leptotrichiaceae","Thermaceae","Sphingobacteriaceae","Coriobacteriaceae","Fibrobacteraceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Leuconostocaceae","Rikenellaceae","Opitutaceae","Fusobacteriaceae","Bifidobacteriaceae","Aerococcaceae","Oscillochloridaceae","Actinomycetaceae","Caulobacteraceae","Defluviitaleaceae","Hyphomicrobiaceae","Spirochaetaceae","Iamiaceae","Oxalobacteraceae","Cellulomonadaceae","Eubacteriaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Subgroup_6(class)","Synergistaceae","Methylobacteriaceae","0319_6A21","Caldilineaceae","Erythrobacteraceae","Acidaminococcaceae","Bacteroidales_S24_7_group","Planctomycetaceae","Chthoniobacterales_Incertae_Sedis","Thermoanaerobacteraceae","OPB35_soil_group(class)","Chitinophagaceae","Tectomicrobia(phylum)","Acetobacteraceae","vadinBE97","Paenibacillaceae","Rhizobiales_Incertae_Sedis","Nocardioidaceae","Chloroflexaceae","Streptosporangiales_Incertae_Sedis","Microbacteriaceae","Neisseriaceae","Rhizobiaceae","Victivallaceae","Xanthomonadaceae","Geobacteraceae","env_OPS_17","Candidatus_Falkowbacteria(class)","Xanthobacteraceae","Nocardiaceae","Chloroplast(class)","Cytophagaceae","Geodermatophilaceae","Gitt_GS_136(class)","Staphylococcaceae","Campylobacteraceae","Rhodospirillales_Incertae_Sedis","Bacteriovoracaceae","Pasteurellaceae","Cyanobacteria(phylum)","NB1_j(order)","Enterobacteriaceae","ABS_19","Brevibacteriaceae","Heliobacteriaceae","Oligosphaeraceae","Solirubrobacteraceae","KD4_96(class)","Verrucomicrobiaceae","Carnobacteriaceae","Clostridiaceae_1","FamilyII","Propionibacteriaceae","Phyllobacteriaceae","Bradyrhizobiaceae","Cellvibrionaceae","UA11(class)","Lineage_IIc(order)"
"X206615",0.0005711022272986865,0.0,0.0,0.0,0.0,0.0830001903674091,0.001142204454597373,0.006853226727584237,0.0,0.0,0.0,0.0,0.0020940415000951836,0.0,0.0,0.0,0.0,0.4344184275652008,0.0,0.06225014277555682,0.0,0.01161241195507329,0.0,0.0,0.0,0.0,0.0,0.0,0.00019036740909956216,0.0,0.36245954692556637,0.002284408909194746,0.0007614696363982486,0.0,0.0,0.0,0.0,0.003997715591090805,0.0,0.0,0.0,0.0003807348181991243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034266133637921186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007614696363982486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009518370454978108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001332571863696935,0.0,0.0,0.0,0.0,0.00019036740909956216,0.0,0.0,0.0,0.0,0.0,0.0,0.019798210546354465,0.0,0.0,0.0,0.0,0.0,0.0,0.0015229392727964973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206614",0.0021201413427561835,0.0,0.0,0.0,0.0,0.05017667844522968,0.0,0.0,0.0,0.0,0.0,0.0014134275618374558,0.0,0.0021201413427561835,0.0,0.0,0.0,0.5724381625441696,0.0,0.05017667844522968,0.0,0.0077738515901060075,0.0,0.0021201413427561835,0.0,0.0,0.0,0.0,0.0,0.0,0.27491166077738516,0.0,0.0,0.0,0.0,0.0077738515901060075,0.0,0.0,0.0,0.0,0.0,0.0,0.0021201413427561835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028268551236749115,0.0,0.0,0.0,0.0,0.0,0.0,0.02402826855123675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206617",0.001953125,0.0,0.0,0.0,0.0,0.044270833333333336,0.005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118489583333333,0.0,0.026692708333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026041666666666665,0.0,0.546875,0.0,0.004557291666666667,0.008463541666666666,0.0,0.0,0.0,0.026041666666666668,0.0,0.0,0.0,0.0,0.0032552083333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006510416666666666,0.012369791666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004557291666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206619",0.0,0.0,0.0,0.0,0.0,0.04751552795031056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4015527950310559,0.007453416149068323,0.06894409937888199,0.008074534161490683,0.0012422360248447205,0.0,0.0,0.0,0.0,0.0,0.0,0.002484472049689441,0.0,0.45248447204968945,0.0,0.0,0.0,0.0,0.00031055900621118014,0.0,0.0034161490683229812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206618",0.0006234413965087282,0.0,0.0,0.0,0.0,0.029925187032418952,0.0,0.003117206982543641,0.0,0.0,0.0,0.0,0.05236907730673317,0.0,0.0,0.0,0.0,0.08915211970074813,0.003740648379052369,0.01683291770573566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24625935162094764,0.0,0.003117206982543641,0.008728179551122194,0.0,0.0,0.0,0.0024937655860349127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5143391521197007,0.0,0.0,0.0,0.0,0.0,0.0,0.02805486284289277,0.0,0.0,0.0,0.0,0.0,0.0,0.0012468827930174563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206645",0.0,0.024906600249066,0.0,0.0,0.0,0.15317559153175592,0.0,0.0,0.0,0.0,0.0,0.0,0.009962640099626401,0.0,0.0,0.0,0.0,0.29763387297633875,0.0,0.08094645080946451,0.0,0.0,0.0,0.0,0.019925280199252802,0.0,0.0,0.0,0.0,0.0,0.3549190535491905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033623910336239106,0.0,0.0,0.0,0.0,0.0,0.0,0.0062266500622665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186799501867995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",0.0,0.02126487906129538,8.472063371034016e-05,0.0008048460202482315,0.006608209429406532,0.32168424619816155,0.00033888253484136064,8.472063371034016e-05,0.000508323802262041,0.0,0.0,0.0,4.236031685517008e-05,0.0002541619011310205,0.0,8.472063371034016e-05,0.0,0.26454017876053715,8.472063371034016e-05,0.026009234549074427,0.0,0.001609692040496463,0.00021180158427585037,0.0,0.000550684119117211,0.0,0.0,0.0,0.0013978904562206124,0.0,0.29880967509636974,0.0038971491506756472,0.0003812428516965307,0.0006777650696827213,0.0,0.03897149150675647,0.0,0.00029652221798619053,0.002838141229296395,8.472063371034016e-05,0.0,4.236031685517008e-05,0.0,8.472063371034016e-05,0.0,0.0,0.0,0.0,0.0,0.0003812428516965307,0.0,0.0,4.236031685517008e-05,0.0,0.0,0.0,0.0,0.0,0.00012708095056551024,0.00016944126742068032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.236031685517008e-05,0.0,0.0,8.472063371034016e-05,0.0,0.0,0.00021180158427585037,0.0,0.0,0.006354047528275512,0.0,0.0,0.0,0.0,0.0,0.0,4.236031685517008e-05,0.0,0.00021180158427585037,8.472063371034016e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X206648",0.0,0.0,0.0002933411557641537,0.0,0.0,0.1824581988853036,0.0,5.8668231152830744e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01501906717512467,0.30085068935171605,0.08630096802581402,0.00023467292461132298,0.0,0.03326488706365503,0.0,0.0,0.0005280140803754767,0.0,0.0,0.0,0.0002933411557641537,0.0,0.332414197711939,0.004810794954532121,0.0005280140803754767,0.0,0.0,0.016837782340862424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014901730712819009,0.0,0.0,0.0,0.0,0.0,0.0,0.009328248753300088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8668231152830744e-05,0.0,0.0,0.00017600469345849224,0.00011733646230566149,0.0,0.0,0.0015253740099735993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206647",0.0,0.0,0.0,0.0001304744922367677,0.0,0.13695472535119385,0.0,0.0,0.0,0.0,0.0,0.0,0.00021745748706127952,0.0,0.0,0.0,0.0006088809637715826,0.48666985604314356,0.027530117861957987,0.002392032357674075,0.0,0.12225459922585134,0.0,0.0,0.0010003044404818858,0.0,0.0,0.0,0.0001739659896490236,0.0,0.14787109120167008,0.0007393554560083504,0.013482364197799331,8.69829948245118e-05,0.0,0.010394467881529161,0.0,0.0001739659896490236,0.0,0.0,0.0,0.00021745748706127952,0.0,0.0,4.34914974122559e-05,0.0,0.0,0.0,0.0,0.0,4.34914974122559e-05,0.0,0.04340451441743139,0.0,0.0,0.0,0.0,0.0,0.0,0.003696777280041752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69829948245118e-05,0.0,4.34914974122559e-05,0.0,0.0,0.0,0.0,0.0,0.0001304744922367677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003479319792980472,0.0,0.0,0.0001304744922367677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011742704301309095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206656",0.000576036866359447,0.0,0.002880184331797235,0.02707373271889401,0.0,0.30414746543778803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889400921658986,0.000576036866359447,0.018433179723502304,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0034562211981566822,0.0,0.0017281105990783411,0.0,0.18029953917050692,0.024193548387096774,0.0,0.0,0.0,0.06509216589861751,0.0,0.0293778801843318,0.0,0.0,0.0,0.0017281105990783411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02304147465437788,0.0,0.0,0.0,0.010944700460829493,0.0,0.0,0.0069124423963133645,0.0017281105990783411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034562211981566822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008640552995391706,0.0,0.0,0.01728110599078341,0.0,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
