"","Tepidimonas","Christensenellaceae_R_7_group","Prevotella","Family_XIII_AD3011_group","Paracoccus","Ruminiclostridium","Corynebacterium","Moraxella","uncultured","uncultured(family)","Pseudomonas","Mucilaginibacter","Sphingomonas","Lactobacillus","Oscillibacter","Faecalibacterium","Sutterella","Chryseobacterium","_Ruminococcus_gauvreauii_group","Faecalitalea","Lachnospiraceae_UCG_001","Ruminococcaceae_UCG_003","Blautia","Burkholderia_Paraburkholderia","Gemella","Senegalimassilia","Collinsella","Bacteroides","Porphyromonas","Butyricicoccus","Streptococcus","Flavobacterium","Intestinibacter","Paraprevotella","_Eubacterium_hallii_group","Ruminococcaceae_NK4A214_group","Leuconostoc","Alistipes","Fusobacterium","Bifidobacterium","Subdoligranulum","Coprococcus","Odoribacter","Abiotrophia","Actinomyces","Brevundimonas","Acinetobacter","Anaerococcus","Ruminococcaceae_UCG_014","Roseburia","Candidatus_Soleaferrea","Iamia","Ruminococcus","_Clostridium_innocuum_group","Anaerotruncus","_Eubacterium_brachy_group","Romboutsia","Cellulomonas","Anaerofustis","_Eubacterium_xylanophilum_group","Saccharomonospora","Lachnospiraceae_NK4A136_group","Gordonibacter","Butyricimonas","Rothia","Solobacterium","Gastranaerophilales(order)","Desulfovibrio","Ruminococcaceae_UCG_013","Brochothrix","Atopobium","Coprobacter","Methylobacterium","0319_6A21(family)","Scardovia","Phascolarctobacterium","Mycobacterium","Tumebacillus","Bacteroidales_S24_7_group(family)","Tyzzerella","_Eubacterium_nodatum_group","WCHA1_57(class)","Enhydrobacter","Anaeroglobus","Erysipelatoclostridium","Parasutterella","Cloacibacillus","Alloprevotella","Roseomonas","Megasphaera","Dorea","Paenibacillus","_Eubacterium_coprostanoligenes_group","Nocardioides","Methanobacterium","Bacteriovorax","Zimmermannella","Eikenella","Hydrotalea","Rhizobium","Victivallis","Fluviicola","env_OPS_17(family)","Knoellia","Ruminococcaceae_UCG_002","Candidatus_Tenderia","Barnesiella","Shewanella","Lachnospiraceae(family)","Parvimonas","Lactococcus","Oribacterium","Peptostreptococcus","Lachnospiraceae_UCG_008","Chloroplast(class)","Steroidobacter","Blastococcus","Dialister","Thermicanus","Staphylococcus","Anaerostipes","Acidaminococcus","Peredibacter","Lachnospira","Lachnoclostridium","Sellimonas","Cloacibacterium","Haemophilus","X35(order)","Haliangium","Aggregatibacter","mle1_27(family)","PHOS_HE51(family)","Eubacterium","Methylophilus","Cytophaga","Ruminococcaceae_UCG_004","Proteus","Citrobacter","Parabacteroides","Ezakiella","Allisonella","Turicibacter","Finegoldia","Bacillus","Fusicatenibacter","Mogibacterium","Dielma","Moryella","Catenibacterium","Pseudoclavibacter","Akkermansia","Flavonifractor","Eggerthella","Granulicatella","Candidatus_Stoquefichus","Adhaeribacter","Geobacillus","Lachnospiraceae_ND3007_group","Bilophila","Ruminococcaceae_UCG_005","Methanobrevibacter","Clostridium_sensu_stricto","Propionibacterium","Peptoniphilus","_Eubacterium_rectale_group","Erythrobacter","Rubellimicrobium","_Eubacterium_ventriosum_group","NS9_marine_group(family)","Holdemania","Holdemanella","Escherichia_Shigella","_Ruminococcus_gnavus_group","Pseudoxanthomonas","Arthrobacter","Actinotignum","Micrococcus","Oligoflexaceae(family)","_Eubacterium_eligens_group","Brachybacterium","Lawsonella","Erysipelotrichaceae_UCG_003","Thermoanaerobacterium","Actinomycetospora"
"X206616",0.0,0.0,0.0,0.0,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.205607476635514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018691588785046728,0.0,0.0,0.0,0.009345794392523364,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056074766355140186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29906542056074764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.2616822429906542,0.0,0.0,0.0,0.0,0.0,0.0,0.09345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206645",0.0,0.024906600249066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009962640099626401,0.0,0.0,0.0,0.0,0.11706102117061021,0.0,0.0,0.0,0.0,0.0,0.0,0.049813200498132,0.0,0.019925280199252802,0.0,0.0,0.3549190535491905,0.0,0.007471980074719801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028642590286425903,0.039850560398505604,0.0,0.0,0.0,0.033623910336239106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12079701120797011,0.0,0.0,0.0,0.08094645080946451,0.0,0.0,0.028642590286425903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062266500622665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037359900373599,0.0,0.0,0.0,0.0,0.0,0.0,0.0186799501867995,0.0,0.0,0.0,0.0,0.0,0.0,0.021170610211706103,0.0,0.0,0.0,0.0,0.0
"X206648",0.0,0.0,0.0002933411557641537,0.0,0.0,0.004517453798767967,0.0,0.0,0.016309768260486947,0.0,0.0,0.0,0.0,0.0,0.0,0.14356116163097682,0.07685538281020828,0.0,0.0,0.0010560281607509534,0.0,0.0,0.007392197125256674,0.0,0.0,0.0,0.0002933411557641537,0.332414197711939,0.0,0.004400117336462305,0.0005280140803754767,0.0,0.0,0.0,0.004165444411850983,0.0006453505426811381,0.0,0.016837782340862424,0.0,0.0,0.020768553828102082,0.0,0.0037547667937811676,0.0,0.0,0.0,5.8668231152830744e-05,0.0,0.0,0.028102082722205924,0.0,0.0,0.0008800234672924611,0.0003520093869169845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046934584922264595,0.0,0.0,0.0004106776180698152,0.0,0.0,0.0,0.009152244059841596,0.0,0.0,0.0,0.0618363156350836,0.0,0.0,0.0,0.00023467292461132298,0.0025227339395717217,0.00944558521560575,0.0,0.0,0.0,0.0,0.0019360516280434144,0.0,0.0005866823115283074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017600469345849222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004458785567615136,0.0,0.0,0.0,0.0,0.0,5.8668231152830744e-05,0.0078028747433264885,0.00017600469345849224,0.00017600469345849224,0.0012320328542094457,0.04071575242006453,0.0,0.0,0.00011733646230566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008213552361396304,0.0,0.0,0.0006453505426811381,0.0005280140803754767,0.0,0.0,0.0,0.0,0.001349369316515107,0.0,0.0,0.0,0.0,0.0,0.0,0.002757406864183045,0.0,0.0,0.0,0.0,0.0,0.0,0.014901730712819009,0.0,0.0,0.0,0.0,0.0,0.0740393077148724,0.0,0.0,5.8668231152830744e-05,0.0,0.000704018773833969,0.027163391023760634,0.0015253740099735993,0.0673511293634497,0.0,0.0,0.0,0.0,0.0,0.0004106776180698152,0.0,0.0,0.0014667057788207685,0.0,0.0
"X206659",0.0,0.0,0.050964946829460414,0.0,0.0,0.003938558487593541,0.0014966522252855454,0.0,0.017881055533674674,0.0,0.00015754233950374162,0.0,0.0,0.0,0.0,0.00015754233950374162,0.0,0.0,0.0,0.005907837731390311,0.002520677432059866,0.0,0.0019692792437967705,0.0,0.0,0.00031508467900748325,0.00023631350925561244,0.1676250492319811,0.0,0.00031508467900748325,0.008428515163450178,0.0,7.877116975187081e-05,0.0,0.002993304450571091,0.0,0.0,0.032926348956282,0.008349743993698306,0.0007089405277668373,0.005592753052382828,0.0,0.01157936195352501,0.0,0.0005513981882630957,0.00031508467900748325,0.0,0.0,0.0,0.038519102008664825,0.00023631350925561244,0.0,0.0,0.0005513981882630957,0.002048050413548641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00385978731784167,0.0,0.00031508467900748325,0.004017329657345412,0.01929893658920835,0.0029145332808192203,0.0,0.0,0.0,0.0,0.0,0.0,0.04631744781410004,0.0,0.0,0.0,0.00015754233950374162,0.00023631350925561244,0.0,0.0,0.0,0.0,0.028830248129184718,0.009452540370224497,0.0,0.0,0.08916896415911776,0.0,0.0,0.005435210712879086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023631350925561244,0.0,0.0,0.0,0.0,0.0,0.0,0.009925167388735723,0.0,0.0,0.0,0.004096100827097282,0.0,0.0,0.0013391098857818038,0.13186293816463174,0.0,0.0007089405277668373,0.10035447026388342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023631350925561244,0.0,0.0,0.0031508467900748325,0.0,0.0,0.0,0.0,0.0,0.005356439543127215,0.0,0.0,0.0,0.0,0.0,0.0009452540370224497,0.016463174478141,0.0,0.0004726270185112249,0.0,0.0,0.0,0.0011027963765261914,0.008901142181961402,0.0,0.0,0.0,0.0,7.877116975187081e-05,0.10964946829460417,0.0,0.0,0.0,0.0,0.0007089405277668373,0.0,0.014021268215833006,0.014021268215833006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206668",0.0,0.0,0.0,0.0,0.0,0.022988505747126436,0.042692939244663386,0.0,0.009852216748768473,0.0,0.026272577996715927,0.0,0.0016420361247947454,0.0,0.0,0.003284072249589491,0.0,0.0,0.0,0.0,0.0,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.3842364532019704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021346469622331693,0.0,0.0,0.0,0.0,0.0,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06732348111658457,0.0,0.0,0.0,0.0,0.0,0.029556650246305417,0.0,0.0,0.0,0.0,0.0,0.024630541871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22495894909688013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009852216748768473,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016420361247947454,0.0049261083743842365,0.0,0.0,0.0049261083743842365,0.0,0.0049261083743842365,0.0,0.014778325123152709,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.054187192118226604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.00048221174453493356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003214744963566224,0.0,0.0,0.0,0.0,0.0004286326618088298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.000589369909987141,0.0,0.0,0.0017145306472353193,0.0,5.357908272610373e-05,0.0003750535790827261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010715816545220746,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012858979854264896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010715816545220746,0.0,0.0009644234890698671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009108444063437634,0.0,5.357908272610373e-05,0.0001607372481783112,0.0,0.0,0.0,0.00026789541363051865,0.0,0.0,0.00010715816545220746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0003750535790827261,0.0,0.0,0.0,0.0,0.0,0.0,0.991266609515645,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0
"X206723",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08641975308641975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09876543209876543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7283950617283951,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206756",0.0,0.0002979484123606027,0.0,0.0,0.0,0.002383587298884822,0.0,8.512811781731506e-05,0.004511790244317698,0.0,4.256405890865753e-05,0.0,0.0,0.0,0.0,0.08704350046820465,0.0,0.0,4.256405890865753e-05,0.00025538435345194517,0.0,0.0,0.0079169149570103,0.0,4.256405890865753e-05,0.0,0.00021282029454328764,0.4711415680599302,0.0,0.0011492295905337533,0.0017876904741636163,0.0,0.005490763599216821,0.0,0.010130246020260492,0.0,0.0,0.010555886609347068,0.00021282029454328764,8.512811781731506e-05,0.00327743253596663,0.0024687154167021366,0.0024261513577934794,4.256405890865753e-05,0.0,0.0,0.0,0.0,0.0,0.00825742742827956,4.256405890865753e-05,0.0,0.0015323061207116711,0.0001702562356346301,0.0,4.256405890865753e-05,0.0,0.0,0.0,0.0,0.0,0.06597429130841917,0.0,0.0,4.256405890865753e-05,0.0,0.0,0.0,8.512811781731506e-05,0.0,0.0,0.0,0.0,0.0,4.256405890865753e-05,0.012598961436962628,0.0,0.0,0.0,0.0001702562356346301,0.0,0.0,0.0,0.0,4.256405890865753e-05,0.08810760194092108,0.0,0.0,0.0,8.512811781731506e-05,0.0042138418319570955,0.0,4.256405890865753e-05,0.0,0.0,8.512811781731506e-05,0.0,0.0,0.0,8.512811781731506e-05,0.0,0.0,0.0,0.0,0.0008087171192644931,0.0,0.00021282029454328764,0.0,0.00012769217672597258,4.256405890865753e-05,0.0,0.0,0.0,0.03213586447603643,0.0,0.0,0.0,0.00012769217672597258,0.0,8.512811781731506e-05,0.004043585596322465,0.0,0.0,0.0,0.003873329360687835,0.0004256405890865753,0.0,0.0028517919468800546,0.0,0.0,0.00025538435345194517,0.0,0.0,0.0,0.0,0.0,0.00046820464799523284,0.0,0.0,0.021409721631054736,0.0,0.0031923044181493146,0.0,0.0,0.0,0.005235379245764876,0.0,0.0,0.0,0.0019153826508895887,0.0,0.010683578786073039,0.004341534008683068,4.256405890865753e-05,0.0,0.0,0.0,0.0,0.00021282029454328764,0.020728696688516218,0.0,0.0,0.0,0.0,0.0,0.07925427768792032,0.0,0.0,0.0011066655316250957,0.0,0.00012769217672597258,0.0,0.004298969949774411,0.005533327658125479,0.0,0.0,0.0,0.0,0.0,0.0,4.256405890865753e-05,0.0,0.0031923044181493146,0.0,0.0
"X206768",0.004470272686633884,0.0,0.0013410818059901655,0.0,0.0004470272686633885,0.0,0.000894054537326777,0.0,0.0004470272686633885,0.0,0.0013410818059901655,0.0,0.0,0.0049172999552972736,0.0,0.012516763522574878,0.0,0.0,0.0,0.0,0.0,0.0,0.0004470272686633885,0.0,0.02592758158247653,0.0,0.0,0.009387572641931158,0.0,0.0,0.15690657130084934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116227089852481,0.0,0.0,0.0,0.0,0.0,0.02011622708985248,0.0,0.008046490835940992,0.0,0.0,0.0004470272686633885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004470272686633884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001788109074653554,0.0,0.0,0.0,0.004023245417970496,0.0,0.0,0.0,0.004470272686633884,0.003576218149307108,0.0,0.0,0.0004470272686633885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001788109074653554,0.0,0.0,0.003576218149307108,0.0004470272686633885,0.0,0.0,0.0,0.0,0.0,0.0,0.0049172999552972736,0.0,0.0,0.0,0.0,0.007599463567277604,0.0,0.0,0.0,0.001788109074653554,0.003576218149307108,0.0,0.0031291908806437194,0.0013410818059901655,0.0013410818059901655,0.0031291908806437194,0.0,0.0,0.0,0.001788109074653554,0.0,0.006258381761287439,0.607510058113545,0.0,0.0013410818059901655,0.0004470272686633885,0.001788109074653554,0.012069736253911488,0.0,0.004470272686633884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006258381761287439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007599463567277604,0.0,0.0,0.004470272686633884,0.0,0.0,0.0,0.0,0.0004470272686633885,0.0,0.007599463567277604,0.0,0.0,0.0,0.0,0.009834599910594547,0.0,0.0,0.008493518104604381,0.0,0.001788109074653554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013410818059901655,0.00581135449262405,0.0
"X215023",0.0,0.0,0.00013380611493945274,0.0,0.0,0.0006690305746972637,0.0,0.0,0.00016725764367431592,0.0,6.690305746972637e-05,0.0,0.0,0.0,0.0,0.2756071452465378,0.1566535090653643,0.0,0.0,0.0,0.0,0.0,0.0008362882183715796,0.0,0.0,0.0,0.00010035458620458954,0.4067705894159363,0.0002007091724091791,0.0,0.0030440891148725497,0.0,0.0,0.0,0.0,3.3451528734863186e-05,0.0,0.0008697397471064428,0.0002676122298789055,0.0008697397471064428,0.0007693851609018532,0.0002007091724091791,0.0,0.0,0.0,0.0,0.0,6.690305746972637e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.3451528734863186e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.3451528734863186e-05,3.3451528734863186e-05,0.0,0.0,0.0,0.0,0.0,3.3451528734863186e-05,0.0,0.00016725764367431592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.690305746972637e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010035458620458954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004883923195290025,0.0,0.0,0.006824111861912089,3.3451528734863186e-05,0.0,0.0,0.0,0.01565531544791597,0.0,0.00010035458620458954,0.0006355790459624005,0.0,0.0,0.0,0.0023416070114404227,3.3451528734863186e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068910149193818155,0.0,0.0009366428045761692,0.0,0.0,0.0,6.690305746972637e-05,0.0,0.0005686759884926741,0.0,0.0,0.0002676122298789055,0.0,0.0,0.0,0.004649762494145983,0.0,0.0,0.0,0.0,0.0,6.690305746972637e-05,0.0035124105171606343,0.0,0.0,0.0005017729310229478,0.0,0.02341607011440423,0.000367966816083495,0.0,0.0,0.0,0.0,3.3451528734863186e-05,0.0,0.07934702615909547,0.0,0.0,0.0,0.000367966816083495,0.0,0.0,0.0007024821034321268,0.0,0.0,0.0,0.0,0.0
