Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.967280186919391,0.0801445193484813,-0.08087438063132502,0.04379179225276982
2,0.87114370588476,0.17865398880082,-0.019289857198705417,0.1019676963364461
3,0.966383694705402,0.040490041488044,-0.08614120853230198,0.04586973379595352
4,0.884723300337764,0.160090746544086,-0.034251452671145946,0.10588973429840833
5,0.946203381917454,0.0649090254113433,-0.04613365139927141,0.09146090559918398
6,0.972154958327057,0.040726474506567,-0.04565295937568699,0.07352129801364912
7,0.962109163326606,0.0525899488227826,-0.07218973277049821,0.05936711891973987
8,0.813748465607217,0.140804145233011,-0.061696794960858566,0.09669551300392928
9,0.656616037430905,0.171714267997404,-0.04944246260103804,0.12725858076739233
10,0.966771571897046,0.0661345140735179,-0.0808029545842727,0.052259039176492696
11,0.860536001957019,0.120779365218565,-0.08550957530021668,0.06351547257280238
12,0.995036240488953,0,-0.06619666675224334,0.05907967866269511
13,0.85409341510891,0.160068586936576,-0.049377724531255156,0.11760517554102443
14,0.77573442699664,0.134812472888722,-0.022576076291363368,0.12192934518637924
15,0.820123526015082,0.158740277980555,-0.029602468699449817,0.12300682452669177
16,0.909876476654818,0.132200009257819,-0.04395808262167078,0.10959338363576451
Averages,0.8889084095984391,0.10642864903176838,-0.054606003057581454,0.08705070576808266
