"","x"
"1","Empedobacter"
"2","Pedobacter"
"3","Senegalimassilia"
"4","Hydrogenoanaerobacterium"
"5","Fusobacterium"
"6","Lachnospiraceae_NK4A136_group"
"7","Gordonibacter"
"8","Solobacterium"
"9","Oscillospira"
"10","Faecalibaculum"
"11","Altererythrobacter"
"12","H16"
"13","Enhydrobacter"
"14","_Ruminococcus_torques_group"
"15","Gelria"
"16","Chitinophagaceae(family)"
"17","Selenomonas"
"18","Paludibacter"
"19","Rhodanobacter"
"20","Candidatus_Falkowbacteria(class)"
"21","Oribacterium"
"22","Gitt_GS_136(class)"
"23","Anaerofilum"
"24","Acidaminococcus"
"25","Lachnoclostridium"
"26","_Eubacterium_yurii_group"
"27","Brevibacterium"
"28","Skermanella"
"29","Geodermatophilus"
"30","Cytophaga"
"31","Proteus"
"32","Ezakiella"
"33","Prevotellaceae_NK3B31_group"
"34","Shuttleworthia"
"35","Rikenella"
"36","Chroococcidiopsis"
"37","Methanobrevibacter"
"38","Lachnospiraceae_UCG_010"
"39","Hafnia_Obesumbacterium"
"40","Escherichia_Shigella"
"41","Megamonas"
"42","Polymorphobacter"
"43","Lawsonella"
