"","Rhodospirillales","Burkholderiales","Bacteroidales","Clostridiales","Rhodobacterales","Corynebacteriales","Pseudomonadales","Flavobacteriales","Sphingobacteriales","Sphingomonadales","Lactobacillales","Selenomonadales","Erysipelotrichales","Bacillales","Thermales","Coriobacteriales","Bifidobacteriales","Actinomycetales","Micrococcales","Pseudonocardiales","Neisseriales","Blastocatellales","Spirochaetales","Nitrospirales","Desulfurellales","WCHA1_57(class)","Fusobacteriales","Propionibacteriales","Bdellovibrionales","Rhizobiales","Unknown_Order","Xanthomonadales","Frankiales","Synergistales","Chthoniobacterales","Desulfovibrionales","Campylobacterales","Acidimicrobiales","Pasteurellales","X35","Myxococcales","Methylophilales","Enterobacteriales","Methanobacteriales","Chloroplast(class)","Verrucomicrobiales","Cytophagales","Aeromonadales","Mollicutes_RF9","Lineage_IIb","Oligoflexales","Thermoanaerobacterales"
"X206695",0.0186335403727,0.00621118012422,0.138716356108,0.26397515528,0.0,0.00414078674948,0.0186335403727,0.0,0.0,0.0,0.0289855072464,0.01966873706,0.0,0.00103519668737,0.00103519668737,0.00414078674948,0.00828157349896,0.0,0.00931677018634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00931677018634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144927536232,0.0,0.0,0.0,0.0,0.0,0.0,0.400621118012,0.0,0.0517598343685,0.00103519668737,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.0,6.63327916155e-05,0.202779343969,0.199960200325,0.0,0.0,9.94991874233e-05,0.0,0.0,0.0,0.00291864283108,0.0742927266094,0.0201651686511,0.000431163145501,0.0,6.63327916155e-05,0.0,0.0,0.0,0.0,0.00275281085204,0.0,0.0,0.0,0.0,0.0,0.192000265331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00285231003947,0.0,0.0549235514577,0.0,0.0,0.0,0.246691652018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.496171014374,0.286170604857,0.0,0.0,4.09517179246e-05,0.0,0.0,0.0,0.0100331708915,0.145050984889,0.0209263278595,0.000163806871698,0.0,8.19034358491e-05,0.0198615831934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179246e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179246e-05,4.09517179246e-05,0.0,4.09517179246e-05,0.0,0.0,0.0,0.0213358450387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.0,0.0,0.438051989845,0.33864912218,0.0,0.0,0.000214538563307,0.0,0.0,0.0,0.0130510959345,0.157149497622,0.015267994422,0.00168055207924,0.0,0.000500589981049,0.0133371473522,0.000250294990525,3.57564272178e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000250294990525,0.0,0.0,0.0,0.0,3.57564272178e-05,0.0,0.0,0.0,0.0,3.57564272178e-05,0.0,0.000178782136089,0.0,0.0,0.0,0.0213108306218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.000535790827261,0.00300042863266,0.00133947706815,0.0,0.0,0.000428632661809,0.00096442348907,0.0,0.0,0.000375053579083,0.0,0.000321474496357,0.000589369909987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35790827261e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991480925847,0.0,0.0,0.0,0.000910844406344,0.0,0.0,0.0,0.0,0.0
"X206701",0.0,0.00169072701262,0.00442190141761,0.00481206918975,0.0,0.00117050331643,0.0105345298478,0.00130055924047,0.0,0.0,0.0,0.00104044739238,0.0,0.00416178956951,0.000520223696189,0.0,0.000130055924047,0.0,0.000520223696189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00507218103785,0.0,0.0,0.0,0.0,0.000130055924047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.964494732735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.00360286170158,0.327345720315,0.623552421638,0.0,0.000308816717278,5.14694528797e-05,0.0,0.000257347264399,0.0,0.00267641154975,0.00524988419373,0.029543465953,0.000514694528797,0.0,0.000514694528797,5.14694528797e-05,0.000669102887436,0.0,0.0,0.000308816717278,0.0,0.0,0.0,0.0,0.0,0.00113232796335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00190436975655,0.0,0.0,0.00133820577487,0.0,0.0,0.0,0.000977919604715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0,0.0206534155814,0.546767192141,0.39643591501,0.0,0.0,4.56933973041e-05,0.0,0.0,0.0,0.000822481151474,0.00936714644734,0.00635138222527,0.000137080191912,0.0,0.000731094356865,9.13867946082e-05,9.13867946082e-05,0.0,0.0,0.000137080191912,0.0,0.0,0.0,0.0,0.0,0.000502627370345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014119259767,0.0,0.0,0.00178204249486,0.0,0.0,0.0,0.00196481608408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.0,8.20344544709e-05,0.412674323216,0.505455291222,0.0,0.0,4.10172272354e-05,0.0,0.0,4.10172272354e-05,0.0064807219032,0.0146021328958,0.013412633306,0.000943396226415,0.0,0.000287120590648,0.000574241181296,0.000123051681706,0.000123051681706,0.0,0.000492206726825,0.0,0.0,0.0,0.0,0.0,0.00143560295324,0.0,0.0,0.0,0.0,4.10172272354e-05,0.0,0.0,0.0,0.00791632485644,0.000123051681706,0.0,0.0312141099262,0.0,0.0,0.0,0.00377358490566,0.0,0.0,0.000164068908942,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.0,5.25513689632e-05,0.450733091597,0.495296652478,0.0,0.0,5.25513689632e-05,0.0,0.0,0.0,0.00262756844816,0.00835566766514,0.00714698617899,0.000472962320668,0.0,0.000210205475853,0.000683167796521,5.25513689632e-05,0.000105102737926,0.0,0.000367859582742,0.0,0.0,0.0,0.0,0.0,0.0019969520206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00530768826528,0.000105102737926,0.0,0.0244889379368,0.0,0.0,0.0,0.00194440065164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206720",0.0,0.0393145529614,0.578720450144,0.322481639811,0.0,0.0,3.65376886258e-05,0.0,0.0,0.0,0.00102305528152,0.0346742665059,0.00237494976068,0.000219226131755,0.0,0.000292301509007,0.000694216083891,3.65376886258e-05,0.000109613065877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00189995980854,0.0,0.0,0.0,0.0,3.65376886258e-05,0.0,0.0,0.0,0.00847674376119,0.0,0.0,0.000657678395265,0.0,0.0,0.0,0.00895173371333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206721",0.0,0.0505054869092,0.609090123563,0.285967337769,0.0,0.000259224055992,0.0,4.32040093321e-05,0.0,0.000129612027996,0.000388836083989,0.0395748725482,0.00168495636395,0.000129612027996,0.0,0.000172816037328,0.000129612027996,8.64080186641e-05,0.0,0.0,4.32040093321e-05,0.0,0.0,0.0,0.0,0.0,0.00233301650393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079495377171,0.0,0.0,8.64080186641e-05,0.0,0.0,0.0,0.00142573230796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206723",0.0,0.0,0.037037037037,0.135802469136,0.0,0.0,0.0864197530864,0.0,0.0,0.0,0.0,0.0,0.0123456790123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728395061728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206724",0.0,0.00809840323936,0.164947665979,0.28107571243,0.0,0.0,0.0005730002292,3.820001528e-05,0.0,0.0,0.00454580181832,0.00103140041256,0.00049660019864,0.0005730002292,0.0,0.0001910000764,0.0,0.00026740010696,0.0,0.0,0.0003820001528,0.0,0.0001910000764,0.0,0.0,0.0,0.00538620215448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026740010696,0.0001910000764,0.0,0.00240660096264,0.0,0.0,0.0,0.529337611735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206728",0.000183358392314,0.0330778539734,0.249880817045,0.648355275221,0.0,0.0,0.000916791961568,3.66716784627e-05,3.66716784627e-05,0.0,0.0012835087462,0.00575745351865,0.00656423044483,3.66716784627e-05,3.66716784627e-05,0.000476731820015,0.000220030070776,0.0,0.000220030070776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028530565844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00825112765411,0.000110015035388,0.0,0.00209028567238,0.0,0.0,0.0,0.0138985661374,0.0,0.0,0.0,0.0,3.66716784627e-05,0.0,0.0,0.0,0.0
"X206727",3.80995923344e-05,0.0669028841391,0.290280793996,0.550462910047,0.0,0.0,3.80995923344e-05,0.0,0.0,0.0,0.000571493885015,0.0035432620871,0.00670552825085,7.61991846687e-05,0.0,0.000266697146341,0.000114298777003,3.80995923344e-05,0.000647693069684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024040842763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00906770297558,0.0,0.0,0.0012191869547,0.0,0.0,0.0,0.0459862079476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206734",0.0,0.0237563323999,0.681004373682,0.204178597275,0.0,0.0,3.1465340927e-05,0.0,0.0,0.0,9.43960227809e-05,0.00264308863787,0.000629306818539,6.29306818539e-05,0.0,0.000849564205028,3.1465340927e-05,0.0,0.0,0.0,0.00154180170542,0.0,0.0,0.0,0.0,0.0,0.00843271136843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1465340927e-05,0.0,0.0,0.0,0.07671250118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206733",0.0,0.0105603304684,0.712439203145,0.225031647678,0.0,0.0,3.33133453261e-05,0.0,0.0,0.0,0.000299820107935,0.00256512759011,0.000499700179892,6.66266906523e-05,0.0,0.000899460323806,0.0,0.0,3.33133453261e-05,0.0,0.00186554733826,0.0,0.0,0.0,0.0,0.0,0.00489706176294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407755346792,0.0,0.0,3.33133453261e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X206750",7.16383695107e-05,0.000358191847554,0.52711512286,0.396231821764,0.000107457554266,0.000358191847554,0.000286553478043,0.0,3.58191847554e-05,0.0,0.00619671896268,0.0282971559567,0.00333118418225,0.000608926140841,0.0,0.000358191847554,3.58191847554e-05,0.000394011032309,0.000429830217064,3.58191847554e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.58191847554e-05,0.0,0.0,0.0,0.0,0.0,0.000107457554266,3.58191847554e-05,7.16383695107e-05,0.0162260906942,0.0,0.0,0.00419084461638,0.0,0.0,0.0,0.014936600043,0.0,0.0,0.000107457554266,0.0,0.0,3.58191847554e-05,0.0,0.0,0.0
"X206751",3.93329137823e-05,3.93329137823e-05,0.475849590938,0.464718376337,0.0,0.0,0.000157331655129,0.0,0.0,0.0,0.000314663310258,0.0217904342354,0.00652926368785,7.86658275645e-05,0.0,0.000157331655129,0.0,3.93329137823e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169918187539,3.93329137823e-05,0.0,0.00228130899937,0.0,0.0,0.0,0.010659219635,0.000157331655129,0.0,0.000117998741347,0.0,0.0,3.93329137823e-05,0.0,0.0,0.0
"X206756",8.51281178173e-05,0.0881076019409,0.505746147953,0.342598110156,0.0,0.0,0.000127692176726,0.0,0.0,0.0,0.00183025453307,0.0160040861497,0.00570358389376,0.000127692176726,0.0,0.000255384353452,0.000127692176726,0.0,8.51281178173e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000212820294543,0.0,8.51281178173e-05,8.51281178173e-05,0.0,0.0,0.0,0.0,0.0,0.0207286966885,0.0,0.0,0.00310717630033,0.0,0.0,0.0,0.00429896994977,0.0,0.0,0.0106835787861,0.0,0.0,0.0,0.0,0.0,0.0
"X206755",0.000161629222563,0.0539437530305,0.408356230807,0.479392274123,0.0,0.0,4.04073056409e-05,0.0,0.0,0.0,0.00214158719897,0.0215775012122,0.00509132051075,0.000202036528204,0.0,0.000323258445127,0.000161629222563,4.04073056409e-05,0.0,0.0,0.000161629222563,0.0,0.0,0.0,0.0,0.0,0.000161629222563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141021496687,0.0,0.0,0.00319217714563,0.0,0.0,0.0,0.00165669953128,0.0,0.0,0.0092936802974,0.0,0.0,0.0,0.0,0.0,0.0
"X206767",0.0,0.000172072614643,0.518196678999,0.298718059021,0.0,0.0,0.000172072614643,0.0,0.0,0.00111847199518,0.00404370644412,0.0189279876108,0.00438785167341,0.000344145229287,0.0,8.60363073217e-05,0.000946399380539,8.60363073217e-05,0.0,0.0,0.00903381226878,0.0,0.0,0.0,0.0,0.0,0.0295964897187,0.000344145229287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00421577905876,0.0,0.0,0.00963606642003,0.0,0.0,0.0,0.0999741891078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206766",0.0,0.000669428057403,0.549056524832,0.375005229907,0.0,0.000125517760763,0.000167357014351,0.0,0.0,0.0,0.00117149910046,0.0222584829087,0.00213380193297,0.000125517760763,0.0,8.36785071754e-05,0.000753106564579,0.0,0.0,0.0,0.00389105058366,0.0,0.0,0.0,0.0,0.0,0.0155642023346,0.0,0.0,8.36785071754e-05,0.0,0.0,0.0,0.0,0.0,0.00292874775114,0.0,0.0,0.00518806744488,0.0,0.0,0.0,0.0207104305259,0.0,0.0,0.0,0.0,0.0,0.0,8.36785071754e-05,0.0,0.0
"X206769",0.0,0.0,0.0147601476015,0.0184501845018,0.0,0.0,0.090405904059,0.0,0.0,0.00553505535055,0.0848708487085,0.020295202952,0.0,0.0461254612546,0.0,0.0,0.0,0.0479704797048,0.0,0.0,0.0,0.0,0.0,0.0,0.00922509225092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632841328413,0.0,0.0,0.0,0.029520295203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206768",0.0,0.0049172999553,0.0107286544479,0.0268216361198,0.000447027268663,0.000894054537327,0.0129637907912,0.0160929816719,0.0125167635226,0.0,0.177022798391,0.00312919088064,0.00134108180599,0.0433616450603,0.0,0.0,0.0,0.0201162270899,0.00447027268663,0.0,0.00357621814931,0.0,0.0,0.00178810907465,0.0,0.00447027268663,0.0116227089852,0.0,0.0,0.0,0.0049172999553,0.00536432722396,0.0,0.0,0.0,0.0,0.0,0.0,0.607957085382,0.0,0.00312919088064,0.00447027268663,0.0084935181046,0.00178810907465,0.00178810907465,0.0,0.0,0.0,0.0,0.0,0.0,0.00581135449262
"X224327",0.0,0.035655202438,0.457074444928,0.35502829778,0.0,0.0,0.0,0.0,0.0,0.0,0.000217675228559,0.00152372659991,0.0139312146278,8.70700914236e-05,0.0,8.70700914236e-05,0.0103178058337,0.0,8.70700914236e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00139312146278,0.0,0.0,0.00949063996517,0.0,0.0,0.0,0.114976055725,0.0,0.0,0.000130605137135,0.0,0.0,0.0,0.0,0.0,0.0
"X224328",0.0,0.0337117303062,0.483239689638,0.341665711119,0.0,0.0,3.82219164469e-05,0.0,0.0,0.0,0.00049688491381,0.00259909031839,0.00886748461568,3.82219164469e-05,0.0,0.0,0.00871459694989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000152887665788,0.0,0.0,0.0,0.0,3.82219164469e-05,0.0,0.0,0.0,0.00347819439667,0.0,0.0,0.0268700072622,0.0,0.0,0.0,0.0900890570653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219633",0.0,0.00739371534196,0.140418977203,0.817067159581,0.000431300061614,0.000123228589033,0.000739371534196,0.0,0.0,0.0,0.00936537276648,0.0022797288971,0.0150955021565,0.000739371534196,0.0,0.000308071472582,0.000308071472582,6.16142945163e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000184842883549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00369685767098,0.0,0.0,0.000492914356131,0.0,0.0,0.0,0.00129390018484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219634",7.78331257783e-05,0.00770547945205,0.0832814445828,0.858655043587,0.0,0.0,0.00272415940224,0.0,0.0,0.0,0.0210927770859,0.00295765877958,0.00871731008717,0.00171232876712,0.0,0.000155666251557,0.00046699875467,0.00116749688667,0.00132316313823,0.0,0.000622665006227,0.0,0.0,0.0,0.0,0.0,0.00093399750934,0.0,0.0,0.0,0.0,7.78331257783e-05,0.0,0.0,0.0,0.00373599003736,0.0,0.0,0.00350249066002,0.0,0.0,0.0,0.0010896637609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219637",0.025,0.0,0.0,0.1375,0.0,0.0,0.0,0.1625,0.2875,0.1375,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0375,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0375,0.0
"X219638",0.0,0.0122773962195,0.0893454081323,0.804655685893,0.0,0.00388986810916,0.000303895946028,0.00334285540631,0.0,0.0,0.00255272594664,0.00486233513645,0.0511760773111,0.000911687838084,0.0,0.00680726919103,0.00182337567617,0.000121558378411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064425940558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102716829757,0.0,0.0,0.000668571081262,0.0,0.000547012702851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219659",0.0,0.004329004329,0.289562289562,0.338624338624,0.0,0.011063011063,0.012506012506,0.0,0.0,0.00481000481,0.003848003848,0.018759018759,0.016835016835,0.00962000962001,0.0,0.010582010582,0.0,0.0,0.02405002405,0.00529100529101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028379028379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029341029341,0.0,0.010101010101,0.0,0.0,0.0,0.0,0.012025012025,0.00577200577201,0.0,0.164502164502,0.0,0.0,0.0,0.0,0.0,0.0
"X219653",0.0,0.0245859213251,0.294875776398,0.456055900621,0.0,0.00036231884058,0.0,0.0,0.0,0.0,0.00295031055901,0.0295031055901,0.0266563146998,0.00869565217391,0.0,0.000724637681159,0.000569358178054,0.0,0.0,0.0,0.0113871635611,0.0,0.0,0.0,0.0,0.0,0.0212732919255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133022774327,0.000569358178054,0.0,0.0238612836439,0.0,0.0,0.0,0.0204451345756,0.00900621118012,0.0,0.0551759834369,0.0,0.0,0.0,0.0,0.0,0.0
"X219654",0.0,0.0124551916884,0.174068898475,0.578042408409,0.0,0.0131235190473,0.000486056261012,0.00285558053345,0.0,0.000364542195759,0.00121514065253,0.0523725621241,0.010085667416,0.000850598456771,0.0,0.000911355489398,0.000729084391518,0.0,0.000425299228386,0.0,0.00249103833769,0.0,0.0,0.0,0.0,0.0,0.00528586183851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178018105596,0.0,0.0,0.00255179537031,0.0,0.0,0.0,0.0131235190473,0.0133057901452,0.0,0.0974542803329,0.0,0.0,0.0,0.0,0.0,0.0
"X219693",0.0,0.000962000962001,0.0473785473785,0.823953823954,0.0,0.0,0.00132275132275,0.000962000962001,0.00012025012025,0.0,0.047619047619,0.0208032708033,0.0220057720058,0.0012025012025,0.00012025012025,0.00276575276575,0.0,0.0,0.000721500721501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253727753728,0.0,0.0,0.002886002886,0.0,0.0,0.0,0.00180375180375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219668",0.0,0.016,0.0144,0.3664,0.0,0.0,0.0192,0.0,0.0,0.0,0.0688,0.0304,0.024,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.0,0.0,0.0,0.1824,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0
