Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.576280443635726,0.547019595087076,-0.009435819150139834,0.07150591174174076
2,0.431534448573693,0.170897357434923,-0.034250320626179276,0.09473216901650293
3,0.316595855886299,0.394377662783304,-0.011964722343625472,0.11063470667031418
4,0.474723464482099,0.429705806491556,-0.03743106336593391,0.06589359485073025
5,1.0,0,-0.0544092692330379,0.02085075726662984
6,0.572623089026812,0.298263959204992,-0.022659426857741888,0.0770041598491285
7,0.862291757284099,0.187813104262151,-0.02121093744521004,0.09675743958227923
8,0.852515370891765,0.0783315749000864,-0.017508410657755324,0.07688336862344361
9,0.45932554302839,0.109134995141933,-0.012817033422222391,0.10404827487606125
Averages,0.6162099969787648,0.24617156170066906,-0.02463188923353845,0.07981226471964784
