"","Acetobacteraceae","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Pasteurellaceae","Corynebacteriaceae","Peptococcaceae","Solibacteraceae_Subgroup_3_","Pseudomonadaceae","Sphingomonadaceae","Lactobacillaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Flavobacteriaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","DA101_soil_group","Burkholderiaceae","Family_XI","Leptotrichiaceae","Sphingobacteriaceae","Coriobacteriaceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Leuconostocaceae","Rikenellaceae","Opitutaceae","Fusobacteriaceae","Caulobacteraceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Defluviitaleaceae","Moraxellaceae","Hyphomicrobiaceae","Oxalobacteraceae","Thermaceae","Cellulomonadaceae","Eubacteriaceae","Cytophagaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Blastocatellaceae_Subgroup_4_","Methylobacteriaceae","Mollicutes_RF9(order)","Erythrobacteraceae","Acidaminococcaceae","Bacteroidales_S24_7_group","Unknown_Family","Anaerolineaceae","Chromatiaceae","OPB56","OPB35_soil_group(class)","Synergistaceae","Tectomicrobia(phylum)","NS11_12_marine_group","Nocardiaceae","Nocardioidaceae","Methanobacteriaceae","Neisseriaceae","Chitinophagaceae","Rhizobiaceae","Planctomycetaceae","uncultured","env_OPS_17","Intrasporangiaceae","Thermoplasmatales_Incertae_Sedis","Xanthobacteraceae","Streptomycetaceae","Chloroplast(class)","Geodermatophilaceae","Family_X","Staphylococcaceae","Campylobacteraceae","Coxiellaceae","ML635J_21(class)","Brevibacteriaceae","Methylophilaceae","Enterobacteriaceae","FamilyI","Anaeroplasmataceae","Microbacteriaceae","Verrucomicrobiaceae","Carnobacteriaceae","Helicobacteraceae","TK10(class)","Candidatus_Nomurabacteria(class)","Aeromonadaceae","Clostridiaceae_1","Propionibacteriaceae","Bogoriellaceae","Bradyrhizobiaceae","Cellvibrionaceae","Subgroup_2(class)","Rhodocyclaceae","Dermabacteraceae","Pseudonocardiaceae"
"X206622",0.0,0.0,0.0006620324395895399,0.0,0.0,0.0009930486593843098,0.3437603442568686,0.0,0.00016550810989738498,0.0,0.0026481297583581596,0.005627275736511089,0.0,0.0,0.0,0.0572658060244952,0.0,0.0004965243296921549,0.0004965243296921549,0.0018205892088712346,0.0,0.0,0.0,0.0,0.0,0.0018205892088712346,0.0,0.5076133730552798,0.02399867593512082,0.0008275405494869249,0.0,0.0,0.029129427341939754,0.0,0.0,0.0009930486593843098,0.0,0.0,0.0,0.0,0.0,0.00033101621979476995,0.0,0.0,0.0,0.0,0.0011585567692816948,0.0,0.0,0.0,0.0,0.0013240648791790798,0.0,0.00016550810989738498,0.007447864945382324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011585567692816948,0.0,0.0,0.0,0.0019860973187686196,0.0006620324395895399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004137702747434625,0.0006620324395895399,0.0,0.0004965243296921549,0.0,0.0,0.0,0.0,0.0,0.0,0.0016550810989738498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004965243296921549
"X206623",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2932692307692308,0.0,0.0,0.052884615384615384,0.0,0.0,0.0,0.004807692307692308,0.0,0.004807692307692308,0.2980769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014423076923076924,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13942307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206626",0.0,0.0,0.0,0.0,0.0,0.0,0.1608695652173913,0.0,0.0,0.0,0.0,0.030434782608695653,0.0,0.0,0.0,0.508695652173913,0.034782608695652174,0.017391304347826087,0.0,0.013043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.004347826086956522,0.06086956521739131,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08260869565217391,0.0,0.0,0.0,0.05217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206628",0.0,0.0,0.07467532467532467,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1331168831168831,0.0,0.016233766233766232,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016233766233766232,0.01948051948051948,0.05844155844155844,0.0,0.0,0.03571428571428571,0.0,0.006493506493506494,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.0008663008951775916,0.0,0.0010106843777071904,0.0004331504475887958,0.00014438348252959862,0.0,0.09615939936471268,0.00822985850418712,0.005342188853595149,0.0,0.0,0.00014438348252959862,0.0,0.0,0.0,0.48094138030609296,0.01891423621137742,0.0031764366156511693,0.0015882183078255846,0.05111175281547791,0.0,0.0,0.0,0.006352873231302339,0.0,0.0,0.005919722783713543,0.2777938203869477,0.0017326017903551833,0.00014438348252959862,0.0,0.0,0.0008663008951775916,0.0,0.004764654923476754,0.0,0.006064106266243142,0.0,0.0,0.0,0.0,0.0,0.0,0.0010106843777071904,0.0,0.0,0.0,0.0007219174126479931,0.0010106843777071904,0.0,0.0,0.0,0.0,0.0,0.009818076812012706,0.0014438348252959862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014438348252959862,0.0,0.0,0.0,0.0,0.0,0.007507941091539128,0.0,0.0008663008951775916,0.0020213687554143807,0.0,0.0024545192030031764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206629",0.0004250797024442083,0.0,0.0,0.0,0.0,0.0,0.09160467587672688,0.016790648246546226,0.005951115834218916,0.0,0.0,0.002975557917109458,0.004038257173219979,0.0004250797024442083,0.0,0.61211477151966,0.022741764080765142,0.005313496280552604,0.0,0.05058448459086079,0.0,0.0,0.0,0.010839532412327312,0.0,0.0,0.0004250797024442083,0.07927736450584484,0.001487778958554729,0.005526036131774708,0.0,0.0,0.0,0.0,0.005951115834218916,0.002975557917109458,0.005313496280552604,0.0,0.0,0.0,0.0076514346439957494,0.0,0.0,0.0,0.0,0.0,0.0,0.0025504782146652497,0.0,0.0,0.0,0.004888416578108395,0.0,0.0,0.009351753453772583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002975557917109458,0.0,0.0,0.0,0.00021253985122210415,0.0,0.0,0.0,0.0,0.016153028692879916,0.0,0.0,0.0,0.0,0.0,0.028267800212539853,0.0,0.0,0.0,0.0,0.0006376195536663124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025504782146652497,0.0,0.0,0.0,0.0,0.0
"X206636",0.0,0.0,0.014598540145985401,0.0,0.0,0.0,0.34124087591240876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31386861313868614,0.05291970802919708,0.0072992700729927005,0.0,0.010948905109489052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1259124087591241,0.0,0.023722627737226276,0.0,0.0,0.0,0.0,0.0,0.0,0.03467153284671533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.020072992700729927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01824817518248175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023722627737226276,0.0,0.0,0.0,0.0,0.0,0.005474452554744526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206635",0.0,0.0,0.002163981726376533,0.0,0.000721327242125511,0.0,0.5473270818305682,0.000881622184820069,4.0073735673639494e-05,0.000561032299430953,0.0,0.0,0.0,0.0012022120702091848,0.0,0.1844594053057626,0.014987577141941173,0.006772461328845075,0.0,0.0028452352328284043,0.0,0.0,0.0,8.014747134727899e-05,8.014747134727899e-05,0.0,4.0073735673639494e-05,0.19027009697844033,0.0,0.013424701450669232,0.0012022120702091848,0.0,0.000881622184820069,0.0,0.00012022120702091849,0.0,0.021880259677807164,0.0,8.014747134727899e-05,8.014747134727899e-05,4.0073735673639494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009216959204937084,0.0,0.0,0.0,0.0,0.00561032299430953,0.0,0.0,0.0,8.014747134727899e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0073735673639494e-05,0.0,0.0,0.0,0.0,0.0,0.0023643504047447302,0.0,0.0,0.0,0.0005209585637573135,0.00024044241404183698,0.0,0.0,0.0,0.0,8.014747134727899e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206644",0.0,0.0,0.0005102908657935023,0.0,0.0010205817315870045,0.0,0.06837897601632931,0.014628338152747066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38594999149515224,0.0,0.0023813573737030106,0.0,0.014118047286953563,0.0,0.0,0.0,0.0,0.0,0.0,0.00017009695526450075,0.49141010375914274,0.0,0.0008504847763225039,0.0005102908657935023,0.0,0.0003401939105290015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017009695526450075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005102908657935023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010205817315870045,0.0003401939105290015,0.0,0.0,0.0,0.0,0.017179792481714577,0.0,0.0,0.0,0.0005102908657935023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206643",0.0,0.0,0.0,0.0,0.0011703606173652256,0.0,0.08324189891010167,0.03247750713188501,0.0005120327700972862,0.0,0.0,7.31475385853266e-05,0.0,0.0,0.0001462950771706532,0.44561480506180967,0.0,0.0019018360032184917,0.0,0.01441006510130934,0.0,0.0,0.0,0.0008046229244385927,0.0,0.0,0.00021944261575597982,0.38863287250384027,0.0,0.00731475385853266,0.0012435081559505523,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0005851803086826128,0.00021944261575597982,7.31475385853266e-05,0.0,0.0013898032331212055,0.0,0.000365737692926633,0.0,0.0,0.0,0.0,0.00043888523151195964,0.0,0.0,0.0,0.0005851803086826128,0.0,0.0,0.0,0.0005851803086826128,0.0,0.0,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0,0.0,0.016897081413210446,0.0,0.0,0.0,0.0,0.0002925901543413064,0.0,0.00021944261575597982,0.0,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
