"","x"
"1","Lactobacillus"
"2","Lachnospiraceae_UCG_001"
"3","Blautia"
"4","Sphingobacterium"
"5","Butyricicoccus"
"6","Intestinibacter"
"7","Opitutus"
"8","Massilia"
"9","_Eubacterium_brachy_group"
"10","Anaerofustis"
"11","Hymenobacter"
"12","Butyricimonas"
"13","Solobacterium"
"14","Tyzzerella"
"15","Erysipelatoclostridium"
"16","Alloprevotella"
"17","Roseomonas"
"18","NS11_12_marine_group(family)"
"19","Gordonia"
"20","Dysgonomonas"
"21","Paludibacter"
"22","Parvimonas"
"23","Lactococcus"
"24","Rickettsiella"
"25","Aggregatibacter"
"26","Allisonella"
"27","Finegoldia"
"28","Eggerthella"
"29","Candidatus_Stoquefichus"
"30","Methanobrevibacter"
"31","Propionibacterium"
"32","Sarcina"
"33","Epulopiscium"
"34","Micrococcus"
