"","Proteobacteria","Bacteroidetes","Firmicutes","Actinobacteria","Verrucomicrobia","Acidobacteria","Fusobacteria","Deinococcus_Thermus","Cyanobacteria","Tenericutes","Chloroflexi","Chlorobi","Synergistetes","Euryarchaeota","Planctomycetes","Tectomicrobia","Parcubacteria"
"X206621",0.176470588235,0.676470588235,0.147058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206622",0.0155577623304,0.56421714664,0.413935782853,0.00231711353856,0.0,0.00264812975836,0.0,0.0,0.00066203243959,0.0,0.0,0.0,0.0,0.0,0.00066203243959,0.0,0.0
"X206620",0.41935483871,0.241935483871,0.338709677419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.418994413408,0.0935754189944,0.139664804469,0.276536312849,0.0,0.00837988826816,0.0,0.0,0.0628491620112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206623",0.192307692308,0.389423076923,0.125,0.293269230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206626",0.147826086957,0.0695652173913,0.726086956522,0.00434782608696,0.0521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206625",0.0840840840841,0.551951951952,0.360960960961,0.0024024024024,0.000600600600601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206628",0.409090909091,0.0746753246753,0.5,0.00649350649351,0.0,0.0,0.00649350649351,0.0,0.00324675324675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206627",0.928571428571,0.0238095238095,0.0,0.0,0.047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.0356627201848,0.283857926653,0.652757724516,0.0200693040716,0.0,0.0,0.00476465492348,0.00101068437771,0.00101068437771,0.000866300895178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206629",0.0964930924548,0.0807651434644,0.802550478215,0.0142401700319,0.0,0.0,0.00595111583422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206636",0.0839416058394,0.125912408759,0.755474452555,0.0346715328467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206635",0.019275466859,0.191151719163,0.766810932115,0.0220405546205,0.000520958563757,0.0,0.000200368678368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206644",0.0323184215003,0.492260588535,0.474740602143,0.000170096955265,0.000510290865794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206643",0.0519347523956,0.38936434789,0.556506473557,0.00182868846463,0.0,0.0,0.0,0.0,0.0,0.0,0.000219442615756,0.000146295077171,0.0,0.0,0.0,0.0,0.0
"X206670",0.0308517019043,0.363435297646,0.533925626031,0.000674763832659,0.0692382666067,0.0,0.000412355675514,0.0,0.00146198830409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206669",0.617021276596,0.0106382978723,0.148936170213,0.127659574468,0.0744680851064,0.0,0.0,0.0,0.0212765957447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206676",0.0622083981337,0.190426818732,0.735787109037,0.0038016243304,0.000172801105927,0.0,0.00725764644894,0.0,0.0,0.000345602211854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206675",0.0349367088608,0.30835443038,0.649113924051,0.00329113924051,0.0,0.0,0.0,0.0,0.0,0.00278481012658,0.00101265822785,0.0,0.0,0.000506329113924,0.0,0.0,0.0
"X206677",0.266347893513,0.144481778237,0.573403980357,0.00387697079349,0.000129232359783,0.00271387955544,0.00542775911088,0.0,0.00361850607392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206678",0.0795374085438,0.321571866887,0.589686098655,0.0082605617182,0.000944064196365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206684",0.0509534504778,0.421191702999,0.525961157352,0.00189368917074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206683",0.0222454399025,0.362239345261,0.612511427452,0.00300378738409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206571",0.283726973936,0.491248184667,0.216922724146,0.000305740273638,0.0,0.0,0.00756707177253,0.0,0.000229305205228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206603",0.275883891655,0.437642393047,0.276558940174,0.000126571597334,0.0,0.0,0.00978820352713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206572",0.458674188999,0.325740479549,0.209661495063,0.00162200282087,0.0,0.0,0.00430183356841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215061",0.225516687359,0.241583290732,0.52019279924,0.000292120061345,0.00657270138027,0.0,0.0,0.0,0.000511210107354,0.00262908055211,0.0,0.0,0.000803330168699,0.00167969035273,0.0,0.000219090046009,0.0
"X215062",0.206853912736,0.166401695813,0.60687157746,0.00158982511924,0.00759583112524,0.0,0.0,0.0,0.000529941706412,0.00229641406112,0.0,0.0,0.0012365306483,0.00627097685921,0.0,0.0,0.000353294470942
"X215080",0.207963528784,0.283233910471,0.442843978854,0.0379746835443,0.0247344682089,9.69979145448e-05,0.00189145933362,0.0,0.000921480188176,0.000339492700907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
