"","x"
"1","Blastocatellaceae_Subgroup_4_"
"2","Solibacteraceae_Subgroup_3_"
"3","Peptostreptococcaceae"
"4","Leuconostocaceae"
"5","Aerococcaceae"
"6","Thermaceae"
"7","Brucellaceae"
"8","Subgroup_6(class)"
"9","uncultured"
"10","Unknown_Family"
"11","Thermoanaerobacteraceae"
"12","Chitinophagaceae"
"13","Synergistaceae"
"14","NS11_12_marine_group"
"15","Nocardiaceae"
"16","Victivallaceae"
"17","env_OPS_17"
"18","Defluviitaleaceae"
"19","Family_X"
"20","Desulfovibrionaceae"
"21","Bacteroidetes_vadinHA17(class)"
"22","Sanguibacteraceae"
