"","x"
"1","Ruminococcaceae"
"2","Solibacteraceae_Subgroup_3_"
"3","uncultured"
"4","Blastocatellaceae_Subgroup_4_"
"5","WCHB1_32(class)"
"6","Porphyromonadaceae"
"7","Rikenellaceae"
"8","Aerococcaceae"
"9","Brucellaceae"
"10","Subgroup_6(class)"
"11","Thermoanaerobacteraceae"
"12","Chitinophagaceae"
"13","Synergistaceae"
"14","NS11_12_marine_group"
"15","Paenibacillaceae"
"16","Nocardiaceae"
"17","Victivallaceae"
"18","env_OPS_17"
"19","Family_X"
"20","Anaeroplasmataceae"
"21","Helicobacteraceae"
"22","TK10(class)"
"23","Rhodocyclaceae"
