"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Pasteurellales","Corynebacteriales","Pseudomonadales","Lactobacillales","Blastocatellales","Selenomonadales","Erysipelotrichales","WCHB1_32(class)","Sphingomonadales","Chthoniobacterales","Bacillales","Sphingobacteriales","Coriobacteriales","Solibacterales","Opitutales","Fusobacteriales","Caulobacterales","Bifidobacteriales","Actinomycetales","Rhizobiales","Thermales","Flavobacteriales","Micrococcales","Cytophagales","Gastranaerophilales","Subgroup_6(class)","Gaiellales","Mollicutes_RF9","Micromonosporales","Unknown_Order","Anaerolineales","Chromatiales","Chlorobiales","Thermoanaerobacterales","Synergistales","Victivallales","Propionibacteriales","Methanobacteriales","Neisseriales","Planctomycetales","Thermoplasmatales","Streptomycetales","Chloroplast(class)","Desulfovibrionales","Campylobacterales","Bacteroidetes_vadinHA17(class)","Acidimicrobiales","Legionellales","Enterobacteriales","Acidobacteriales","Tectomicrobia(phylum)","Frankiales","Xanthomonadales","Methylophilales","OPB35_soil_group(class)","Solirubrobacterales","ML635J_21(class)","SubsectionIV","Anaeroplasmatales","Verrucomicrobiales","uncultured(class)","TK10(class)","Candidatus_Nomurabacteria(class)","Aeromonadales","SC_I_84","Gemmatimonadales","Cellvibrionales","Myxococcales","SubsectionI","Subgroup_2(class)","Rhodocyclales","JG30_KF_CM45","Pseudonocardiales"
"X206621",0.0,0.0,0.147058823529,0.676470588235,0.0,0.0,0.0,0.147058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206622",0.0,0.0,0.40334326382,0.560741476332,0.000993048659384,0.0,0.000165508109897,0.00562727573651,0.000827540549487,0.0,0.00794438927507,0.00182058920887,0.0,0.000165508109897,0.0,0.0,0.00182058920887,0.0,0.00264812975836,0.0,0.0,0.000993048659384,0.0,0.0,0.00364117841774,0.0,0.000496524329692,0.000496524329692,0.00115855676928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00115855676928,0.0,0.0,0.00066203243959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00413770274743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00066203243959,0.0,0.0,0.0,0.000496524329692
"X206620",0.0,0.0,0.338709677419,0.241935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.0642458100559,0.0,0.108938547486,0.0935754189944,0.0,0.0,0.0516759776536,0.233240223464,0.0,0.0,0.0,0.0307262569832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279329608939,0.0,0.0265363128492,0.0,0.0,0.122905027933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0572625698324,0.0,0.0,0.0,0.0,0.0,0.0474860335196,0.0,0.0,0.0,0.0167597765363,0.0,0.0460893854749,0.00837988826816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153631284916,0.0,0.0,0.0,0.0,0.0,0.0209497206704,0.0,0.0,0.0,0.0279329608939,0.0,0.0,0.0,0.0,0.0
"X206623",0.0,0.0,0.00480769230769,0.0913461538462,0.0,0.0,0.293269230769,0.0528846153846,0.115384615385,0.0,0.00480769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139423076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206626",0.0,0.0347826086957,0.669565217391,0.0695652173913,0.0,0.0,0.0,0.0304347826087,0.0,0.0,0.0434782608696,0.0130434782609,0.0,0.0,0.0,0.0,0.0,0.00434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206625",0.0,0.0540540540541,0.315915915916,0.551951951952,0.0,0.0,0.0,0.0,0.0,0.0,0.0108108108108,0.0204204204204,0.0,0.0,0.0,0.0138138138138,0.0,0.0012012012012,0.0,0.0,0.0,0.0,0.0,0.0012012012012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108108108108,0.0,0.0,0.0,0.0,0.0192192192192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000600600600601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206628",0.0,0.0,0.211038961039,0.0714285714286,0.0,0.0,0.0,0.0,0.0584415584416,0.0,0.0162337662338,0.214285714286,0.0,0.0,0.0,0.0,0.00324675324675,0.0,0.0,0.0,0.00649350649351,0.0,0.00649350649351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324675324675,0.0,0.0,0.0,0.0,0.0,0.409090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206627",0.0,0.357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095,0.0,0.0,0.0,0.0,0.547619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.000866300895178,0.0189142362114,0.584608720762,0.282269708345,0.0,0.00822985850419,0.0053421888536,0.00014438348253,0.00259890268553,0.0,0.0129945134277,0.0511117528155,0.0,0.0,0.0,0.0014438348253,0.0,0.00591972278371,0.0,0.0,0.00476465492348,0.0,0.00606410626624,0.0,0.0,0.00101068437771,0.00158821830783,0.00274328616806,0.0,0.00101068437771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00750794109154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000866300895178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
