"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Cyanobacteria","Tenericutes","Chloroflexi","Chlorobi","Synergistetes","Lentisphaerae","Euryarchaeota","Planctomycetes","Tectomicrobia","Armatimonadetes","Parcubacteria","Gemmatimonadetes"
"X206621",0.176470588235,0.147058823529,0.676470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206622",0.0155577623304,0.413935782853,0.56421714664,0.00231711353856,0.00264812975836,0.0,0.0,0.0,0.00066203243959,0.0,0.0,0.0,0.0,0.0,0.0,0.00066203243959,0.0,0.0,0.0,0.0
"X206620",0.41935483871,0.338709677419,0.241935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.418994413408,0.139664804469,0.0935754189944,0.276536312849,0.00837988826816,0.0,0.0,0.0,0.0628491620112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206623",0.192307692308,0.125,0.389423076923,0.293269230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206626",0.147826086957,0.726086956522,0.0695652173913,0.00434782608696,0.0,0.0521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206625",0.0840840840841,0.360960960961,0.551951951952,0.0024024024024,0.0,0.000600600600601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206628",0.409090909091,0.5,0.0746753246753,0.00649350649351,0.0,0.0,0.00649350649351,0.0,0.00324675324675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206627",0.928571428571,0.0,0.0238095238095,0.0,0.0,0.047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.0356627201848,0.652757724516,0.283857926653,0.0200693040716,0.0,0.0,0.00476465492348,0.00101068437771,0.00101068437771,0.000866300895178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
