"","Clostridia","Bacteroidia","Alphaproteobacteria","Actinobacteria","Gammaproteobacteria","Bacilli","Blastocatellia","Betaproteobacteria","Negativicutes","WCHB1_32","Sphingobacteriia","Coriobacteriia","Flavobacteriia","Erysipelotrichia","Subgroup_6","Thermoleophilia","Anaerolineae","Cytophagia","Lentisphaeria","Fusobacteriia","Deltaproteobacteria","Bacteroidetes_vadinHA17","Melainabacteria","Chloroplast","Epsilonproteobacteria","Verrucomicrobiae","uncultured","Methanobacteria","Gemmatimonadetes","Opitutae","Thermomicrobia"
"X206713",0.257821442198,0.711131247615,4.76917207173e-05,0.00157382678367,0.000667684090042,0.00143075162152,0.0,0.00133536818008,0.00643838229683,0.0,0.0,0.000667684090042,9.53834414346e-05,0.00152613506295,0.0,0.0,0.0,0.0,0.0,0.00543685616177,0.0118275467379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206712",0.37037037037,0.589602024385,0.0,0.00308258569128,0.00110420979986,0.00133425350817,0.0,0.000736139866575,0.00515297906602,0.0,0.0,0.00234644582471,0.0,0.00818955601564,0.0,0.0,0.0,0.0,0.0,0.00676328502415,0.0111801242236,0.0,0.0,0.0,0.000138026224983,0.0,0.0,0.0,0.0,0.0,0.0
"X206732",0.375283689462,0.561983471074,0.0,0.0146447993834,0.00355414721877,0.000171284203314,0.0,0.0151158309425,0.01498736779,0.0,0.0,0.000428210508286,4.28210508286e-05,0.004496210337,0.0,0.0,0.0,0.0,0.0026977262022,0.000342568406629,0.00616623131932,0.0,0.0,0.0,0.0,0.0,0.0,8.56421016572e-05,0.0,0.0,0.0
"X206731",0.429317887233,0.50518470512,0.0,0.0159996759559,0.00166072585872,0.0128807517822,0.0,0.0106934543098,0.0118681140635,0.0,0.0,0.000405055087492,0.0,0.00615683732988,0.0,0.0,0.0,0.0,0.00109364873623,0.0,0.00461762799741,0.0,0.0,0.0,0.0,0.0,0.0,0.000121516526248,0.0,0.0,0.0
"X206754",0.479580260919,0.363112119493,0.00288334278692,0.013754963131,0.030487804878,0.00401777273587,0.000189071658158,0.0216014369446,0.00916997542068,0.0,0.0,0.00557761391567,0.0,0.0339383626394,0.000378143316317,0.000141803743619,0.0,0.000189071658158,0.0,0.0266118358858,0.0075155984118,0.0,0.0,4.72679145396e-05,0.0,0.000236339572698,0.0,0.000330875401777,0.0,4.72679145396e-05,0.000189071658158
"X206762",0.463421934866,0.356142241379,0.0,0.00616618773946,0.123144157088,0.00203544061303,0.0,0.00239463601533,0.0249042145594,0.0,5.98659003831e-05,0.00287356321839,0.00287356321839,0.0153256704981,0.0,0.0,0.0,0.0,0.0,0.000658524904215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206761",0.336627337394,0.536610299442,0.0,0.0046002470503,0.0889807045193,0.00200195936448,0.0,0.00200195936448,0.0198066192444,0.0,0.0,0.00391872896878,0.0,0.00494100609107,0.0,0.0,0.0,0.0,0.0,0.000511138561145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206770",0.535811667115,0.404931064941,0.00115211797688,0.00334114213295,0.00622143707516,0.00126732977457,3.84039325627e-05,0.0175890011137,0.0120972387572,7.68078651254e-05,0.000192019662813,0.00099850224663,0.000153615730251,0.00871769269173,0.0,0.0,0.0,0.00042244325819,0.0,7.68078651254e-05,0.00691270786128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224330",0.392443806791,0.499713055954,0.0,0.00846484935438,0.00286944045911,0.00296508847441,0.0,0.0556193208991,0.0231946437111,0.0,0.0,0.0024868483979,0.00497369679579,0.00569105691057,0.0,0.0,0.000143472022956,0.0,0.0,0.0,0.0,0.000573888091822,0.0,0.0,0.0,0.000191296030607,0.000286944045911,0.0,0.000382592061215,0.0,0.0
"X224325",0.301626380185,0.540846016115,3.73022978215e-05,0.00100716204118,0.0490152193375,0.00940017905103,0.0,0.0300656520442,0.0264846314533,0.0,0.0,0.00048492987168,0.0,0.00417785735601,0.0,0.0,0.0,0.0,0.0,0.000783348254252,0.0356609967174,0.0,0.0,0.0,0.000410325276037,0.0,0.0,0.0,0.0,0.0,0.0
