"","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Pseudomonadaceae","Lactobacillaceae","Blastocatellaceae_Subgroup_4_","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","WCHB1_32(class)","Sphingomonadaceae","Burkholderiaceae","Family_XI","Sphingobacteriaceae","Coriobacteriaceae","Bacteroidaceae","Clostridiales_vadinBB60_group","Streptococcaceae","Peptostreptococcaceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Caulobacteraceae","Moraxellaceae","Oxalobacteraceae","Flavobacteriaceae","Cellulomonadaceae","Eubacteriaceae","Rikenellaceae","Micrococcaceae","Erysipelotrichaceae","Subgroup_6(class)","uncultured","Porphyromonadaceae","Methylobacteriaceae","Micromonosporaceae","Hyphomicrobiaceae","Acidaminococcaceae","Anaerolineaceae","Cytophagaceae","Thermoanaerobacteraceae","Chitinophagaceae","vadinBE97","Fusobacteriaceae","Nocardioidaceae","Microbacteriaceae","Neisseriaceae","Rhizobiaceae","Victivallaceae","Intrasporangiaceae","Defluviitaleaceae","Comamonadaceae","Staphylococcaceae","Desulfovibrionaceae","Rhodospirillaceae","Bacteroidetes_vadinHA17(class)","Pasteurellaceae","Gastranaerophilales(order)","Enterobacteriaceae","Leptotrichiaceae","Carnobacteriaceae","Geodermatophilaceae","Xanthomonadaceae","Solirubrobacteraceae","Bacillaceae","Chloroplast(class)","Roseiarcaceae","Campylobacteraceae","Verrucomicrobiaceae","uncultured(class)","Clostridiaceae_1","Methanobacteriaceae","Paenibacillaceae","SC_I_84(order)","Gemmatimonadaceae","Sanguibacteraceae","Cellvibrionaceae","Elev_16S_1332","Peptococcaceae","Opitutaceae","JG30_KF_CM45(order)","Pseudonocardiaceae"
"X206713",0.0,0.000381533765738,9.53834414346e-05,0.0,0.072205265166,0.000381533765738,4.76917207173e-05,4.76917207173e-05,0.0,0.183899275086,0.00133536818008,0.00476917207173,0.0,4.76917207173e-05,0.0,0.000381533765738,0.0,0.000667684090042,0.619276993514,0.0,0.0010969095765,0.00147844334224,0.00100152613506,0.0,0.000190766882869,0.0,0.0,0.0,9.53834414346e-05,0.0,0.0,0.000381533765738,0.0,0.00152613506295,0.0,0.0,0.09109118657,0.0,0.0,0.0,0.0016692102251,0.0,0.0,0.0,0.0,0.0,0.00543685616177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118275467379,0.0,0.0,9.53834414346e-05,0.0,0.00052460892789,0.0,4.76917207173e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206712",0.0,0.000414078674948,4.60087416609e-05,0.0,0.0517598343685,0.0,4.60087416609e-05,0.0,0.0,0.313871635611,0.000736139866575,0.00340464688291,0.0,0.0,0.0,0.000414078674948,0.0,0.00234644582471,0.545801702323,0.0,0.00115021854152,0.00427881297447,0.00280653324132,0.0,0.000276052449965,0.0,0.000138026224983,0.0,0.0,0.0,0.0,0.000184034966644,0.0,0.00818955601564,0.0,0.0,0.0432022084196,0.0,0.0,0.0,0.00174833218311,0.0,0.0,0.0,0.0,0.0,0.00676328502415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60087416609e-05,0.0111801242236,0.0,0.0,0.000138026224983,0.0,0.000736139866575,0.0,9.20174833218e-05,0.0,4.60087416609e-05,0.0,0.0,0.0,0.0,0.000138026224983,0.0,0.0,4.60087416609e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206732",0.0192694728729,0.452147475699,0.0017984841348,0.0,0.230548537661,8.56421016572e-05,0.0,0.0,0.0,0.120883826489,0.0148160835867,4.28210508286e-05,0.0,0.0,0.0,4.28210508286e-05,0.0,0.000428210508286,0.0781055967113,0.001498736779,0.0,0.00111334732154,0.0144735151801,0.0,0.0,0.0,0.0,0.000256926304972,4.28210508286e-05,0.0,0.0,0.0156296835524,8.56421016572e-05,0.004496210337,0.0,0.0,0.0161007151115,0.0,0.0,0.0,0.0149445467392,0.0,0.0,4.28210508286e-05,0.0,0.000171284203314,0.000342568406629,0.0,0.0,4.28210508286e-05,0.0,0.00252644199889,0.0,8.56421016572e-05,0.0,4.28210508286e-05,0.00616623131932,0.0,0.0,0.0026977262022,0.0,0.000856421016572,0.0,8.56421016572e-05,0.0,0.0,0.0,4.28210508286e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.56421016572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206731",0.0169718081659,0.410604342191,0.000324044069994,0.0,0.293786454958,8.10110174984e-05,0.000121516526248,0.0,0.0,0.117709008425,0.0106934543098,0.000567077122489,0.0,0.0,0.0,0.000729099157485,0.0,0.000405055087492,0.0784996759559,0.000405055087492,0.0108554763448,0.000121516526248,0.0157971484122,0.0,0.000121516526248,0.0,8.10110174984e-05,0.0,0.0,0.0,0.0,0.00842514581983,0.0,0.00615683732988,0.0,0.0,0.0076555411536,0.0,0.0,0.0,0.011301036941,0.0,0.0,0.0,0.0,4.05055087492e-05,0.0,0.0,0.0,0.0,0.0,0.00105314322748,0.0,0.0,0.0,0.0,0.00461762799741,0.0,0.0,0.00141769280622,0.0,4.05055087492e-05,0.0,0.00129617627997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000121516526248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206754",0.00392323690679,0.00661750803555,0.000614482889015,0.0,0.120391378332,0.000189071658158,0.0,0.0,0.000189071658158,0.353989411987,0.0205142749102,0.00397050482133,0.0,0.0,0.0,0.000141803743619,0.0,0.00557761391567,0.348789941388,0.000141803743619,0.00401777273587,4.72679145396e-05,0.00950085082246,0.0,0.000141803743619,0.0,4.72679145396e-05,0.0,0.0,0.000898090376253,0.0,0.00137076952165,4.72679145396e-05,0.0339383626394,0.000378143316317,0.0,0.00633390054831,0.000661750803555,0.00165437700889,0.0,0.00519947059936,0.0,0.000189071658158,0.0,0.0,0.0,0.0266118358858,0.000614482889015,4.72679145396e-05,0.000709018718094,0.000378143316317,0.0,0.0,0.0,0.000378143316317,0.0,0.0075155984118,0.00184344866704,0.0,0.0279826054074,0.0,0.00245793155606,0.0,0.0,0.000472679145396,0.0,4.72679145396e-05,0.0,4.72679145396e-05,0.0,0.0,0.000236339572698,0.0,0.000330875401777,0.000330875401777,0.0,0.0,0.0,0.0,0.0,9.45358290792e-05,0.0,4.72679145396e-05,0.000189071658158,0.000189071658158
"X206762",0.0,0.00095785440613,0.0,0.0,0.0610033524904,0.00269396551724,0.00233477011494,0.0,0.0,0.399724616858,0.000359195402299,0.0249042145594,0.0,0.0,0.0,0.00221503831418,0.0,0.00287356321839,0.344288793103,0.0,0.00131704980843,0.00095785440613,0.00323275862069,0.0,0.000239463601533,0.0,0.0,0.000658524904215,0.00287356321839,0.0,0.0,0.00131704980843,0.0,0.0153256704981,0.0,0.0,0.0095785440613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98659003831e-05,0.0,0.000658524904215,0.0,0.0,0.0010775862069,0.0,0.0,0.0,0.0,0.000299329501916,0.0,0.0,0.0,0.0,0.0663314176245,0.0,0.0544779693487,0.0,0.000239463601533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206761",0.0,0.000340759040763,0.0,0.0,0.0462580397836,4.25948800954e-05,0.000127784640286,0.0,0.0,0.28998594369,0.00102227712229,0.0198066192444,0.0,0.0,4.25948800954e-05,0.000170379520382,0.0,0.00391872896878,0.520935383567,0.0,0.00149082080334,0.000255569280572,0.00442986752992,4.25948800954e-05,4.25948800954e-05,0.0,4.25948800954e-05,0.0,0.0,0.0,0.0,0.000340759040763,8.51897601908e-05,0.00494100609107,0.0,0.0,0.0149933977936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000511138561145,0.0,0.0,0.000937087362099,0.0,0.0,0.0,0.0,0.0,8.51897601908e-05,0.0,0.0,0.0,0.0452357626613,0.0,0.0435745623376,0.0,0.000212974400477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000127784640286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206770",0.0,0.0377894696417,0.000192019662813,0.000652866853566,0.180536886977,0.000115211797688,0.0,0.0,3.84039325627e-05,0.354545105419,0.0172049617881,0.00864088482661,7.68078651254e-05,0.000153615730251,0.0,3.84039325627e-05,0.000192019662813,0.00099850224663,0.348976535197,0.0,0.00111371404432,0.000499251123315,0.0028802949422,0.0,7.68078651254e-05,0.0,7.68078651254e-05,0.000115211797688,0.000153615730251,0.000115211797688,0.0,0.000384039325627,0.0,0.00871769269173,0.0,0.0,0.0177810207765,0.0,0.0,0.000192019662813,0.00345635393064,0.0,0.00042244325819,0.0,0.0,0.0,7.68078651254e-05,0.0,0.0,0.0,0.000153615730251,0.0,7.68078651254e-05,0.0,0.0,7.68078651254e-05,0.00691270786128,0.0,0.0,0.00188179269557,0.0,0.00410922078421,0.0,7.68078651254e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000268827527939,0.0,7.68078651254e-05,0.000153615730251,0.0,0.0,0.0,0.0,0.0
"X224330",0.000478240076518,0.0799617407939,0.000334768053563,0.0,0.17230989957,0.00602582496413,0.000286944045911,0.0,0.0,0.180774748924,0.0556193208991,0.0193208990913,0.0,0.0,0.0,0.000286944045911,0.0,0.0024868483979,0.403443328551,0.0,0.00153036824486,0.00282161645146,0.00234337637494,0.0,9.56480153037e-05,0.0,0.0,0.0,0.00497369679579,0.0,0.0,0.00406504065041,0.0,0.00569105691057,0.0,0.0,0.0122429459589,0.0,0.0,0.0,0.0038737446198,0.000143472022956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000573888091822,9.56480153037e-05,0.0,0.0024868483979,0.0,0.000191296030607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000191296030607,0.000286944045911,0.03543758967,0.0,0.00124342419895,0.0,0.000382592061215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224325",0.00193971948672,0.0354744852283,0.00108176663682,0.0,0.217696210087,3.73022978215e-05,7.46045956431e-05,0.0,0.0,0.0801999403163,0.0298418382572,0.0264846314533,0.0,0.0,0.0,0.00123097582811,0.0,0.00048492987168,0.327924500149,0.0,0.00581915846016,0.000149209191286,0.000223813786929,0.000671441360788,0.000522232169502,0.0,3.73022978215e-05,0.0,0.0,0.0,0.0,0.0641599522531,0.000223813786929,0.00417785735601,0.0,0.0,0.113287078484,3.73022978215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000671441360788,0.0,0.0,0.000223813786929,0.0,0.0,0.0,0.0,0.0,3.73022978215e-05,0.0356609967174,0.0,0.0,0.000634139062966,0.0,0.0482691733811,0.000111906893465,0.00220083557147,0.0,0.0,0.0,0.0,0.0,0.0,0.000410325276037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
