"","Bacteroidia","Alphaproteobacteria","Clostridia","Actinobacteria","Solibacteres","Gammaproteobacteria","Betaproteobacteria","Negativicutes","Erysipelotrichia","Bacilli","Coriobacteriia","Deinococci","Mollicutes","Melainabacteria","Epsilonproteobacteria","MB_A2_108","Fusobacteriia","Synergistia","Lentisphaeria","Sphingobacteriia","Planctomycetacia","Deltaproteobacteria","Flavobacteriia","Thermoplasmata","Chloroplast","Verrucomicrobiae","Methanobacteria","Cytophagia","Acidobacteria","Verrucomicrobia_Incertae_Sedis"
"X206657",0.410136634357,0.00346451788703,0.401884074896,3.892716727e-05,0.0,0.000973179181751,0.00868075830122,0.00498267741056,0.000895324847211,0.00182957686169,0.00035034450543,7.78543345401e-05,0.00015570866908,0.0116392230137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00397057106154,0.0,0.0,0.0,0.150920627506,0.0,0.0,0.0,0.0
"X206658",0.280852105779,0.00202007835455,0.52277179236,0.00538687561214,0.0,0.0502571008815,0.00808031341822,0.00581537708129,0.000857002938296,0.00287708129285,0.000183643486778,0.0,0.0,0.00122428991185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00367286973555,0.0,0.0,0.000122428991185,0.115450538688,0.0,0.0,0.000428501469148,0.0
"X215004",0.388888888889,0.0,0.315476190476,0.0119047619048,0.0,0.134920634921,0.00793650793651,0.031746031746,0.00396825396825,0.047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0337301587302,0.0,0.0,0.0,0.0,0.0238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215003",0.283192441571,0.00174042764794,0.440079562407,0.0014917951268,0.0,0.0937344604674,0.0343112879165,0.0785678766783,0.00621581302834,0.0328194927897,0.00174042764794,0.0,0.0,0.000248632521134,0.0,0.0,0.00198906016907,0.0,0.0,0.0,0.0,0.0238687220288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215008",0.679740078905,0.000348108609886,0.240194940822,0.00185657925273,0.0,0.0353910420051,0.0298213042469,0.00696217219773,0.00150847064284,0.00116036203295,0.000928289626363,0.0,0.0,0.0,0.0,0.0,0.000232072406591,0.0,0.0,0.0,0.0,0.000232072406591,0.0,0.0,0.0,0.00162450684614,0.0,0.0,0.0,0.0
"X215007",0.595232544586,0.0,0.3276605665,0.00034969110619,0.0,0.0242452500291,0.0259354237091,0.0132299801842,0.00186501923301,0.00233127404126,0.000699382212379,0.0,0.0,0.0,0.0,0.0,0.00157360997785,0.0,0.0,0.0,0.0,5.82818510316e-05,0.0,0.0,0.0,0.0068189765707,0.0,0.0,0.0,0.0
"X215010",0.368856903436,0.0,0.539951693203,0.000197170601863,0.0,0.00532360625031,0.011534480209,0.0104993345492,0.00468280179425,0.00128160891211,0.000246463252329,0.0,0.00916843298664,0.0132597229753,0.000985853009316,0.0,0.0,0.000739389756987,0.000197170601863,0.0,0.0,0.00887267708385,0.0,0.0,0.0,0.0242026913787,0.0,0.0,0.0,0.0
"X215009",0.439408909317,0.000257743030199,0.425190085485,0.00395205979638,0.0,0.0126723656514,0.0164955539327,0.0131448945401,0.00571330383608,0.0384037114996,0.0010739292925,0.0,0.00730271918897,0.0134026375703,0.00236264444349,0.0,0.000171828686799,0.000171828686799,0.000472528888698,0.0,0.0,0.00923579191546,0.0,0.0,4.29571716998e-05,0.0105245070665,0.0,0.0,0.0,0.0
"X215049",0.262237762238,0.0,0.101398601399,0.363636363636,0.0,0.115384615385,0.0034965034965,0.0944055944056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0594405594406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215048",0.372173397847,0.0314012047003,0.462624666732,0.000789967413844,0.000493729633653,0.0258714328034,0.0558901945295,0.00513478818999,0.00691221487114,0.0155031104967,0.000888713340575,0.0,0.00572726375037,0.0,0.00138244297423,0.0,0.00977584674632,0.0,0.0,0.000789967413844,0.000296237780192,0.00424607484941,0.0,0.0,0.0,9.87459267305e-05,0.0,0.0,0.0,0.0
"X215056",0.180600520536,0.00120611946931,0.607058972894,0.00272963879896,0.0,0.062718212404,0.00444359804482,0.0238684694979,0.00736367675998,0.00920459594998,0.000634799720688,0.0,0.0,0.00139655938551,0.0,0.0,0.0146638735479,0.0,0.0,6.34799720688e-05,0.0,0.00660191709516,0.0,0.0,0.0,0.076556846315,0.000888719608963,0.0,0.0,0.0
"X215055",0.340306000478,0.000776954338991,0.506454697585,0.00472149175233,0.0,0.0629333014583,0.00430313172364,0.0117140808033,0.0133277551996,0.00531914893617,0.000776954338991,0.0,0.0,0.00167344011475,0.000418360028688,0.0,0.0103992349988,0.0,0.000478125747071,0.000179297155152,0.0,0.0151804924695,0.0,0.0,0.0,0.0201410470954,0.000358594310304,0.0,0.0,0.000537891465455
