"","Prevotellaceae","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Peptococcaceae","Solibacteraceae_Subgroup_3_","Pseudomonadaceae","Kineosporiaceae","Christensenellaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Burkholderiaceae","Family_XI","Coriobacteriaceae","Bacteroidaceae","Clostridiales_vadinBB60_group","Streptococcaceae","Peptostreptococcaceae","Thermaceae","Caulobacteraceae","Bifidobacteriaceae","Porphyromonadaceae","NB1_n(order)","Actinomycetaceae","Family_XII","Defluviitaleaceae","Oxalobacteraceae","Family_XIII","Alicyclobacillaceae","Rikenellaceae","Micrococcaceae","Gastranaerophilales(order)","Campylobacteraceae","MB_A2_108(class)","Leptotrichiaceae","Mollicutes_RF9(order)","Acidaminococcaceae","SM2D12","Moraxellaceae","Rhodospirillaceae","Thermoanaerobacteraceae","Synergistaceae","vadinBE97","Fusobacteriaceae","Microbacteriaceae","Neisseriaceae","Chitinophagaceae","Planctomycetaceae","Victivallaceae","env_OPS_17","Obscuribacterales(order)","Lactobacillaceae","Comamonadaceae","Bacteroidales_S24_7_group","Family_X","Staphylococcaceae","Desulfovibrionaceae","Bacteriovoracaceae","Flavobacteriaceae","Pasteurellaceae","Aerococcaceae","Enterobacteriaceae","Sphingomonadaceae","Xanthomonadaceae","Rhodospirillales_Incertae_Sedis","Thermoplasmatales_Incertae_Sedis","Chloroplast(class)","Leuconostocaceae","Verrucomicrobiaceae","Carnobacteriaceae","Methanobacteriaceae","Cytophagaceae","uncultured","Bradyrhizobiaceae","Cellvibrionaceae","Acidobacteriaceae_Subgroup_1_","Unknown_Family","Methylobacteriaceae"
"X206657",0.0,0.0,0.249056016194,0.0,0.00198528553077,0.0,0.00031141733816,0.0,0.00334773638522,0.145042625248,0.00868075830122,0.00027249017089,0.000895324847211,0.0,3.892716727e-05,0.00035034450543,0.181439526646,0.00027249017089,0.00163494102534,0.000739616178131,7.78543345401e-05,0.0,0.0,0.011094242672,0.00015570866908,3.892716727e-05,0.0,7.78543345401e-05,0.0,0.00124566935264,0.0,0.0757522675075,0.0,0.0116392230137,0.0,0.0,0.0,0.0,0.00471018723967,0.0,3.892716727e-05,0.00346451788703,0.00011678150181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141850597532,0.0,3.892716727e-05,0.00397057106154,0.0,0.0,0.00027249017089,3.892716727e-05,0.00023356300362,0.0,0.0,0.0,0.0,0.0,0.0,0.150920627506,7.78543345401e-05,0.0,0.0,0.0,0.0,0.00011678150181,0.0,0.0,0.0
"X206658",0.000183643486778,0.00104064642507,0.344209108717,0.000918217433888,0.00214250734574,0.0,0.00134671890304,0.000183643486778,0.00538687561214,0.168523506366,0.00795788442703,0.000183643486778,0.000857002938296,6.12144955926e-05,0.0,0.000183643486778,0.106329578844,0.00024485798237,0.00116307541626,0.000183643486778,0.0,6.12144955926e-05,0.0,0.00636630754163,0.0,0.0,0.000857002938296,0.000306072477963,0.0,0.00171400587659,0.0,0.0695396669931,0.00428501469148,0.00122428991185,0.0,0.0,0.0,0.0,0.00563173359452,0.0,0.0475024485798,0.000428501469148,6.12144955926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12144955926e-05,0.0984329089128,0.0,0.000550930460333,0.00367286973555,0.0,0.0,0.000428501469148,0.000306072477963,0.000979431929481,0.000367286973555,0.0,0.0,0.0,0.000122428991185,0.0,0.115450538688,0.0,0.0,0.0,0.0,0.000122428991185,0.0,0.000428501469148,0.0,0.0
"X215004",0.0,0.0,0.128968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.186507936508,0.00396825396825,0.031746031746,0.00396825396825,0.0,0.0,0.0,0.386904761905,0.0,0.0396825396825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00198412698413,0.0119047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337301587302,0.0,0.00396825396825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00198412698413,0.0238095238095,0.0,0.0,0.0952380952381,0.0,0.0396825396825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00595238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215003",0.00696171059175,0.0,0.236200895077,0.0,0.0,0.0,0.000248632521134,0.0,0.000248632521134,0.200646444555,0.018647439085,0.074341123819,0.00621581302834,0.0,0.00745897563401,0.00174042764794,0.259323719543,0.0,0.02411735455,0.0022376926902,0.0,0.0,0.000745897563401,0.0134261561412,0.0,0.000745897563401,0.0,0.0,0.00174042764794,0.000745897563401,0.0,0.00348085529587,0.0,0.000248632521134,0.0,0.0,0.0,0.0,0.00422675285927,0.000994530084535,0.0,0.0,0.0,0.0,0.0,0.00198906016907,0.0,0.012928891099,0.0,0.0,0.0,0.0,0.0,0.0,0.000994530084535,0.0,0.0,0.0,0.0238687220288,0.0,0.0,0.0825459970164,0.0,0.0109398309299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00124316260567,0.0,0.0,0.0,0.000745897563401,0.0,0.0,0.0,0.0
"X215008",0.0,0.0,0.128800185658,0.0,0.0,0.0,0.00719424460432,0.0,0.000232072406591,0.111162682757,0.0298213042469,0.00696217219773,0.00150847064284,0.0,0.0,0.000928289626363,0.673822232537,0.0,0.00116036203295,0.0,0.0,0.0,0.000348108609886,0.00394523091204,0.0,0.000116036203295,0.0,0.0,0.0,0.0,0.0,0.00197261545602,0.00139243443955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232072406591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232072406591,0.0,0.00417730331864,0.0,0.0240194940822,0.0,0.0,0.0,0.0,0.0,0.0,0.00162450684614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000348108609886
"X215007",0.00192330108404,0.0,0.177001981583,5.82818510316e-05,0.0,0.0,0.0,0.0,0.0,0.150250611959,0.0254691689008,0.0132299801842,0.00186501923301,0.0,0.000291409255158,0.000699382212379,0.587189649143,0.0,0.00163189182888,0.000407972957221,0.0,0.0,0.000174845553095,0.00483739363562,0.0,0.000116563702063,0.0,0.0,0.0,0.0,0.0,0.00128220072269,0.0,0.0,0.0,0.0,0.000990791467537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000582818510316,0.0,0.000466254808253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82818510316e-05,5.82818510316e-05,0.0,0.0,0.0068189765707,0.0,0.0174262734584,0.0,0.0,0.0,0.0,0.0,0.0,0.0068189765707,0.00034969110619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215010",0.0613200571795,0.0,0.325085029822,0.0,0.00478138709518,0.0,0.00349977818307,0.0,0.0187804998275,0.188889436585,0.011534480209,0.00557006950264,0.00468280179425,0.0,0.000246463252329,0.000246463252329,0.251638980628,0.000443633854192,0.000788682407453,0.000345048553261,0.0,0.0,0.000197170601863,0.0358357568886,0.0,0.0,0.0,0.0,0.0,0.00138019421304,0.0,0.0200621087396,0.0,0.0132597229753,0.000985853009316,0.0,0.0,0.00916843298664,0.00492926504658,0.0,4.92926504658e-05,0.0,0.0,0.000739389756987,0.0,0.0,0.0,0.0,0.0,0.0,0.000197170601863,0.0,0.0,0.0,0.0,0.0,0.0,0.000197170601863,0.00887267708385,0.0,0.0,0.000492926504658,0.0,0.00128160891211,0.0,0.0,0.0,0.0,0.0,0.000147877951397,0.0242026913787,0.000147877951397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215009",0.045362773315,0.0,0.240001718287,0.0,0.00356544525108,0.0,0.00369431676618,0.0,0.0214785858499,0.158340134886,0.0164955539327,0.00923579191546,0.00571330383608,0.0,0.00403797413978,0.0010739292925,0.338502512995,0.000816186262296,0.0326904076636,4.29571716998e-05,0.0,0.0,0.000343657373599,0.0362558529146,0.0,0.00343657373599,0.0,0.0,0.0,0.000730271918897,0.0,0.0192877700932,0.000171828686799,0.0134026375703,0.00236264444349,0.0,0.0,0.00730271918897,0.00390910262468,0.0,0.0,0.0,4.29571716998e-05,0.000171828686799,0.0,0.000171828686799,0.0,0.0,0.0,0.0,0.000472528888698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00923579191546,0.0,0.0,0.00777524807767,0.0,0.0011598436359,0.0,4.29571716998e-05,0.000257743030199,0.0,4.29571716998e-05,0.0,0.0105245070665,0.00184715838309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215049",0.0874125874126,0.0,0.0524475524476,0.307692307692,0.0,0.0,0.0,0.0,0.0,0.048951048951,0.0034965034965,0.0944055944056,0.0,0.0,0.0,0.0,0.0979020979021,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0559440559441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0594405594406,0.0,0.0,0.115384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215048",0.00592475560383,0.0,0.246568579046,0.0,0.0,0.000493729633653,0.0,0.0,0.00296237780192,0.210230078009,0.0423620025674,0.00167868075442,0.00691221487114,0.0,0.00276488594845,0.000888713340575,0.251012145749,0.000197491853461,0.0100720845265,0.0012836970475,0.0,0.0,0.000789967413844,0.0444356670287,0.0,0.0,0.0,0.0,0.0,0.00138244297423,0.0,0.0157006023502,0.0,0.0,0.00138244297423,0.0,0.00148118890096,0.00572726375037,0.00345610743557,0.0,0.0,0.0314012047003,0.0,0.0,0.0,0.00829465784536,0.0,0.0127382245482,0.0,0.000296237780192,0.0,0.000789967413844,0.0,0.0,0.000789967413844,0.0551002271156,0.0,0.00266614002172,0.00424607484941,0.0,0.0,0.0233040387084,0.0,0.00217241038807,0.0,0.0,0.0,0.0,0.0,0.0,9.87459267305e-05,0.0,0.0,0.0,0.000394983706922,0.0,0.0,0.0,0.0,0.0
