"","x"
"1","Clostridiales_vadinBB60_group(family)"
"2","Ruminococcaceae_UCG_003"
"3","Blautia"
"4","_Eubacterium_hallii_group"
"5","Subdoligranulum"
"6","Coprococcus"
"7","NB1_n(order)"
"8","Butyricimonas"
"9","Rothia"
"10","MB_A2_108(class)"
"11","Methylobacterium"
"12","Enhydrobacter"
"13","Erysipelatoclostridium"
"14","Cloacibacillus"
"15","vadinBE97(family)"
"16","Zimmermannella"
"17","Eikenella"
"18","Oribacterium"
"19","Anaerofilum"
"20","Thermicanus"
"21","Lachnoclostridium"
"22","Haemophilus"
"23","Catonella"
"24","Stenotrophomonas"
"25","Cytophaga"
"26","uncultured(family)"
