"","Tepidimonas","Christensenellaceae_R_7_group","Prevotella","Family_XIII_AD3011_group","Paracoccus","Ruminiclostridium","Corynebacterium","uncultured","Bryobacter","Pseudomonas","Angustibacter","Sphingomonas","Lactobacillus","Oscillibacter","Faecalibacterium","Lachnospiraceae_FCS020_group","Sutterella","Veillonella","_Ruminococcus_gauvreauii_group","Ruminococcaceae_UCG_010","Faecalitalea","Clostridiales_vadinBB60_group(family)","Lactonifactor","Lachnospiraceae_UCG_001","Ruminococcaceae_UCG_003","Blautia","Burkholderia_Paraburkholderia","Gemella","Leptotrichia","Thermus","Senegalimassilia","Collinsella","Bacteroides","Hydrogenoanaerobacterium","Butyricicoccus","Streptococcus","Intestinibacter","Paraprevotella","_Eubacterium_hallii_group","Ruminococcaceae_NK4A214_group","Alistipes","Howardella","Fusobacterium","Asticcacaulis","Bifidobacterium","Subdoligranulum","Coprococcus","Odoribacter","NB1_n(order)","Actinomyces","Brevundimonas","Exiguobacterium","Defluviitaleaceae_UCG_011","Acinetobacter","Anaerococcus","Ruminococcaceae_UCG_014","Roseburia","Candidatus_Soleaferrea","Ruminococcus","_Clostridium_innocuum_group","Massilia","Anaerotruncus","_Eubacterium_brachy_group","Romboutsia","_Eubacterium_xylanophilum_group","Alicyclobacillus","Lachnospiraceae_NK4A136_group","Peptococcus","Butyricimonas","Rothia","Solobacterium","Gastranaerophilales(order)","Desulfovibrio","Ruminococcaceae_UCG_013","Arcobacter","MB_A2_108(class)","Atopobium","Streptobacillus","Coprobacter","Methylobacterium","Mollicutes_RF9(order)","Faecalibaculum","Lachnoanaerobaculum","Phascolarctobacterium","Bacteroidales_S24_7_group(family)","SM2D12(family)","Family_XIII_UCG_001","Tyzzerella","_Eubacterium_nodatum_group","Candidatus_Methylacidiphilum","Enhydrobacter","Anaeroglobus","Erysipelatoclostridium","Parasutterella","Gelria","Cloacibacillus","Alloprevotella","vadinBE97(family)","Selenomonas","Megasphaera","Dorea","_Eubacterium_coprostanoligenes_group","Zimmermannella","Eikenella","Hydrotalea","Victivallis","env_OPS_17(family)","Ruminococcaceae_UCG_002","Barnesiella","Obscuribacterales(order)","Lachnospiraceae(family)","Parvimonas","Oribacterium","Peptostreptococcus","Lachnospiraceae_UCG_008","Chloroplast(class)","Acidovorax","Dialister","Anaerofilum","Thermicanus","Rikenellaceae_RC9_gut_group","Staphylococcus","Anaerostipes","Acidaminococcus","Campylobacter","Reyranella","Peredibacter","Lachnospira","Lachnoclostridium","Sellimonas","Cloacibacterium","Haemophilus","Ruminococcaceae_UCG_008","Aerococcus","Morganella","Aggregatibacter","Victivallaceae(family)","Bryocella","Catonella","Stenotrophomonas","Cytophaga","Ruminococcaceae_UCG_004","Proteus","Citrobacter","Butyrivibrio","Stomatobaculum","Parabacteroides","Allisonella","Turicibacter","Finegoldia","Fusicatenibacter","Mogibacterium","Dielma","Johnsonella","Catenibacterium","Weissella","Adlercreutzia","Pseudoclavibacter","Akkermansia","Flavonifractor","Eggerthella","Granulicatella","Candidatus_Stoquefichus","Lachnospiraceae_ND3007_group","Bilophila","Ruminococcaceae_UCG_005","Methanobrevibacter","Facklamia","uncultured(family)","Christensenella","_Eubacterium_rectale_group","Succiniclasticum","Lachnospiraceae_UCG_010","Hafnia_Obesumbacterium","_Eubacterium_ventriosum_group","Holdemania","Holdemanella","Escherichia_Shigella","Bradyrhizobium","_Ruminococcus_gnavus_group","Cellvibrio","Megamonas","Pseudoxanthomonas","Arthrobacter","Erysipelotrichaceae_UCG_004","Micrococcus","_Eubacterium_eligens_group","Lawsonella","Erysipelotrichaceae_UCG_003"
"X206657",0.0,0.0031531005488730584,0.0,0.0005449803417805286,0.0,0.012378839191872007,0.0,0.014909105064424461,0.0,0.0003114173381603021,0.0,0.0,0.0,0.00011678150181011328,0.14663863910623223,0.0003892716727003776,0.0,7.785433454007552e-05,0.0,0.0012067421853711705,0.0,0.0002724901708902643,0.0,0.0006228346763206042,0.0027249017089026432,0.0027638288761726807,0.0,3.892716727003776e-05,0.0,7.785433454007552e-05,0.0,7.785433454007552e-05,0.181439526645646,0.0,0.0005060531745104909,0.0016349410253415858,0.0,0.0,0.0010121063490209819,0.0006617618435906419,0.07575226750749348,0.0,0.0,0.0,0.0,0.03285452917591187,0.012534547860952159,0.002413484370742341,0.00015570866908015105,3.892716727003776e-05,0.0,0.0,7.785433454007552e-05,0.0,0.0,0.0001946358363501888,0.020281054147689673,0.0,0.004437697068784305,0.0,0.0,0.0,0.0,0.0007396161781307174,0.004320915566974191,0.0,0.011483514344661138,0.0019074311962318502,0.0022188485343921523,0.0,0.0,0.01163922301374129,0.00011678150181011328,0.0023356300362022656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004710187239674569,0.1418505975320176,0.0,0.0007006890108606797,0.0,0.0,0.0,3.892716727003776e-05,0.0,3.892716727003776e-05,0.00868075830121842,0.00011678150181011328,0.0,0.0,0.0,0.0,0.0,0.003114173381603021,0.00023356300362022657,0.0,0.0,0.0,0.0,0.0,0.027326871423566507,0.0,0.0,0.0,0.0,0.0,0.0,0.007512943283117288,0.0,0.0,0.0,0.0,0.0,0.0,3.892716727003776e-05,0.0005839075090505664,0.0,0.0,0.0,0.0,0.0056444392541554755,0.0006617618435906419,0.0,0.0,0.0002724901708902643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007396161781307174,0.0,3.892716727003776e-05,0.0,0.0,0.006461909766826268,0.0001946358363501888,0.0,0.0,0.012495620693682121,0.0,3.892716727003776e-05,0.0,0.0,0.0,0.0,0.0,0.1509206275059364,0.0005839075090505664,0.0,7.785433454007552e-05,7.785433454007552e-05,0.002140994199852077,0.0038537895597337384,0.013429872708163027,0.0,3.892716727003776e-05,0.0,0.0,0.030986025146950057,0.0,0.007357234614037137,0.0,0.00046712600724045314,0.00023356300362022657,0.0,0.0001946358363501888,0.0,0.009770718984779478,0.00011678150181011328,0.0,0.0,0.0,0.0,0.0,0.0026859745416326053,0.0,0.0005060531745104909
"X206658",6.121449559255632e-05,0.0053868756121449556,0.00018364348677766894,0.0016527913809990206,0.0010406464250734574,0.009365817825661116,0.0003672869735553379,0.013589618021547503,0.0,0.0013467189030362389,0.00018364348677766894,0.0003672869735553379,0.0,6.121449559255632e-05,0.23432908912830558,0.0012242899118511264,0.0,6.121449559255632e-05,0.0,0.0012855044074436826,0.0,0.0002448579823702253,0.0,6.121449559255632e-05,0.0053868756121449556,0.008080313418217433,6.121449559255632e-05,0.0,0.0,0.0,0.0,0.0,0.10632957884427033,0.0,0.0010406464250734574,0.00116307541625857,0.00018364348677766894,0.0,0.0015303623898139079,0.0002448579823702253,0.06953966699314397,0.0,0.0,0.0,0.0,0.04285014691478942,0.011691968658178257,0.0007345739471106758,0.0,0.0,6.121449559255632e-05,0.0008570029382957884,0.0003060724779627816,0.047135161606268364,0.0,0.0003060724779627816,0.019711067580803134,0.0008570029382957884,0.00348922624877571,6.121449559255632e-05,0.0,0.00018364348677766894,0.0,0.0,0.00697845249755142,0.0,0.02595494613124388,0.002142507345739471,0.00232615083251714,0.0,0.0,0.0012242899118511264,0.0003672869735553379,0.00232615083251714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005631733594515181,0.09843290891283056,0.0,6.121449559255632e-05,0.0,0.0,0.0,0.0003672869735553379,0.0,0.0,0.007957884427032321,6.121449559255632e-05,0.0,0.0,0.0,0.0,0.00012242899118511264,0.0023873653281096963,0.0010406464250734574,0.0,0.0,0.0,0.0,0.0,0.029995102840352596,0.0,0.0,0.0,0.0,0.0,0.0,0.011324681684622919,0.00012242899118511264,0.0,0.0,0.0,0.0,0.0,0.0005509304603330069,0.0011018609206660138,0.0,0.0,0.0,0.0,0.005876591576885406,0.0011018609206660138,0.0,0.0,0.0004285014691478942,0.0,0.0003060724779627816,0.0,0.0,0.0,0.0004285014691478942,0.0,0.0,0.0,6.121449559255632e-05,0.0,0.0004285014691478942,0.0,0.0,0.003305582761998041,0.0,0.0,0.0,0.01095739471106758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11545053868756121,0.0002448579823702253,0.0,0.0,0.00012242899118511264,0.0012242899118511264,0.003305582761998041,0.009365817825661116,0.0,0.0,0.0,0.0,0.029627815866797257,0.0,0.009365817825661116,0.0,0.0007957884427032321,6.121449559255632e-05,0.0,0.0005509304603330069,0.00012242899118511264,0.004468658178256611,0.0,0.0,0.0,0.0,0.0,0.004285014691478942,0.003856513222331048,0.0005509304603330069,0.0006121449559255632
"X215004",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.09325396825396826,0.0,0.003968253968253968,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3869047619047619,0.0,0.0,0.03968253968253968,0.0,0.0,0.0,0.0,0.001984126984126984,0.0,0.03373015873015873,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001984126984126984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.03373015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001984126984126984,0.021825396825396824,0.0,0.0,0.0,0.0,0.0,0.00992063492063492,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00992063492063492,0.0,0.0,0.0,0.0,0.0,0.03373015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.051587301587301584,0.0,0.0,0.0,0.0,0.0,0.0,0.03968253968253968,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968
"X215003",0.000994530084535057,0.0002486325211337643,0.0069617105917454,0.0007458975634012929,0.0,0.0027349577324714074,0.0,0.03505718547986077,0.0,0.0002486325211337643,0.0,0.0,0.0,0.000994530084535057,0.11437095972153158,0.0,0.018647439085032323,0.010691198408751865,0.0,0.0,0.0,0.0,0.0,0.001989060169070114,0.005469915464942815,0.011437095972153158,0.0,0.007458975634012929,0.0,0.0,0.00174042764793635,0.0,0.25932371954251615,0.0,0.00522128294380905,0.024117354549975135,0.0022376926902038788,0.0,0.0007458975634012929,0.003978120338140228,0.0034808552958727,0.0,0.001989060169070114,0.0,0.0007458975634012929,0.024365987071108902,0.0174042764793635,0.0,0.0,0.0007458975634012929,0.0,0.0,0.0,0.0,0.0,0.0,0.01790154152163103,0.0,0.024365987071108902,0.0,0.00174042764793635,0.0,0.0,0.0,0.0,0.0,0.004226752859273993,0.0,0.0,0.0,0.0,0.0002486325211337643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032322227747389356,0.0014917951268025858,0.0,0.000994530084535057,0.0,0.0022376926902038788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034808552958727,0.0174042764793635,0.0,0.0,0.012928891098955743,0.0,0.0,0.0,0.045251118846345105,0.004226752859273993,0.0,0.0,0.0,0.0032322227747389356,0.0,0.010691198408751865,0.0,0.0,0.06016907011437096,0.0,0.0,0.0,0.0,0.018150174042764793,0.0027349577324714074,0.0,0.0,0.0,0.008453505718547987,0.018398806563898557,0.0,0.0,0.08254599701640974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002486325211337643,0.0,0.0,0.0,0.0,0.009199403281949278,0.0,0.0,0.0,0.004724017901541522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022376926902038788,0.0,0.0012431626056688214,0.0,0.0,0.023868722028841372,0.0,0.0,0.0,0.0,0.0,0.015166583789159622,0.0,0.007458975634012929,0.0,0.0,0.0,0.0,0.01093983092988563,0.0007458975634012929,0.006713078070611636,0.0,0.0,0.0,0.0,0.0,0.0,0.0029835902536051715,0.0,0.006215813028344107
"X215008",0.0,0.00023207240659085636,0.0,0.0,0.0,0.004061267115339986,0.0,0.0023207240659085635,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.11789278254815502,0.0,0.0,0.00568577396147598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023207240659085635,0.0,0.0,0.0,0.0,0.0,0.0009282896263634254,0.6738222325365514,0.0,0.0004641448131817127,0.0011603620329542817,0.0,0.0,0.0029009050823857042,0.0,0.001972615456022279,0.0,0.00023207240659085636,0.0,0.0003481086098862845,0.004641448131817127,0.0,0.003945230912044558,0.0,0.00011603620329542818,0.0,0.0,0.0,0.0,0.0,0.0,0.014272453005337665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003481086098862845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025760037131585055,0.0,0.0,0.0,0.0,0.0,0.02982130424692504,0.0,0.0,0.0,0.0,0.0,0.00023207240659085636,0.002784868879090276,0.0004641448131817127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023207240659085636,0.0,0.009863077280111395,0.0,0.0,0.0010443258296588536,0.0,0.0,0.0,0.0,0.0051055929449988395,0.0,0.0,0.0,0.00023207240659085636,0.0,0.02111858899976793,0.0,0.0,0.004177303318635414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003481086098862845,0.0,0.0,0.0,0.0,0.0,0.0,0.006381991181248549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016245068461359943,0.00011603620329542818,0.0,0.0,0.0,0.00011603620329542818,0.0,0.0,0.0,0.0,0.0,0.0,0.01137154792295196,0.0,0.0,0.00011603620329542818,0.0,0.00011603620329542818,0.0,0.02355534926897192,0.0,0.007774425620793688,0.0,0.0,0.0,0.001392434439545138,0.0,0.0,0.0,0.0,0.001392434439545138
"X215007",0.0,0.0,0.0018067373819792517,0.0,0.0,0.0019233010840424291,5.828185103158876e-05,0.002797528849516261,0.0,0.0,0.0,0.0,0.0,0.0,0.15730271593425807,0.0,0.0,0.008217740995454016,0.0005245366592842988,0.0,0.0,0.0,0.0,0.0001748455530947663,0.0,0.0019815829350740177,0.0,0.00029140925515794383,0.0009907914675370089,0.0,0.0,0.0006411003613474764,0.5871896491432568,0.0,0.002156428488168784,0.0016318918288844855,0.00040797295722112137,0.00011656370206317752,0.011015269844970275,0.0,0.0012822007226949528,0.0,0.0005828185103158877,0.0,0.0001748455530947663,0.012588879822823173,0.0,0.004779111784590279,0.0,0.00011656370206317752,0.0,0.0,0.0,0.0,0.0,0.0,0.01981582935074018,0.0,5.828185103158876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040797295722112137,0.0,0.0,0.0,0.00023312740412635504,0.0,0.0,0.0001748455530947663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005828185103158877,0.0,0.0,0.0,0.0,0.024653222986362047,0.0,0.0,0.0,0.0,0.0,0.02546916890080429,0.0,0.0,0.0,0.0,5.828185103158876e-05,0.0005245366592842988,0.006003030656253643,0.00011656370206317752,0.0,0.0004662548082527101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004662548082527101,0.0,0.013404825737265416,0.0,0.0,0.004429420678400746,0.0,0.0,0.0,5.828185103158876e-05,0.013754516843454948,0.0,0.0,0.0,0.0,0.0009325096165054202,0.027159342580720364,0.0,0.0,0.0068189765706958855,0.0,0.0,0.0,0.0,0.0,0.0,0.0001748455530947663,0.0,0.0,0.00011656370206317752,0.0,0.0015153281268213078,0.0,0.0,5.828185103158876e-05,0.0,0.0,0.0,0.0019233010840424291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068189765706958855,0.0010490733185685977,5.828185103158876e-05,0.0003496911061895326,0.0,0.0,5.828185103158876e-05,0.0,0.0,0.0,0.0,0.0,0.021331157477561487,0.0,0.0,0.0,0.0,0.00023312740412635504,0.0,0.01591094533162373,0.0,0.004662548082527101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013987644247581304
"X215010",0.0,0.018731207177009906,0.061320057179474544,0.000985853009316311,0.0,0.00842904322965446,0.0,0.024942081135702666,0.0,0.003499778183072904,0.0,0.0,0.0,0.0,0.16513037906048209,4.9292650465815544e-05,0.010450041898752895,9.858530093163109e-05,0.0,0.000985853009316311,0.0,0.00044363385419233993,4.9292650465815544e-05,0.00024646325232907776,0.004929265046581555,0.007936116724996303,0.0,0.0,0.0,0.0,0.0,4.9292650465815544e-05,0.25163898062798834,0.0,0.0018731207177009907,0.0007886824074530487,0.0,0.0,0.0014294868635086509,0.0023167545718933307,0.02006210873958693,0.002809681076551486,0.0,0.0,0.00019717060186326217,0.046778725292058954,0.023956228126386356,0.003253314930743826,0.0,0.0,0.0,0.0,0.0,4.9292650465815544e-05,4.9292650465815544e-05,0.008231872627791197,0.03687090254843003,0.0,0.018977670429338987,0.0,0.0,0.0018238280672351753,0.0,9.858530093163109e-05,0.0005915118055897866,0.0,0.0011337309607137576,0.001971706018632622,0.00044363385419233993,0.0,0.0,0.013259722975304382,0.004879972396115739,0.0006900971065214176,0.000985853009316311,0.0,9.858530093163109e-05,0.0,0.00024646325232907776,0.0,0.009168432986641691,0.0,0.0,0.004929265046581555,0.0,0.0,0.00039434120372652435,0.00039434120372652435,0.0,0.0,0.0,0.0,4.9292650465815544e-05,0.001084438310247942,0.0,0.0007393897569872332,0.0,0.0,0.0,0.0,0.001528072164440282,0.0032040222802780104,0.0,0.0,0.0,0.00019717060186326217,0.0,0.03534283038398975,0.018090402720954305,0.0,0.0,0.0,0.0,0.00024646325232907776,0.01784393946862523,0.0,0.0,0.0,0.0,0.0,0.0,0.00019717060186326217,0.002809681076551486,0.0,0.0,0.0,0.0,0.0036969487849361662,0.011830236111795732,0.0,0.0,0.00024646325232907776,0.0,0.0,0.0,0.00024646325232907776,0.0,0.0,0.0,0.0,0.0,0.0002957559027948933,0.0,9.858530093163109e-05,0.0,0.0,0.013801942130428353,0.0,4.9292650465815544e-05,0.00019717060186326217,0.0017252427663035442,0.0,0.0,0.0,0.0,0.00014787795139744664,0.0,0.0,0.024202691378715432,0.0006408044560556022,0.0,0.00014787795139744664,0.0,0.0013801942130428353,0.003992704687731059,0.019322718982599695,0.0,0.0,0.0,0.0,0.03041356533740819,0.0,0.020949376447971606,0.0,9.858530093163109e-05,0.0003450485532607088,0.0029082663774831173,0.0011830236111795732,0.0,0.0022181692709616996,0.0,0.005471484201705526,0.0,0.0,0.00039434120372652435,0.0,0.003056144328880564,0.0,0.0009365603588504953
"X215009",0.0,0.021478585849907642,0.04536277331500494,0.00042957171699815286,0.0,0.008247776966364535,0.0,0.01851454100262039,0.0,0.0036943167661841144,0.0,0.0,0.0,0.000300700201898707,0.1233729971218695,0.00021478585849907643,0.016108939387430733,0.004682331715279866,0.0,0.0014605438377937197,4.2957171699815284e-05,0.0008161862622964904,4.2957171699815284e-05,4.2957171699815284e-05,0.00601400403797414,0.007775248077666566,0.0,0.0038661454529833757,0.0,0.0,0.0,4.2957171699815284e-05,0.3385025129945444,8.591434339963057e-05,0.0009880149490957516,0.032690407663559434,0.0,0.0,0.0008591434339963057,0.000300700201898707,0.019287770093217062,0.00025774303019889173,0.00017182868679926113,0.0,0.00034365737359852227,0.02968340564457236,0.016538511104428884,0.005541475149276172,0.0,0.003436573735985223,0.0,0.0,0.0,0.0,0.0,0.004725288886979681,0.03097212079556682,4.2957171699815284e-05,0.026375703423686586,0.0,0.0,0.0012457579792946433,4.2957171699815284e-05,0.0,0.00025774303019889173,0.0,0.001202800807594828,0.0011168864641951973,0.0016753296962927961,0.00017182868679926113,0.00047252888869796813,0.013402637570342369,0.006271747068173032,0.000300700201898707,0.0023626444434898405,0.0,0.0009450577773959363,0.0,8.591434339963057e-05,0.0,0.007302719188968599,0.0,0.0016323725245929808,0.003909102624683191,0.0,0.0,4.2957171699815284e-05,0.000300700201898707,0.00017182868679926113,0.0,0.0,0.00012887151509944586,4.2957171699815284e-05,0.00038661454529833754,4.2957171699815284e-05,0.00017182868679926113,0.0,0.0,0.0,0.0015464581811933502,0.0008591434339963057,0.0012457579792946433,0.0,0.0,0.0,0.00047252888869796813,0.0,0.019717341810215214,0.013187851711843293,0.0,0.0,0.00017182868679926113,0.0007732290905966751,4.2957171699815284e-05,0.02504403110099231,4.2957171699815284e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0017182868679926115,0.0,0.0,0.00025774303019889173,0.0,0.003995016968082821,0.009321706258859917,0.0,0.0,0.006572447270071739,0.0,0.0,0.0,0.001202800807594828,0.0,0.0,0.0,4.2957171699815284e-05,0.0,8.591434339963057e-05,4.2957171699815284e-05,4.2957171699815284e-05,0.0,0.001976029898191503,0.015765282013832208,0.0,0.0,0.0,0.0014175866660939044,4.2957171699815284e-05,0.0,0.0,0.0,0.0,4.2957171699815284e-05,0.0,0.010524507066454745,0.00047252888869796813,4.2957171699815284e-05,0.0018471583830920572,0.0,0.0009021006056961209,0.0029640448472872546,0.011512522015550496,0.0,0.0,0.0,0.0,0.019932127668714293,0.0,0.014519524034537566,0.0,0.00017182868679926113,0.0005584432320975987,0.002749258988788178,0.001073929292495382,0.0,0.001073929292495382,0.0,0.002878130503887624,0.0,0.0,0.0006443575754972292,0.0,0.004295717169981528,0.0,0.001202800807594828
"X215049",0.0,0.0,0.08741258741258741,0.0,0.0,0.0,0.3076923076923077,0.04895104895104895,0.0,0.0,0.0,0.0,0.0,0.0,0.05244755244755245,0.0,0.0034965034965034965,0.0944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0979020979020979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215048",0.0007899674138441789,0.002962377801915671,0.00375234521575985,0.0007899674138441789,0.0,0.010170830453243804,0.0,0.05203910338698529,0.0004937296336526119,0.0,0.0,0.0,0.0,0.0,0.10605312530858102,0.0,0.04206576478720253,0.0016786807544188801,0.0,0.0,0.0,0.00019749185346104473,0.0,0.00375234521575985,0.024094006122247456,0.01333070010862052,0.0,0.0027648859484546264,0.0,0.0,0.0,0.0008887133405747013,0.25101214574898784,0.0,0.003949837069220895,0.010072084526513281,0.0012836970474967907,0.0,0.0025673940949935813,0.0,0.015700602350153057,0.0,0.008294657845363878,0.0,0.0007899674138441789,0.025081465389552682,0.027253875777624174,0.006813468944406043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00957835489286067,0.0025673940949935813,0.0,0.019551693492643428,0.0,0.0,0.0075046904315197,0.0,0.0,0.00582600967710082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014811889009578355,0.0,0.0,0.005727263750370297,0.0,0.0,0.0034561074355682828,0.05510022711563148,0.0,0.0005924755603831342,0.0012836970474967907,0.0,0.0,0.0,0.0,0.0,0.0002962377801915671,0.0,0.0,0.002172410388071492,0.0,0.0,0.0,0.0004937296336526119,0.0049372963365261185,0.0,0.012738224548237385,0.0,0.0,0.0007899674138441789,0.02330403870840328,0.005233534116717686,0.0,0.0,0.0,0.0,0.0,0.016194331983805668,0.0,0.0,0.0,0.0,0.0,0.0,0.002666140021724104,0.012639478621506862,0.0,0.0013824429742273132,0.0,0.0,0.008492149698824924,0.0006912214871136566,0.0,0.0,0.017083045324380368,0.0,0.0,0.0,0.006220993384022909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032388663967611336,0.0,0.0,0.0,0.006418485237483954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.874592673052236e-05,0.001086205194035746,0.0,0.0,0.0,0.005924755603831342,0.004246074849412462,0.009084625259208058,0.0,0.0,0.00039498370692208945,0.0,0.04878048780487805,0.0,0.02300780092821171,0.0,0.0020736644613409696,0.0,0.004641058556334551,0.002172410388071492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010763306013626938,0.0,0.0022711563148020146
