"","Bacteroidetes","Proteobacteria","Firmicutes","Actinobacteria","Acidobacteria","Deinococcus_Thermus","Tenericutes","Cyanobacteria","Fusobacteria","Synergistetes","Lentisphaerae","Planctomycetes","Euryarchaeota","Verrucomicrobia"
"X206657",0.410136634357,0.0170890264315,0.409591654015,0.0003892716727,0.0,7.78543345401e-05,0.00015570866908,0.0116392230137,0.0,0.0,0.0,0.0,0.0,0.150920627506
"X206658",0.280852105779,0.0640303623898,0.532321253673,0.00557051909892,0.000428501469148,0.0,0.0,0.00134671890304,0.0,0.0,0.0,0.0,0.0,0.115450538688
"X215004",0.388888888889,0.166666666667,0.39880952381,0.0119047619048,0.0,0.0,0.0,0.0,0.0337301587302,0.0,0.0,0.0,0.0,0.0
"X215003",0.283192441571,0.153654898061,0.557682744903,0.00323222277474,0.0,0.0,0.0,0.000248632521134,0.00198906016907,0.0,0.0,0.0,0.0,0.0
"X215008",0.679740078905,0.0657925272685,0.249825945695,0.00278486887909,0.0,0.0,0.0,0.0,0.000232072406591,0.0,0.0,0.0,0.0,0.00162450684614
"X215007",0.595232544586,0.0502389555892,0.345086839958,0.00104907331857,0.0,0.0,0.0,0.0,0.00157360997785,0.0,0.0,0.0,0.0,0.0068189765707
"X215010",0.368856903436,0.0267166165525,0.556415438458,0.000443633854192,0.0,0.0,0.00916843298664,0.0132597229753,0.0,0.000739389756987,0.000197170601863,0.0,0.0,0.0242026913787
"X215009",0.439408909317,0.0410240989733,0.482451995361,0.00502598908888,0.0,0.0,0.00730271918897,0.013445594742,0.000171828686799,0.000171828686799,0.000472528888698,0.0,0.0,0.0105245070665
"X215049",0.321678321678,0.118881118881,0.195804195804,0.363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215048",0.372963365261,0.118791349857,0.49017478029,0.00167868075442,0.000493729633653,0.0,0.00572726375037,0.0,0.00977584674632,0.0,0.0,0.000296237780192,0.0,9.87459267305e-05
"X215056",0.180664000508,0.0749698470133,0.647495715102,0.00336443851965,0.0,0.0,0.0,0.00139655938551,0.0146638735479,0.0,0.0,0.0,0.000888719608963,0.076556846315
"X215055",0.340485297633,0.0836122400191,0.536815682525,0.00549844609132,0.0,0.0,0.0,0.00167344011475,0.0103992349988,0.0,0.000478125747071,0.0,0.000358594310304,0.0206789385608
"X215058",0.258872508873,0.113295113295,0.602921102921,0.000819000819001,0.0,0.0,0.0042315042315,0.00034125034125,0.0,0.00020475020475,0.00102375102375,0.0,0.00047775047775,0.0178132678133
"X215057",0.384970835543,0.0969244754185,0.50325732899,0.00075751836982,0.0,0.0,0.00321945307174,0.0,7.5751836982e-05,7.5751836982e-05,0.000340883266419,0.0,0.000492386940383,0.00988561472616
"X215074",0.312694756808,0.0390191031026,0.622137921691,0.00772253082238,0.0,0.0,0.00596125186289,0.0,0.000677414984419,0.0,0.0,0.0,0.0,0.0117870207289
"X215077",0.37962962963,0.0307114044738,0.567519251925,0.00430876420975,0.0,0.0,0.00160432709938,0.000137513751375,0.000412541254125,0.0,0.0,0.0,0.0,0.0156765676568
"X222170",0.73781661976,0.0453266182788,0.215079247519,0.0017775144423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X222171",0.668071121598,0.0528355945058,0.276649532317,0.00185388050897,0.0,0.0,0.0,0.0,0.0,0.0,0.000589871071037,0.0,0.0,0.0
"X224844",0.286439448876,0.0718817984046,0.634427121102,0.00534807831762,0.0,0.0,0.0,0.0,0.00190355329949,0.0,0.0,0.0,0.0,0.0
"X224845",0.269431743958,0.0407763366614,0.687132593076,0.00139964542316,0.0,0.0,0.0,0.0,0.00125968088084,0.0,0.0,0.0,0.0,0.0
