"","Comamonadaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Run_SP154(order)","Corynebacteriaceae","Peptococcaceae","Solibacteraceae_Subgroup_3_","Acetobacteraceae","Pseudomonadaceae","Kineosporiaceae","Intrasporangiaceae","Christensenellaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Burkholderiaceae","Family_XI","Bifidobacteriaceae","Sphingobacteriaceae","Coriobacteriaceae","Bacteroidaceae","Clostridiales_vadinBB60_group","Streptococcaceae","Peptostreptococcaceae","Thermaceae","Rikenellaceae","Caulobacteraceae","Porphyromonadaceae","Aerococcaceae","NB1_n(order)","Actinomycetaceae","Family_XII","Defluviitaleaceae","Moraxellaceae","Flavobacteriaceae","Rhodospirillaceae","Oxalobacteraceae","Eubacteriaceae","Alicyclobacillaceae","Brucellaceae","Micrococcaceae","Gastranaerophilales(order)","Campylobacteraceae","Synergistaceae","MB_A2_108(class)","Leptotrichiaceae","Methylobacteriaceae","Mollicutes_RF9(order)","Micromonosporaceae","Acidaminococcaceae","SM2D12","Subgroup_6(class)","Thermoanaerobacteraceae","Chitinophagaceae","vadinBE97","Carnobacteriaceae","Fusobacteriaceae","Microbacteriaceae","Neisseriaceae","Planctomycetaceae","JG30_KF_CM45(order)","Rhizobiaceae","Victivallaceae","Cardiobacteriaceae","env_OPS_17","Shewanellaceae","Obscuribacterales(order)","Lactobacillaceae","Bacteroidales_S24_7_group","Family_X","Staphylococcaceae","Desulfovibrionaceae","Chloroplast(class)","Deinococcaceae","Bacteriovoracaceae","Pasteurellaceae","Enterobacteriaceae","Sphingomonadaceae","Haliangiaceae","Clostridiaceae_1","PHOS_HE51","Xanthomonadaceae","Alteromonadaceae","Rhodospirillales_Incertae_Sedis","Thermoplasmatales_Incertae_Sedis","Methanobacteriaceae","Bdellovibrionaceae","Solirubrobacteraceae","Bacillaceae","Blastocatellaceae_Subgroup_4_","Leuconostocaceae","Verrucomicrobiaceae","Cytophagaceae","uncultured","Erythrobacteraceae","Hyphomicrobiaceae","Bradyrhizobiaceae","Cellvibrionaceae","Latescibacteria(phylum)","Acidobacteriaceae_Subgroup_1_","Unknown_Family","Family_III","Saprospiraceae"
"X206657",0.0,0.0,0.00124566935264,0.0,0.249056016194,0.0,0.0,0.00198528553077,0.0,0.0,0.00031141733816,0.0,0.0,0.00334773638522,0.145042625248,0.00868075830122,0.00027249017089,0.000895324847211,0.0,3.892716727e-05,0.0,0.0,0.00035034450543,0.181439526646,0.00027249017089,0.00163494102534,0.000739616178131,7.78543345401e-05,0.0757522675075,0.0,0.011094242672,3.892716727e-05,0.00015570866908,3.892716727e-05,0.0,7.78543345401e-05,3.892716727e-05,0.0,0.00346451788703,0.0,0.0,0.0,0.0,0.0,0.0116392230137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00471018723967,0.0,0.0,0.00011678150181,0.0,0.0,7.78543345401e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141850597532,0.0,3.892716727e-05,0.00397057106154,0.0,0.0,0.0,0.00027249017089,0.00023356300362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150920627506,0.0,0.0,0.0,0.0,0.0,0.00011678150181,0.0,0.0,0.0,0.0,0.0
"X206658",6.12144955926e-05,0.000183643486778,0.00171400587659,0.00104064642507,0.344209108717,0.0,0.000918217433888,0.00214250734574,0.0,0.0,0.00134671890304,0.000183643486778,0.0,0.00538687561214,0.168523506366,0.00795788442703,0.000183643486778,0.000857002938296,6.12144955926e-05,0.0,0.0,0.0,0.000183643486778,0.106329578844,0.00024485798237,0.00116307541626,0.000183643486778,0.0,0.0695396669931,6.12144955926e-05,0.00636630754163,0.000306072477963,0.0,0.0,0.000857002938296,0.000306072477963,0.0475024485798,0.0,0.000428501469148,0.0,0.0,0.0,0.0,0.00428501469148,0.00122428991185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00563173359452,0.0,0.0,6.12144955926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984329089128,0.0,0.000550930460333,0.00367286973555,0.000122428991185,0.0,0.0,0.000428501469148,0.000979431929481,0.000367286973555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115450538688,0.0,0.0,0.0,0.0,0.000122428991185,0.0,0.0,0.000428501469148,0.0,0.0,0.0
"X206704",0.0,0.000162013285089,0.000216017713453,0.0,0.156450828968,0.0,0.0,0.0,0.0,0.0,0.000216017713453,0.0,0.0,0.00140411513744,0.379273100394,0.0203596694929,0.0575147162067,0.00108008856726,0.0,0.000810066425447,0.00178214613598,0.0,0.00124210185235,0.242803909921,0.0,0.0191175676405,0.0010260841389,0.0,0.00507641626613,0.0,0.0412593832694,0.0,0.0,0.000162013285089,0.0,5.40044283631e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000378030998542,0.0,0.0,0.0,0.0,5.40044283631e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000162013285089,0.0010260841389,0.0,5.40044283631e-05,0.0,0.0,0.0,0.0,5.40044283631e-05,0.0,0.0,0.0,0.000432035426905,0.0,0.0,0.0,0.00334827455851,0.0,0.0,0.0,0.0516822379435,0.0104768591024,0.0,0.0,0.000108008856726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00221418156289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206703",0.0,0.000176315016162,0.000117543344108,0.0,0.0933294152219,0.0,0.0,0.0,0.0,0.0,5.87716720541e-05,0.0,0.0,0.000705260064649,0.250543637967,0.00887452248016,0.0357331766089,0.00117543344108,0.0,0.000822803408757,0.000646488392595,0.0,0.000352630032324,0.436497208346,0.0,0.00852189244784,0.00182192183368,0.0,0.00611225389362,0.0,0.098912724067,0.0,0.0,5.87716720541e-05,0.0,5.87716720541e-05,0.000176315016162,0.0,0.0,0.0,0.0,0.0,0.0,5.87716720541e-05,0.0,0.0,0.0,0.0,0.0,5.87716720541e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000117543344108,0.000999118424919,0.0,0.000235086688216,0.0,0.0,5.87716720541e-05,0.0,5.87716720541e-05,0.0,0.0,0.0,0.00129297678519,0.0,0.0,0.000176315016162,0.0071701439906,0.0,0.0,0.0,0.0340875697914,0.00840434910373,0.0,0.0,0.000352630032324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00211578019395,0.0,0.0,0.0,0.0,0.000117543344108,0.0,0.0,0.0,0.0,0.0,0.0
"X206753",0.0,0.0,0.00030899961375,3.86249517188e-05,0.335071456161,0.0,3.86249517188e-05,0.000502124372345,0.0,0.0,3.86249517188e-05,0.0,3.86249517188e-05,0.00162224797219,0.163460795674,0.00911548860564,0.0493626882966,0.00119737350328,0.0,7.72499034376e-05,0.00166087292391,0.0,0.000154499806875,0.287446890691,0.000695249130939,0.00714561606798,0.00131324835844,0.0,0.0682502896871,0.0,0.0397064503669,0.0,0.0,0.0,0.0,7.72499034376e-05,0.0,0.0,0.0,0.0,0.000115874855156,0.0,0.0,0.000115874855156,0.0,0.0,0.0,0.0,0.0,0.0,0.00135187331016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.72499034376e-05,0.000231749710313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00455774430282,0.0,0.0,0.000115874855156,0.00915411355736,3.86249517188e-05,0.0,0.0,0.001235998455,0.000926998841251,0.0,0.0,0.000154499806875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146002317497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206752",3.57040845473e-05,0.0,0.000285632676378,0.0,0.284632962011,0.0,3.57040845473e-05,0.000642673521851,0.0,0.0,7.14081690945e-05,0.0,0.0,0.00124964295915,0.105505569837,0.00689088831762,0.0558054841474,0.00157097972008,0.0,3.57040845473e-05,0.00132105112825,0.0,0.000178520422736,0.330655526992,0.00117823479006,0.0144601542416,0.00117823479006,0.0,0.0852613538989,0.0,0.0488788917452,0.0,0.0,3.57040845473e-05,0.0,0.0,0.000178520422736,0.0,3.57040845473e-05,0.0,3.57040845473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00117823479006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000142816338189,0.000214224507284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00360611253927,0.0,0.0,3.57040845473e-05,0.00574835761211,0.0,0.0,0.0,0.00146386746644,0.000321336760925,0.0,0.0,0.000214224507284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0469151670951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206711",0.0,0.0452124204235,0.000259841496687,0.0,0.21332986878,0.0,4.33069161145e-05,0.0,0.0,0.0,4.33069161145e-05,0.0,0.0,4.33069161145e-05,0.363864709194,0.000129920748344,0.0469446970681,0.0217400718895,0.0,0.00047637607726,0.00272833571521,0.0,0.00277164263133,0.293664198172,0.0,0.000822831406176,0.00151574206401,0.0,0.00229526655407,0.0,0.000216534580573,0.0,0.0,0.000129920748344,0.0,8.6613832229e-05,0.000173227664458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6613832229e-05,0.000259841496687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000173227664458,0.00212203888961,0.0,0.0,0.0,0.000519682993374,0.000216534580573,0.0,0.0,8.6613832229e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33069161145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206710",0.0,0.0552074991757,4.71053747233e-05,0.0,0.285646992322,0.0,0.0,0.0,0.0,0.0,0.000235526873616,0.0,4.71053747233e-05,0.0,0.230533703896,0.0,0.0504969617033,0.0159216166565,0.0,0.00310895473173,0.00626501483819,0.0,0.00390974610203,0.327570775826,0.0,0.00504027509539,0.00164868811531,0.0,0.00353290310424,0.0,9.42107494465e-05,0.0,0.0,4.71053747233e-05,0.0,0.0,4.71053747233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164868811531,0.000518159121956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.42107494465e-05,0.00711291158321,0.0,0.0,0.0,0.00108342361863,0.00014131612417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206719",4.27186124995e-05,8.54372249989e-05,0.000299030287496,0.0,0.23533683626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27186124995e-05,0.23465333846,0.00448545431244,0.00440001708745,0.0127728651373,0.0,0.0,0.00111068392499,0.0,0.000427186124995,0.494596095519,0.0,0.0,0.00252039813747,0.0,8.54372249989e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54372249989e-05,8.54372249989e-05,0.0,0.0,4.27186124995e-05,0.0,0.0,0.0,0.0,4.27186124995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54372249989e-05,0.0080310991499,0.0,0.0,0.0,0.000299030287496,0.000427186124995,0.0,0.0,4.27186124995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.0,6.19271736438e-05,0.000123854347288,0.0,0.220398810998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736438e-05,0.242444884815,0.00371563041863,0.00266286846668,0.00501610106515,0.0,0.0,0.000371563041863,0.0,6.19271736438e-05,0.518516224919,0.0,0.000371563041863,0.00179588803567,0.0,0.000371563041863,0.0,0.0,0.0,0.0,6.19271736438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736438e-05,0.0,6.19271736438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736438e-05,0.0,0.0,0.000123854347288,0.0029725043349,0.0,0.0,0.0,0.000309635868219,0.000185781520931,0.0,0.0,0.000123854347288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
