"","x"
"1","Christensenellaceae_R_7_group"
"2","Ruminiclostridium"
"3","Run_SP154(order)"
"4","Corynebacterium"
"5","Bryobacter"
"6","Rhodovarius"
"7","Lachnospiraceae_UCG_001"
"8","Senegalimassilia"
"9","Catenisphaera"
"10","Coprococcus"
"11","Acinetobacter"
"12","_Eubacterium_brachy_group"
"13","Alicyclobacillus"
"14","Lachnospiraceae_NK4A136_group"
"15","Rothia"
"16","Arcobacter"
"17","MB_A2_108(class)"
"18","Coprobacter"
"19","Plantactinospora"
"20","Bacteroidales_S24_7_group(family)"
"21","Gallicola"
"22","Cloacibacillus"
"23","Atopostipes"
"24","Family_XIII_UCG_002"
"25","Cardiobacterium"
"26","Knoellia"
"27","Lactococcus"
"28","Thermicanus"
"29","Peredibacter"
"30","Lachnospira"
"31","Proteus"
"32","Mogibacterium"
"33","Eggerthella"
"34","Slackia"
"35","Succiniclasticum"
"36","Lachnospiraceae_UCG_010"
"37","Latescibacteria(phylum)"
"38","Epulopiscium"
