"","x"
"1","Christensenellaceae_R_7_group"
"2","Ruminiclostridium"
"3","Corynebacterium"
"4","Rhodovarius"
"5","Alloscardovia"
"6","Senegalimassilia"
"7","Bacteroides"
"8","Asticcacaulis"
"9","Coprococcus"
"10","Acinetobacter"
"11","_Eubacterium_brachy_group"
"12","Alicyclobacillus"
"13","Lachnospiraceae_NK4A136_group"
"14","Rothia"
"15","Arcobacter"
"16","MB_A2_108(class)"
"17","Streptobacillus"
"18","Coprobacter"
"19","Bacteroidales_S24_7_group(family)"
"20","Gallicola"
"21","Cloacibacillus"
"22","Atopostipes"
"23","Family_XIII_UCG_002"
"24","Cardiobacterium"
"25","Knoellia"
"26","Lactococcus"
"27","Thermicanus"
"28","Peredibacter"
"29","Lachnospira"
"30","PHOS_HE51(family)"
"31","Proteus"
"32","DS"
"33","Mogibacterium"
"34","Lachnospiraceae_ND3007_group"
"35","Slackia"
"36","Lachnospiraceae_UCG_010"
"37","Epulopiscium"
