"","Comamonadaceae","Prevotellaceae","Family_XIII","Ruminococcaceae","Run_SP154(order)","Corynebacteriaceae","Peptococcaceae","Acetobacteraceae","Pseudomonadaceae","Intrasporangiaceae","Christensenellaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Family_XI","Bifidobacteriaceae","Sphingobacteriaceae","Coriobacteriaceae","Bacteroidaceae","Clostridiales_vadinBB60_group","Streptococcaceae","Peptostreptococcaceae","Thermaceae","Rikenellaceae","Aerococcaceae","Actinomycetaceae","Moraxellaceae","Flavobacteriaceae","Rhodospirillaceae","Porphyromonadaceae","Eubacteriaceae","Brucellaceae","Micrococcaceae","Synergistaceae","Methylobacteriaceae","Micromonosporaceae","Acidaminococcaceae","Subgroup_6(class)","Chitinophagaceae","Carnobacteriaceae","Fusobacteriaceae","Neisseriaceae","JG30_KF_CM45(order)","Rhizobiaceae","Cardiobacteriaceae","Caulobacteraceae","Defluviitaleaceae","Shewanellaceae","Lactobacillaceae","Family_X","Staphylococcaceae","Desulfovibrionaceae","Campylobacteraceae","Chloroplast(class)","Deinococcaceae","Pasteurellaceae","Gastranaerophilales(order)","Enterobacteriaceae","Leptotrichiaceae","Rhodobacteraceae","Haliangiaceae","Sphingomonadaceae","Clostridiaceae_1","PHOS_HE51","Xanthomonadaceae","Alteromonadaceae","Methanobacteriaceae","Bdellovibrionaceae","Solirubrobacteraceae","Bacillaceae","Blastocatellaceae_Subgroup_4_","Mollicutes_RF9(order)","Bacteroidales_S24_7_group","Microbacteriaceae","Verrucomicrobiaceae","Oxalobacteraceae","Cytophagaceae","uncultured","Erythrobacteraceae","Hyphomicrobiaceae","Bradyrhizobiaceae","Latescibacteria(phylum)","Family_III","Saprospiraceae"
"X206704",0.0,0.000162013285089,0.000216017713453,0.156450828968,0.0,0.0,0.0,0.0,0.000216017713453,0.0,0.00140411513744,0.379273100394,0.0203596694929,0.0575147162067,0.00108008856726,0.000810066425447,0.00178214613598,0.0,0.00124210185235,0.242803909921,0.0,0.0191175676405,0.0010260841389,0.0,0.00507641626613,0.0,0.000162013285089,0.0,0.0,0.0,0.0412593832694,0.0,0.0,0.000378030998542,0.0,0.0,0.0,0.0,0.0,0.0,0.000162013285089,0.0010260841389,5.40044283631e-05,0.0,0.0,5.40044283631e-05,0.0,5.40044283631e-05,0.0,0.000432035426905,0.0,0.0,0.00334827455851,0.0,0.0,0.0,0.0516822379435,0.0,0.0104768591024,5.40044283631e-05,0.0,0.0,0.0,0.000108008856726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00221418156289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206703",0.0,0.000176315016162,0.000117543344108,0.0933294152219,0.0,0.0,0.0,0.0,5.87716720541e-05,0.0,0.000705260064649,0.250543637967,0.00887452248016,0.0357331766089,0.00117543344108,0.000822803408757,0.000646488392595,0.0,0.000352630032324,0.436497208346,0.0,0.00852189244784,0.00182192183368,0.0,0.00611225389362,0.0,5.87716720541e-05,0.000176315016162,0.0,0.0,0.098912724067,0.0,0.0,5.87716720541e-05,0.0,5.87716720541e-05,0.0,0.0,0.0,0.0,0.000117543344108,0.000999118424919,0.000235086688216,0.0,5.87716720541e-05,5.87716720541e-05,0.0,5.87716720541e-05,0.0,0.00129297678519,0.0,0.000176315016162,0.0071701439906,0.0,0.0,0.0,0.0340875697914,0.0,0.00840434910373,0.0,0.0,0.0,0.0,0.000352630032324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00211578019395,0.0,0.0,0.0,0.0,0.0,0.000117543344108,0.0,0.0,0.0
"X206753",0.0,0.0,0.00030899961375,0.335071456161,0.0,3.86249517188e-05,0.000502124372345,0.0,3.86249517188e-05,3.86249517188e-05,0.00162224797219,0.163460795674,0.00911548860564,0.0493626882966,0.00119737350328,7.72499034376e-05,0.00166087292391,0.0,0.000154499806875,0.287446890691,0.000695249130939,0.00714561606798,0.00131324835844,0.0,0.0682502896871,0.0,0.0,0.0,0.0,0.0,0.0397064503669,0.000115874855156,0.0,0.000115874855156,0.0,0.0,0.0,0.0,0.0,0.0,7.72499034376e-05,0.000231749710313,0.0,0.0,0.0,0.0,0.0,7.72499034376e-05,0.0,0.00455774430282,0.0,0.000115874855156,0.00915411355736,0.0,3.86249517188e-05,0.0,0.001235998455,0.0,0.000926998841251,0.0,3.86249517188e-05,0.0,0.0,0.000154499806875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00135187331016,0.0,0.0,0.0146002317497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206752",3.57040845473e-05,0.0,0.000285632676378,0.284632962011,0.0,3.57040845473e-05,0.000642673521851,0.0,7.14081690945e-05,0.0,0.00124964295915,0.105505569837,0.00689088831762,0.0558054841474,0.00157097972008,3.57040845473e-05,0.00132105112825,0.0,0.000178520422736,0.330655526992,0.00117823479006,0.0144601542416,0.00117823479006,0.0,0.0852613538989,0.0,3.57040845473e-05,0.000178520422736,0.0,3.57040845473e-05,0.0488788917452,3.57040845473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000142816338189,0.000214224507284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00360611253927,0.0,3.57040845473e-05,0.00574835761211,0.0,0.0,0.0,0.00146386746644,0.0,0.000321336760925,0.0,0.0,0.0,0.0,0.000214224507284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00117823479006,0.0,0.0,0.0469151670951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206711",0.0,0.0452124204235,0.000259841496687,0.21332986878,0.0,4.33069161145e-05,0.0,0.0,4.33069161145e-05,0.0,4.33069161145e-05,0.363864709194,0.000129920748344,0.0469446970681,0.0217400718895,0.00047637607726,0.00272833571521,0.0,0.00277164263133,0.293664198172,0.0,0.000822831406176,0.00151574206401,0.0,0.00229526655407,0.0,0.000129920748344,0.000173227664458,0.0,0.0,0.000216534580573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6613832229e-05,0.000259841496687,0.0,0.0,0.0,0.0,0.0,8.6613832229e-05,0.0,0.0,0.0,0.000173227664458,0.00212203888961,0.0,0.0,0.0,0.000519682993374,0.0,0.000216534580573,0.0,0.0,0.0,0.0,8.6613832229e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33069161145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206710",0.0,0.0552074991757,4.71053747233e-05,0.285646992322,0.0,0.0,0.0,0.0,0.000235526873616,4.71053747233e-05,0.0,0.230533703896,0.0,0.0504969617033,0.0159216166565,0.00310895473173,0.00626501483819,0.0,0.00390974610203,0.327570775826,0.0,0.00504027509539,0.00164868811531,0.0,0.00353290310424,0.0,4.71053747233e-05,4.71053747233e-05,0.0,0.0,9.42107494465e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164868811531,0.000518159121956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.42107494465e-05,0.00711291158321,0.0,0.0,0.0,0.00108342361863,0.0,0.00014131612417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206719",4.27186124995e-05,8.54372249989e-05,0.000299030287496,0.23533683626,0.0,0.0,0.0,0.0,0.0,0.0,4.27186124995e-05,0.23465333846,0.00448545431244,0.00440001708745,0.0127728651373,0.0,0.00111068392499,0.0,0.000427186124995,0.494596095519,0.0,0.0,0.00252039813747,0.0,8.54372249989e-05,0.0,0.0,8.54372249989e-05,8.54372249989e-05,0.0,0.0,4.27186124995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54372249989e-05,0.0080310991499,4.27186124995e-05,0.0,0.0,0.000299030287496,0.0,0.000427186124995,0.0,0.0,0.0,0.0,4.27186124995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.0,6.19271736438e-05,0.000123854347288,0.220398810998,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736438e-05,0.242444884815,0.00371563041863,0.00266286846668,0.00501610106515,0.0,0.000371563041863,0.0,6.19271736438e-05,0.518516224919,0.0,0.000371563041863,0.00179588803567,0.0,0.000371563041863,0.0,6.19271736438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736438e-05,6.19271736438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736438e-05,0.0,0.000123854347288,0.0029725043349,0.0,0.0,0.0,0.000309635868219,0.0,0.000185781520931,0.0,0.0,0.0,0.0,0.000123854347288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206726",0.0,0.000418165091578,0.000459981600736,0.27954336372,0.0,0.0,0.000167266036631,0.0,0.0,0.0,0.0,0.255666136991,0.0,0.013255833403,0.00735970561178,0.000794513673998,0.000543614619052,0.0,0.000209082545789,0.418374174124,0.0,0.000209082545789,0.00137994480221,0.0,0.00531069666304,0.0,4.18165091578e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00899054946893,0.000125449527473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000167266036631,0.000669064146525,0.000585431128209,0.0,0.0,0.000209082545789,0.0,0.00497616458978,0.0,0.0,0.0,0.0,0.000501798109894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18165091578e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206725",0.0,0.000451229600662,0.000940061668045,0.36120929533,0.0,0.0,7.52049334436e-05,0.0,0.0,0.0,0.0,0.287207640821,0.0,0.00729487854403,0.00345942693841,0.00323381213808,0.000188012333609,0.0,7.52049334436e-05,0.295893810634,0.0,0.000225614800331,0.00338422200496,0.0,0.0041362713394,0.0,0.0,0.0,0.0,0.0,0.0,0.000150409866887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76024667218e-05,0.0205685492968,0.000112807400165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76024667218e-05,0.000188012333609,0.000902459201324,0.0,0.0,0.000112807400165,0.0,0.00928780928029,0.0,0.0,0.0,0.0,0.00082725426788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
