"","x"
"1","Paracoccus"
"2","Lachnospiraceae_UCG_001"
"3","Alloscardovia"
"4","Collinsella"
"5","Ruminococcaceae_NK4A214_group"
"6","Fusobacterium"
"7","Actinomyces"
"8","Lachnospiraceae_NK4A136_group"
"9","Negativicoccus"
"10","Gallicola"
"11","Atopostipes"
"12","Family_XIII_UCG_002"
"13","Barnesiella"
"14","Lachnospiraceae(family)"
"15","Lactococcus"
"16","Lachnospira"
"17","Haemophilus"
"18","Proteus"
"19","Johnsonella"
"20","Eggerthella"
"21","Facklamia"
"22","Lachnospiraceae_UCG_010"
"23","_Eubacterium_ventriosum_group"
"24","Rhodopseudomonas"
"25","Epulopiscium"
