"","Proteobacteria","Bacteroidetes","Firmicutes","Actinobacteria","Deinococcus_Thermus","Synergistetes","Acidobacteria","Fusobacteria","Chloroflexi","Cyanobacteria","Euryarchaeota","Tenericutes","Verrucomicrobia","Latescibacteria"
"X206704",0.0861910676675,0.289301722741,0.617648647189,0.00356429227197,0.0,0.0,0.0,0.00108008856726,0.0,0.0,0.0,0.0,0.00221418156289,0.0
"X206703",0.0593006171026,0.541698501322,0.394769321187,0.00111666176903,0.0,0.0,0.0,0.000999118424919,0.0,0.0,0.0,0.0,0.00211578019395,0.0
"X206753",0.0205098493627,0.395403630745,0.565855542681,0.00200849748938,0.0,0.0,0.0,0.000231749710313,0.0,3.86249517188e-05,0.0,0.00135187331016,0.0146002317497,0.0
"X206752",0.014745786918,0.464795772636,0.470579834333,0.00157097972008,0.0,0.0,0.0,0.000214224507284,0.0,0.0,0.0,0.00117823479006,0.0469151670951,0.0
"X206711",0.00320471179247,0.341388419731,0.649430514053,0.005673206011,0.0,0.0,0.0,0.000259841496687,0.0,0.0,0.0,0.0,4.33069161145e-05,0.0
"X206710",0.00862028357436,0.386405388855,0.594187196759,0.0102689716897,0.0,0.0,0.0,0.000518159121956,0.0,0.0,0.0,0.0,0.0,0.0
"X206719",0.0134136443248,0.494852407194,0.490196078431,0.00153787004998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.00718355214268,0.519011642309,0.473247460986,0.00049541738915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736438e-05,0.0
"X206726",0.00656519193778,0.424144852388,0.559504892532,0.000794513673998,0.0,0.0,0.0,0.00899054946893,0.0,0.0,0.0,0.0,0.0,0.0
"X206725",0.0106038956156,0.300481311574,0.668083026247,0.000263217267053,0.0,0.0,0.0,0.0205685492968,0.0,0.0,0.0,0.0,0.0,0.0
"X206730",0.489768443726,0.266962843296,0.238422186322,0.00215401184707,0.0,0.0,0.0,0.00188476036618,0.000538502961766,0.0,0.0,0.0,0.0,0.000269251480883
"X206729",0.313248256808,0.0668333114064,0.598473885015,0.00980134192869,0.00039468490988,0.0,0.0,0.0112485199316,0.0,0.0,0.0,0.0,0.0,0.0
"X206739",0.0190738782293,0.264050460795,0.711323462759,0.00517449765826,0.0,0.0,0.0,0.000302160447197,0.0,0.0,0.0,0.0,7.55401117994e-05,0.0
"X206738",0.0352475247525,0.265120226308,0.692786421499,0.00384724186704,0.00016973125884,0.000565770862801,0.0,0.00135785007072,0.0,0.000792079207921,0.0,0.0,0.00011315417256,0.0
"X206741",0.0290697674419,0.428670600486,0.540610898993,0.00143179451579,8.67754251996e-05,0.0,0.0,0.000130163137799,0.0,0.0,0.0,0.0,0.0,0.0
"X206740",0.0289598829411,0.465613949518,0.502621631508,0.00219485428606,0.0,0.0,0.0,0.000548713571516,0.0,6.09681746129e-05,0.0,0.0,0.0,0.0
"X206742",0.014827628815,0.530705548004,0.412702335352,0.00185345360188,0.0,0.0,0.0,0.0,0.0,0.0,0.00185345360188,0.0,0.0380575806252,0.0
"X206743",0.014904517932,0.673921327857,0.261506541898,0.00309099377567,8.46847609773e-05,0.0,0.000381081424398,0.0018630647415,0.0,0.0,0.000973874751239,0.0,0.0432739128594,0.0
"X224324",0.132317493113,0.621986914601,0.244404269972,0.00107610192837,0.0,0.0,0.0,0.000215220385675,0.0,0.0,0.0,0.0,0.0,0.0
"X224323",0.102083122662,0.490089998989,0.406107796542,0.00126403074123,0.0,0.0,0.0,0.000404489837193,0.0,0.0,0.0,0.0,5.05612296491e-05,0.0
"X219652",0.0144892184603,0.20514196507,0.703190555176,0.0649819494585,0.0,0.0,0.000146355742024,4.87852473412e-05,0.0,0.0106839691677,0.0,0.0,0.00131720167821,0.0
"X219651",0.0120140445873,0.227336181734,0.721392613901,0.0276238419561,0.0,0.0,0.0,4.23029738991e-05,0.0,0.0111679851094,0.0,0.0,0.000423029738991,0.0
"X219656",0.0424706482899,0.300561510975,0.650740173558,0.00224604389995,0.0,0.0,0.0,0.00102092904543,0.0,0.0,0.0,0.0,0.00296069423175,0.0
"X219655",0.0198598695337,0.136796327615,0.840251268422,0.000676491906258,0.0,0.0,0.0,0.00115970041073,0.0,0.0,0.0,0.0,0.00125634211162,0.0
"X219657",0.114271429365,0.016999055608,0.86767401811,0.00105549691684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219658",0.295528898582,0.0,0.691384950927,0.0109051254089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00218102508179,0.0
