OTU,LDA_score,CLass
f__Eubacterium_xylanophilum_group,5.435526132860323,CD
Family_XIII_AD3011_group,5.533842666320665,CD
Family_XIII,5.680469697823057,CD
Deltaproteobacteria,6.39736400428887,CD
Desulfovibrionales,6.403766787715837,CD
Desulfovibrionaceae,6.408235366214915,CD
Bilophila,6.415310368990564,CD
Lachnospiraceae_NK4A136_group,6.81584556549383,CD
Alcaligenaceae,7.2167083955781255,CD
Burkholderiales,7.2198619512852575,CD
Bacilli,7.241077121969791,CD
Betaproteobacteria,7.267260862704781,CD
Fusobacteria,7.361906498865185,CD
Fusobacteriia,7.361906498865185,CD
Fusobacteriales,7.361906498865185,CD
Fusobacteriaceae,7.363660284316602,CD
Fusobacterium,7.363660284316602,CD
Hafnia_Obesumbacterium,4.396220092923715,UC
Lachnospiraceae_FCS020_group,4.899119056235284,UC
Prevotellaceae_NK3B31_group,5.455942730846055,UC
f__Eubacterium_ventriosum_group,5.715999668179685,UC
Ruminococcaceae_UCG_013,5.779788760666473,UC
Ruminococcaceae_UCG_004,5.790241826029494,UC
Peptostreptococcaceae,6.413692241629998,UC
Haemophilus,6.563533017066795,UC
Pasteurellales,6.567180674849887,UC
Pasteurellaceae,6.567180674849887,UC
f__Eubacterium_coprostanoligenes_group,6.633712691542434,UC
f__Eubacterium_hallii_group,6.747996214022615,UC
Prevotella,7.272970456825417,UC
Rikenellaceae,7.573387246549772,UC
Alistipes,7.573990340648566,UC
Christensenella,3.868499885619372,nonIBD
Defluviitaleaceae_UCG_011,4.852871387045691,nonIBD
Defluviitaleaceae,4.864872205337518,nonIBD
Lactonifactor,5.031197805101448,nonIBD
Ruminococcaceae_UCG_008,5.233256606852381,nonIBD
Clostridiales_vadinBB60_group__family__,5.438315875095138,nonIBD
Lachnospiraceae_UCG_001,5.4444899420971575,nonIBD
Clostridiales_vadinBB60_group,5.447227688244651,nonIBD
Stomatobaculum,5.531102899699415,nonIBD
Coriobacteriia,5.680453340164184,nonIBD
Coriobacteriales,5.680453340164184,nonIBD
Coriobacteriaceae,5.680453340164195,nonIBD
Granulicatella,5.730363961580352,nonIBD
Carnobacteriaceae,5.731217784513197,nonIBD
Holdemania,5.803507700046228,nonIBD
Ruminococcaceae_NK4A214_group,5.859578250025653,nonIBD
Butyricicoccus,5.889232939558462,nonIBD
Lachnospiraceae_ND3007_group,5.9473803609887215,nonIBD
Ruminococcaceae_UCG_003,5.991927861955459,nonIBD
Dorea,6.156188161933385,nonIBD
Tenericutes,6.177512619664774,nonIBD
Mollicutes_RF9__order__,6.1798607347057555,nonIBD
Mollicutes,6.194109043107968,nonIBD
Lachnospira,6.205484115515477,nonIBD
Mollicutes_RF9,6.212309340435957,nonIBD
Odoribacter,6.219033022347322,nonIBD
Ruminococcaceae_UCG_014,6.244778359793871,nonIBD
f__Eubacterium_eligens_group,6.30950606280582,nonIBD
Ruminococcaceae_UCG_005,6.319410888496147,nonIBD
Ruminiclostridium,6.384315346973345,nonIBD
Fusicatenibacter,6.416082950906014,nonIBD
Megasphaera,6.498482037500369,nonIBD
Ruminococcaceae_UCG_002,6.627385113890748,nonIBD
Ruminococcus,6.703266389348483,nonIBD
Roseburia,6.743592414400722,nonIBD
Christensenellaceae_R_7_group,6.789631888996514,nonIBD
Christensenellaceae,6.795192297375402,nonIBD
Bifidobacteriales,6.797085955523606,nonIBD
Bifidobacteriaceae,6.797085955523606,nonIBD
Bifidobacterium,6.7989953457341405,nonIBD
Flavonifractor,6.830438098467566,nonIBD
Verrucomicrobiales,7.01800481204222,nonIBD
Streptococcus,7.018891840724299,nonIBD
Streptococcaceae,7.018969153899263,nonIBD
Verrucomicrobia,7.02951503577572,nonIBD
Akkermansia,7.035681647649162,nonIBD
Lactobacillales,7.036073091813306,nonIBD
Verrucomicrobiae,7.038188664491208,nonIBD
Lachnospiraceae_UCG_008,7.042767443691231,nonIBD
Verrucomicrobiaceae,7.04359150424861,nonIBD
Actinobacteria,7.061551792432001,nonIBD
uncultured,7.145911211675039,nonIBD
Negativicutes,7.175218775209655,nonIBD
Selenomonadales,7.175218775209655,nonIBD
Veillonella,7.1763096952280225,nonIBD
Blautia,7.194899760493041,nonIBD
Veillonellaceae,7.197195407798147,nonIBD
Coprococcus,7.207638812686182,nonIBD
Porphyromonadaceae,7.244678316852413,nonIBD
Anaerostipes,7.449899681755496,nonIBD
Subdoligranulum,7.456064498512623,nonIBD
Faecalibacterium,7.840074358740399,nonIBD
Ruminococcaceae,8.064895582210664,nonIBD
Bacteroidaceae,8.159618364132125,nonIBD
Bacteroides,8.159618364132125,nonIBD
Lachnospiraceae,8.213906725545916,nonIBD
Bacteroidetes,8.239761709419348,nonIBD
Bacteroidia,8.25014222601034,nonIBD
Bacteroidales,8.25014222601034,nonIBD
Clostridia,8.439347444206922,nonIBD
Clostridiales,8.4393499052458,nonIBD
Firmicutes,8.493297727679202,nonIBD
Bacteria,8.68532499914859,nonIBD
