"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Gammaproteobacteria","Actinobacteria","JG30_KF_CM66","Solibacteres","Thermoleophilia","Flavobacteriia","Sphingobacteriia","Bacilli","Blastocatellia","Negativicutes","Erysipelotrichia","WCHB1_32","Spartobacteria","Fusobacteriia","Deinococci","Coriobacteriia","Fibrobacteria","Opitutae","Mollicutes","Chloroflexia","Spirochaetes","Acidimicrobiia","Cytophagia","Cyanobacteria","Melainabacteria","Deltaproteobacteria","Subgroup_6","Epsilonproteobacteria","Synergistia","MB_A2_108","Nitrospira","Caldilineae","Planctomycetacia","Verrucomicrobia_Incertae_Sedis","Anaerolineae","WCHA1_57","Chlorobia","OPB35_soil_group","Tectomicrobia(phylum)","Lentisphaeria","Methanobacteria","Thermomicrobia","Proteobacteria_Incertae_Sedis","Thermoplasmata","Candidatus_Falkowbacteria","Chloroplast","Gitt_GS_136","Bacteroidetes_vadinHA17","Cyanobacteria(phylum)","Holophagae","ML635J_21","Acidobacteria","Oligosphaeria","KD4_96","Verrucomicrobiae","uncultured","TK10","Candidatus_Nomurabacteria","Gemmatimonadetes","Latescibacteria(phylum)","UA11","Subgroup_2","Elusimicrobia"
"X206695",0.0186335403726708,0.0062111801242236,0.263975155279503,0.13871635610765998,0.4192546583850928,0.0217391304347826,0.0,0.0,0.0,0.0,0.0,0.0300207039337474,0.0,0.0196687370600414,0.0,0.0,0.0,0.0093167701863354,0.0010351966873706,0.0041407867494824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05175983436853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.0,0.0028191436436602454,0.19996020032503067,0.20277934396869052,0.30171470266326195,0.0,0.0,0.0,0.0,0.0,0.0,0.0033498059765845237,0.0,0.07429272660939931,0.02016516865112271,0.0,0.0,0.19200026533116651,0.0,6.63327916155351e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00285231003946801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.2861706048568738,0.49617101437405337,0.02141774847454854,0.019861583193414967,0.0,0.0,0.0,0.0,0.0,0.01019697776321717,0.0,0.14505098488881568,0.020926327859453694,0.0,0.0,4.09517179245669e-05,0.0,8.19034358491339e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179245669e-05,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.0,0.0,0.33864912217971177,0.43805198984517474,0.021739907748417726,0.01362319876997894,0.0,0.0,0.0,0.0,0.0,0.014731648013730472,0.0,0.1571494976221975,0.015267994421997354,0.0,0.0,0.000250294990524547,0.0,0.0005005899810490934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.0005357908272610377,0.0013394770681525925,0.00300042863266181,0.9919095585083583,5.35790827261037e-05,0.0,0.0,0.0,0.000964423489069867,0.0,0.000964423489069867,0.0,0.0,0.00032147449635662267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000910844406343763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.0,0.00169072701261542,0.004812069189751585,0.004421901417609573,0.9751593185069577,0.0018207829366627612,0.0,0.0,0.0,0.0013005592404734,0.0,0.00416178956951489,0.0,0.00104044739237872,0.0,0.0,0.0,0.00507218103784627,0.000520223696189361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.003911678418858404,0.6235524216377576,0.3273457203149934,0.002367594832466931,0.001029389057594318,0.0,0.0,0.0,0.0,0.00025734726439858,0.003191106078542381,0.0,0.005249884193731017,0.029543465952956916,0.0,0.0,0.001132327963353749,0.0,0.000514694528797159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00190436975654949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0,0.02079049577336075,0.39643591501028086,0.5467671921407353,0.0037925519762394277,0.0001827735892163582,0.0,0.0,0.0,0.0,0.0,0.0009595613433858808,0.0,0.009367146447338359,0.006351382225268448,0.0,0.0,0.000502627370344985,0.0,0.000731094356865432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141192597669637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",4.10172272354389e-05,0.0005742411812961448,0.5054552912223138,0.41267432321575065,0.03506972928630026,0.0008203445447087778,0.0,0.0,0.0,0.0,0.0,0.007424118129614442,0.0,0.014602132895816236,0.013412633305988473,0.0,0.0,0.00143560295324036,0.0,0.000287120590648072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079163248564397,0.0,0.000123051681706317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000164068908941756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.0,0.0004204109517052915,0.49529665247779725,0.4507330915970362,0.026485889957433343,0.0008408219034105836,0.0,0.0,0.0,0.0,0.0,0.003100530768826523,0.0,0.008355667665142676,0.007146986178989957,0.0,0.0,0.00199695202060014,0.0,0.0002102054758526455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00530768826527931,0.0,0.000105102737926323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
