"","Acetobacteraceae","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Run_SP154(order)","Pasteurellaceae","Corynebacteriaceae","Moraxellaceae","Peptococcaceae","JG30_KF_CM66(class)","Solibacteraceae_Subgroup_3_","uncultured","Pseudomonadaceae","Flavobacteriaceae","Sphingobacteriaceae","Kineosporiaceae","Sphingomonadaceae","Intrasporangiaceae","Lactobacillaceae","Rhodospirillaceae","Blastocatellaceae_Subgroup_4_","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","WCHB1_32(class)","DA101_soil_group","Burkholderiaceae","Family_XI","Leptotrichiaceae","Bifidobacteriaceae","Thermaceae","Coriobacteriaceae","Fibrobacteraceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Leuconostocaceae","Rikenellaceae","Opitutaceae","Fusobacteriaceae","Caulobacteraceae","Aerococcaceae","NB1_n(order)","Oscillochloridaceae","Actinomycetaceae","Family_XII","Defluviitaleaceae","Hyphomicrobiaceae","Spirochaetaceae","Iamiaceae","Succinivibrionaceae","Oxalobacteraceae","Cellulomonadaceae","Eubacteriaceae","Pseudonocardiaceae","Alicyclobacillaceae","Cytophagaceae","FamilyI","Brucellaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Neisseriaceae","Subgroup_6(class)","Listeriaceae","Campylobacteraceae","Synergistaceae","MB_A2_108(class)","Methylobacteriaceae","0319_6A21","Mollicutes_RF9(order)","Micromonosporaceae","Caldilineaceae","Erythrobacteraceae","Acidaminococcaceae","Mycobacteriaceae","Bacteroidales_S24_7_group","Planctomycetaceae","SM2D12","Desulfurellaceae","Unknown_Family","Anaerolineaceae","WCHA1_57(class)","Chromatiaceae","OPB56","Chthoniobacterales_Incertae_Sedis","Thermoanaerobacteraceae","Chitinophagaceae","OPB35_soil_group(class)","Tectomicrobia(phylum)","vadinBE97","NS11_12_marine_group","Paenibacillaceae","Nocardiaceae","Carnobacteriaceae","Rhizobiales_Incertae_Sedis","Nocardioidaceae","Chloroflexaceae","Methanobacteriaceae","Bacteriovoracaceae","Streptosporangiales_Incertae_Sedis","Nitrospiraceae","Microbacteriaceae","Planococcaceae","JG30_KF_CM45(order)","Rhizobiaceae","Victivallaceae","Cardiobacteriaceae","Xanthomonadaceae","Cryomorphaceae","Geobacteraceae","env_OPS_17","Bdellovibrionaceae","Shewanellaceae","Obscuribacterales(order)","Thermoplasmatales_Incertae_Sedis","Lentimicrobiaceae","Candidatus_Falkowbacteria(class)","Xanthobacteraceae","Streptomycetaceae","Chloroplast(class)","Xanthomonadales_Incertae_Sedis","Geodermatophilaceae","Gitt_GS_136(class)","Chthoniobacteraceae","Family_X","Staphylococcaceae","Bacteroidetes_vadinHA17(class)","Deinococcaceae","Acidimicrobiaceae","Rhodospirillales_Incertae_Sedis","Coxiellaceae","Cyanobacteria(phylum)","NB1_j(order)","X35(order)","Enterobacteriaceae","Haliangiaceae","ABS_19","ML635J_21(class)","Acidobacteriaceae_Subgroup_1_","mle1_27","Brevibacteriaceae","Clostridiaceae_1","PHOS_HE51","Methylophilaceae","288_2","Alteromonadaceae","Heliobacteriaceae","Oligosphaeraceae","Solirubrobacteraceae","Bacillaceae","KD4_96(class)","Roseiarcaceae","Anaeroplasmataceae","Verrucomicrobiaceae","uncultured(class)","Helicobacteraceae","TK10(class)","FamilyII","Candidatus_Nomurabacteria(class)","Aeromonadaceae","SC_I_84(order)","Propionibacteriaceae","Bogoriellaceae","Phyllobacteriaceae","Gemmatimonadaceae","Bradyrhizobiaceae","Sanguibacteraceae","NS9_marine_group","Cellvibrionaceae","Myxococcaceae","Latescibacteria(phylum)","UA11(class)","Subgroup_2(class)","Lineage_IIb(order)","Elev_16S_1332","Polyangiaceae","1174_901_12","Oligoflexaceae","Rhodocyclaceae","Dermabacteraceae","Family_III","Lineage_IIc(order)","Saprospiraceae"
"X206695",0.0,0.0,0.0,0.0093167701863354,0.0,0.0,0.0838509316770186,0.0,0.0,0.0041407867494824,0.0175983436853002,0.0,0.0,0.0,0.0,0.0010351966873706,0.0,0.0,0.0,0.0,0.0,0.0,0.0186335403726708,0.0,0.16045548654244302,0.0062111801242236,0.0196687370600414,0.0,0.0,0.0,0.0,0.0,0.010351966873706,0.0,0.0082815734989648,0.0010351966873706,0.0041407867494824,0.0,0.128364389233954,0.0010351966873706,0.0289855072463768,0.0093167701863354,0.0,0.0,0.0,0.0093167701863354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093167701863354,0.0,0.0144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05175983436853,0.0,0.0,0.0,0.0,0.0,0.0010351966873706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400621118012422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.0,0.0,0.0,6.63327916155351e-05,3.31663958077676e-05,0.0,0.017578189778116836,0.0,0.0549235514576631,0.0,3.31663958077676e-05,0.0,0.0,0.0,0.0,6.63327916155351e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14576630957513848,6.63327916155352e-05,0.07429272660939931,0.02016516865112271,0.0,0.0,0.0,0.0,0.006102616828629228,6.63327916155351e-05,0.0,0.0,6.63327916155351e-05,0.0,0.202713011177075,0.0,0.00258697887300587,0.00381413551789327,0.0,0.0,0.0,0.191933932539551,0.0,3.31663958077676e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275281085204471,0.0,0.0,0.00285231003946801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000298497562269908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013266558323107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24669165201817553,0.0,0.0,0.0,0.0,0.0,0.0,0.026964279791715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.014046439248126479,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2597976985134527,0.0,0.14501003317089112,0.020926327859453694,0.0,0.0,0.0,0.0,0.000122855153773701,0.0,0.019861583193414967,0.0,8.19034358491339e-05,0.0,0.495638642041034,0.00040951717924566993,0.00417707522830583,0.009828412301896064,4.09517179245669e-05,8.19034358491339e-05,0.0,4.09517179245669e-05,0.0,8.19034358491339e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00573324050943937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021335845038699404,0.0,0.0,0.0,0.0,0.0,0.0,0.00249805479339858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.0,0.0,0.0,0.0,7.15128544355848e-05,0.0,0.019093932134301123,0.0,0.000178782136088962,0.0,0.000107269281653377,0.0,0.0,0.0,0.0,0.000107269281653377,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.306396824829263,0.0,0.1571494976221975,0.015267994421997354,0.0,0.0,0.0,0.0,0.00178782136088962,0.0,0.0133371473522366,0.0,0.0005005899810490934,0.0,0.437837451281868,0.00014302570887117,0.0071870418707762765,0.011942646690742685,0.0,7.15128544355848e-05,0.0,0.000250294990524547,0.0,0.00014302570887117,0.0,0.0,0.000250294990524547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568527192762899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021310830621804215,0.0,0.0,0.0,0.0,0.0,0.0,0.00100117996209819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.000482211744534934,0.0,0.0,0.0,0.0,0.0005893699099871412,0.0,0.0,0.0,0.000107158165452207,0.0,0.0,0.0,0.0,0.000321474496356622,0.000964423489069867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006965280754393473,0.0,0.0,0.00032147449635662267,0.0,0.0,0.0,5.35790827261037e-05,0.0006429489927132448,0.0,0.0,0.0,0.0,0.0,0.00171453064723532,0.0,0.000375053579082726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000910844406343763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00128589798542649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9914809258465495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35790827261037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.0,0.00169072701261542,0.0,0.000780335544284042,0.0,0.0,0.0032513981011835,0.0,0.0,0.00117050331642606,0.0,0.0,0.0,0.0,0.0,0.0105345298478346,0.0013005592404734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001300559240473403,0.0,0.00104044739237872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734,0.000520223696189361,0.0,0.0,0.00364156587332553,0.0,0.0,0.000260111848094681,0.0,0.0,0.0,0.00507218103784627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000520223696189361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00260111848094681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00156067108856808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9644947327350757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.000154408358639148,5.14694528797159e-05,0.000566163981676875,0.0,0.0,0.3177209326264859,0.0,0.001338205774872613,0.000308816717278295,0.0,0.0,0.0,0.0,0.0,5.14694528797159e-05,0.0,0.0,0.0,0.0,0.0,0.000360286170158011,0.0,0.0,0.30567708065263244,0.0033455144371815288,0.005249884193731017,0.029543465952956916,0.0,0.0,0.0,0.0,5.14694528797159e-05,0.000308816717278295,5.14694528797159e-05,0.0,0.000514694528797159,0.0,0.321632611045345,0.00514694528797159,0.00169849194503062,5.14694528797159e-05,0.0,0.0,0.0,0.000823511246075454,0.0,0.0,0.0,0.0,0.000669102887436307,0.0,0.0,0.0,0.0,0.0,0.0,0.000102938905759432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00190436975654949,0.000308816717278295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000154408358639148,0.0,0.0,0.0,0.0,0.0,0.0,0.000617633434556591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000102938905759432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000514694528797159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000977919604714602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0,9.13867946081791e-05,0.0,0.000228466986520448,4.56933973040896e-05,0.0,0.26218871373086555,0.0,0.001782042494859489,0.0,0.0,9.13867946081791e-05,0.0,0.0,0.0,4.56933973040896e-05,0.0,0.0,0.0,0.0,0.0,0.000182773589216358,0.0,0.0,0.1334704135252456,0.0205620287868403,0.009367146447338359,0.006351382225268448,0.0,0.0,0.0,0.0,0.0006854009595613432,0.0,9.13867946081791e-05,0.0,0.000731094356865432,0.0,0.533333333333333,0.011606122915238755,0.000639707562257254,0.0,0.0,0.00159926890564313,0.0,0.000502627370344985,0.0,0.0,0.0,0.0,9.13867946081791e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141192597669637,0.000137080191912269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13867946081791e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001964816084075849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.0,0.0,0.0,4.10172272354389e-05,0.0001230516817063167,0.0,0.276127973748975,0.0,0.031214109926169006,0.0,0.0,0.0,0.0,0.0,0.0,4.10172272354389e-05,0.0,0.0,0.0,4.10172272354389e-05,0.0,0.0,0.0,0.0,0.22904019688269076,0.0,0.014520098441345358,0.013412633305988473,0.0,0.0,0.0,0.0,0.0008613617719442169,0.0,0.000574241181296144,0.0,0.000287120590648072,0.0,0.411115668580804,0.00151763740771124,0.00602953240360952,0.0,0.0,0.0,0.0,0.00143560295324036,0.0,4.10172272354389e-05,0.0,0.0,0.000123051681706317,0.0,0.0,0.0,0.0,0.0,0.0,8.20344544708778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000123051681706317,0.0,0.0079163248564397,0.000492206726825267,0.0,0.0,0.000123051681706317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.20344544708778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000410172272354389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000164068908941756,0.0,0.0,0.0,0.0,4.10172272354389e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.20344544708778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037735849056603787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000164068908941756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.0,0.0,0.0,0.0,0.0,0.0,0.2875085395974568,0.0,0.024488937936833214,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20778811288034052,0.0,0.008303116296179514,0.007146986178989957,0.0,0.0,0.0,0.0,0.000420410951705292,0.0,0.000683167796521099,0.0,0.0002102054758526455,0.0,0.449366756003994,0.00126123285511588,0.00225970886541594,0.0,0.0,0.000105102737926323,0.0,0.00199695202060014,0.0,0.000105102737926323,0.0,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105102737926323,0.0,0.00530768826527931,0.00036785958274213,0.0,0.0,0.000105102737926323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000262756844815807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444006516369716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
