"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Run_SP154","Pasteurellales","Corynebacteriales","Pseudomonadales","JG30_KF_CM66(class)","Solibacterales","Gaiellales","Flavobacteriales","Sphingobacteriales","Kineosporiales","Sphingomonadales","Micrococcales","Lactobacillales","Blastocatellales","Selenomonadales","Erysipelotrichales","WCHB1_32(class)","Chthoniobacterales","Bacillales","Fusobacteriales","Bifidobacteriales","Thermales","Coriobacteriales","Fibrobacterales","Opitutales","Caulobacterales","NB1_n","Chloroflexales","Actinomycetales","Rhizobiales","Spirochaetales","Acidimicrobiales","Aeromonadales","Pseudonocardiales","Cytophagales","SubsectionIII","Gastranaerophilales","Desulfovibrionales","Neisseriales","Subgroup_6(class)","Campylobacterales","Synergistales","MB_A2_108(class)","Nitrospirales","Mollicutes_RF9","Micromonosporales","Caldilineales","Planctomycetales","Rickettsiales","Desulfurellales","Unknown_Order","Anaerolineales","WCHA1_57(class)","Chromatiales","Chlorobiales","Thermoanaerobacterales","OPB35_soil_group(class)","Tectomicrobia(phylum)","Victivallales","Propionibacteriales","Methanobacteriales","Bdellovibrionales","Streptosporangiales","JG30_KF_CM45","Cardiobacteriales","Xanthomonadales","Myxococcales","Desulfuromonadales","Alteromonadales","Obscuribacterales","Thermoplasmatales","Candidatus_Falkowbacteria(class)","Streptomycetales","Chloroplast(class)","Frankiales","Gitt_GS_136(class)","Bacteroidetes_vadinHA17(class)","Deinococcales","Legionellales","Cyanobacteria(phylum)","NB1_j","X35","Enterobacteriales","Subgroup_10","ML635J_21(class)","Acidobacteriales","Methylophilales","Solirubrobacterales","Oligosphaerales","SubsectionIV","KD4_96(class)","Anaeroplasmatales","Verrucomicrobiales","uncultured(class)","TK10(class)","SubsectionII","Candidatus_Nomurabacteria(class)","SC_I_84","Gemmatimonadales","Cellvibrionales","Latescibacteria(phylum)","SubsectionI","UA11(class)","Subgroup_2(class)","Lineage_IIb","Oligoflexales","Rhodocyclales","Lineage_IIc"
"X206695",0.0186335403726708,0.0062111801242236,0.263975155279503,0.13871635610765998,0.0,0.0,0.0,0.0041407867494824,0.0186335403726708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093167701863354,0.0289855072463768,0.0,0.0196687370600414,0.0,0.0,0.0,0.0010351966873706,0.0093167701863354,0.0082815734989648,0.0010351966873706,0.0041407867494824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05175983436853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400621118012422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.0,6.63327916155352e-05,0.19996020032503067,0.20277934396869052,0.0,0.0,0.0549235514576631,0.0,9.94991874233027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029186428310835457,0.0,0.07429272660939931,0.02016516865112271,0.0,0.0,0.000431163145500978,0.19200026533116651,0.0,0.0,6.63327916155351e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275281085204471,0.0,0.00285231003946801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24669165201817553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.2861706048568738,0.49617101437405337,0.0,0.0,4.09517179245669e-05,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010033170891518901,0.0,0.14505098488881568,0.020926327859453694,0.0,0.0,0.00016380687169826789,4.09517179245669e-05,0.019861583193414967,0.0,8.19034358491339e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021335845038699404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.0,0.0,0.33864912217971177,0.43805198984517474,0.0,0.0,0.000178782136088962,0.0,0.000214538563306754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.013051095934494227,0.0,0.1571494976221975,0.015267994421997354,0.0,0.0,0.0016805520792362424,0.000250294990524547,0.0133371473522366,0.0,0.0005005899810490934,0.0,0.0,0.0,0.0,0.0,0.000250294990524547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021310830621804215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.0005357908272610377,0.0013394770681525925,0.00300042863266181,0.0,0.0,0.0,0.0,0.000428632661808829,0.0,0.0,0.0,0.000964423489069867,0.0,0.0,0.0,0.0,0.000375053579082726,0.0,0.0,0.00032147449635662267,0.0,0.0,0.000589369909987141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000910844406343763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35790827261037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9914809258465495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.0,0.00169072701261542,0.004812069189751585,0.004421901417609573,0.0,0.0,0.0,0.00117050331642606,0.0105345298478346,0.0,0.0,0.0,0.0013005592404734,0.0,0.0,0.0,0.000520223696189361,0.0,0.0,0.00104044739237872,0.0,0.0,0.0,0.00416178956951489,0.00507218103784627,0.00013005592404734,0.000520223696189361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9644947327350757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.003602861701580109,0.6235524216377576,0.3273457203149934,0.0,0.0,0.001338205774872613,0.000308816717278295,5.14694528797159e-05,0.0,0.0,0.0,0.0,0.00025734726439858,0.0,0.0,0.0,0.002676411549745222,0.0,0.005249884193731017,0.029543465952956916,0.0,0.0,0.000514694528797159,0.001132327963353749,5.14694528797159e-05,0.0,0.000514694528797159,0.0,0.0,0.0,0.0,0.0,0.000669102887436307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00190436975654949,0.000308816717278295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000977919604714602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0,0.02065341558144848,0.39643591501028086,0.5467671921407353,0.0,0.0,0.001782042494859489,0.0,4.56933973040896e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000822481151473612,0.0,0.009367146447338359,0.006351382225268448,0.0,0.0,0.0001370801919122687,0.000502627370344985,9.13867946081791e-05,0.0,0.000731094356865432,0.0,0.0,0.0,0.0,0.0,9.13867946081791e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141192597669637,0.000137080191912269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001964816084075849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.0,8.20344544708778e-05,0.5054552912223138,0.41267432321575065,0.0,0.0,0.031214109926169006,0.0,4.10172272354389e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.10172272354389e-05,0.000123051681706317,0.006480721903199348,0.0,0.014602132895816236,0.013412633305988473,0.0,0.0,0.0009433962264150948,0.00143560295324036,0.000574241181296144,0.0,0.000287120590648072,0.0,0.0,0.0,0.0,0.0,0.000123051681706317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079163248564397,0.000492206726825267,0.0,0.000123051681706317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10172272354389e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037735849056603787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000164068908941756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.0,5.25513689631615e-05,0.49529665247779725,0.4507330915970362,0.0,0.0,0.024488937936833214,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105102737926323,0.00262756844815807,0.0,0.008355667665142676,0.007146986178989957,0.0,0.0,0.00047296232066845354,0.00199695202060014,0.000683167796521099,0.0,0.0002102054758526455,0.0,0.0,0.0,0.0,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00530768826527931,0.00036785958274213,0.0,0.000105102737926323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444006516369716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206704",0.0,0.0203596694928984,0.5386401684938165,0.2893017227412643,0.0,0.0,0.0516822379435114,0.0,0.000216017713452503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037803099854188,0.019711616352540883,0.0,0.05751471620672897,0.001080088567262516,0.0,0.0,0.000702057568720635,0.001080088567262516,0.00178214613598315,0.0,0.001242101852351892,0.0,0.0,0.0,0.0,0.0,0.000162013285089377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033482745585138,5.40044283631258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.40044283631258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104768591024464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00221418156288816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206703",0.0,0.00887452248016456,0.34728181016749926,0.5416985013223622,0.0,0.0,0.0340875697913606,0.0,0.00023508668821627977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87716720540699e-05,0.00993241257713782,0.0,0.035733176608874526,0.0011754334410813997,0.0,0.0,0.0006464883925947689,0.000999118424919189,0.000646488392594769,0.0,0.00035263003232442,0.0,0.0,0.0,0.0,0.0,5.87716720540699e-05,0.0002350866882162798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00717014399059653,0.00023508668821628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87716720540699e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008404349103732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00211578019394652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206753",0.0,0.009115488605639245,0.5033989957512555,0.3954036307454619,3.86249517188103e-05,0.0,0.00123599845500193,3.86249517188103e-05,3.86249517188103e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015449980687524132,0.01178061027423715,0.0,0.049362688296639555,0.0011973735032831212,0.0,0.0,0.000115874855156431,0.000231749710312862,0.0016608729239088401,0.0,0.00015449980687524132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00915411355735805,0.0,0.0,0.0,0.0,0.0,0.0,0.00135187331015836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86249517188103e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000926998841251448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146002317497103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206752",3.57040845472722e-05,0.00692659240217081,0.39495858326192473,0.4647957726363897,0.0,0.0,0.00146386746643816,3.57040845472722e-05,0.0002499285918309054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01820908311910878,0.0,0.05580548414738645,0.001570979720079977,0.0,0.0,3.57040845472722e-05,0.000214224507283633,0.001321051128249069,0.0,0.0001785204227363612,0.0,0.0,0.0,0.0,0.0,3.57040845472722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00574835761211083,0.0,0.0,0.0,0.0,0.0,0.0,0.00117823479005998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032133676092544936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0469151670951157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206711",0.0,0.0001299207483435105,0.5793599237798274,0.34138841973063083,0.0,0.0,0.000519682993374042,4.33069161145035e-05,0.0002165345805725175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000909445238404573,0.0,0.046944697068121745,0.021740071889480767,0.0,0.0,0.000476376077259538,0.000259841496687021,0.00272833571521372,0.0,0.002771642631328227,0.0,0.0,0.0,0.0,0.0,0.00012992074834351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00212203888961067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021653458057251698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33069161145035e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206710",0.0,0.0,0.5187714918272178,0.3864053888548686,0.0,0.0,0.00108342361863489,0.0,0.0002826322483395359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71053747232559e-05,0.00668896321070234,0.0,0.05049696170333033,0.015921616656460476,0.0,0.0,0.0023081633614395417,0.000518159121955815,0.00626501483819304,0.0,0.00390974610203024,0.0,0.0,0.0,0.0,0.0,4.71053747232559e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00711291158321164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000141316124169768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206713",0.0,0.00133536818008394,0.2578214421976346,0.7111312476154138,0.0,0.0,9.5383441434567e-05,0.000381533765738268,4.76917207172835e-05,0.0,0.0,0.0,9.5383441434567e-05,0.0,0.0,4.76917207172835e-05,0.0,0.0011922930179320869,0.0,0.006438382296833271,0.001526135062953071,0.0,0.0,0.000238458603586417,0.00543685616177032,0.00100152613506295,0.0,0.0006676840900419684,0.0,0.0,0.0,0.0,0.0,0.000190766882869134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118275467378863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000524608927890118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
