"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Tenericutes","Spirochaetae","Cyanobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Chlorobi","Tectomicrobia","Lentisphaerae","Euryarchaeota","Parcubacteria","Armatimonadetes","Gemmatimonadetes","Latescibacteria","Elusimicrobia"
"X206695",0.4585921325051756,0.3136645962732918,0.13871635610765998,0.025879917184265,0.0,0.0,0.0010351966873706,0.0093167701863354,0.0010351966873706,0.0,0.0,0.0,0.05175983436853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.3073861563463902,0.29776790156213717,0.20277934396869052,6.63327916155351e-05,0.0,0.0,0.0,0.19200026533116651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.021499651910397672,0.4623448953683603,0.49617101437405337,0.0199434866292641,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.021775664175635517,0.525798262237637,0.43805198984517474,0.014123788751028033,0.0,0.0,0.0,0.000250294990524547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.9924453493356193,0.002625375053579082,0.00487569652807544,5.35790827261037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.9768500455195731,0.010014306151645194,0.005722460658082972,0.0018207829366627612,0.0,0.0,0.0,0.00507218103784627,0.000520223696189361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.008183643007874823,0.6615368778629879,0.327603067579392,0.0015440835863914767,0.0,0.0,0.0,0.001132327963353749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.03870230751656388,0.4131140050262736,0.5467671921407353,0.0009138679460817902,0.0,0.0,0.0,0.000502627370344985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.043724364232977854,0.540894175553733,0.41267432321575065,0.0011074651353568498,0.0,0.0,0.000164068908941756,0.00143560295324036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.03231909191234427,0.5138998370907563,0.4507330915970362,0.001051027379263229,0.0,0.0,0.0,0.00199695202060014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206704",0.08619106766754876,0.6176486471890693,0.2893017227412643,0.003564292271966299,0.0,0.0,0.00221418156288816,0.001080088567262516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206703",0.0593006171025566,0.3947693211871879,0.5416985013223622,0.001116661769027329,0.0,0.0,0.00211578019394652,0.000999118424919189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206753",0.020509849362688296,0.5658555426805717,0.3954036307454619,0.0020084974893781328,0.0,0.0,0.0146002317497103,0.000231749710312862,0.0,0.0,0.00135187331015836,0.0,3.86249517188103e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206752",0.014745786918023428,0.47057983433304723,0.4647957726363897,0.001570979720079975,0.0,0.0,0.0469151670951157,0.000214224507283633,0.0,0.0,0.00117823479005998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206711",0.003204711792473257,0.649430514053094,0.34138841973063083,0.005673206010999961,0.0,0.0,4.33069161145035e-05,0.000259841496687021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206710",0.008620283574355833,0.5941871967591504,0.3864053888548686,0.010268971689669793,0.0,0.0,0.0,0.000518159121955815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
