"",kingdom,phylum,class,order,family,genus
Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodospirillales; __Acetobacteraceae; __Belnapia,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Belnapia
Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Comamonadaceae; __Tepidimonas,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Christensenellaceae; __Christensenellaceae_R_7_group,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae_R_7_group
Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Prevotellaceae; __Prevotella,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Family_XIII; __Family_XIII_AD3011_group,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_AD3011_group
Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Paracoccus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Ruminiclostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Run_SP154; __f; __g,Bacteria,Proteobacteria,Gammaproteobacteria,Run_SP154,Run_SP154(order),Run_SP154(order)
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pasteurellales; __Pasteurellaceae; __Frederiksenia,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Frederiksenia
Bacteria; __Actinobacteria; __Actinobacteria; __Corynebacteriales; __Corynebacteriaceae; __Corynebacterium,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pseudomonadales; __Moraxellaceae; __Moraxella,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Peptococcaceae; __uncultured,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,uncultured
Bacteria; __Chloroflexi; __JG30_KF_CM66; __o; __f; __g,Bacteria,Chloroflexi,JG30_KF_CM66,JG30_KF_CM66(class),JG30_KF_CM66(class),JG30_KF_CM66(class)
Bacteria; __Acidobacteria; __Solibacteres; __Solibacterales; __Solibacteraceae_Subgroup_3_; __Bryobacter,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae_Subgroup_3_,Bryobacter
Bacteria; __Actinobacteria; __Thermoleophilia; __Gaiellales; __uncultured; __g,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured(family)
Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodospirillales; __Acetobacteraceae; __Rhodovarius,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodovarius
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pseudomonadales; __Pseudomonadaceae; __Pseudomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Empedobacter,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Empedobacter
Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Sphingobacteriaceae; __Mucilaginibacter,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter
