OTU,LDA_score,CLass
Corynebacteriaceae,6.002917966948611,CD
Erysipelotrichaceae,7.005269494439795,CD
Clostridiaceae_1,7.202830601514748,CD
Thermoanaerobacteraceae,4.4951036570104685,UC
vadinBE97,5.127275717281382,UC
Carnobacteriaceae,5.866194870970287,UC
Clostridiales_vadinBB60_group,6.071134595887631,UC
Coriobacteriaceae,6.126512944656497,UC
Peptostreptococcaceae,6.298634588145645,UC
Victivallaceae,6.32970896711168,UC
Bifidobacteriaceae,7.277324014604228,UC
Christensenellaceae,7.36042188266497,UC
Porphyromonadaceae,7.443965868018077,UC
Ruminococcaceae,8.562188509492536,UC
Prevotellaceae,8.721322264856083,UC
Verrucomicrobiaceae,6.448134441740649,nonIBD
Rikenellaceae,7.275398880960231,nonIBD
Lachnospiraceae,8.26355386118507,nonIBD
Bacteroidaceae,8.465439503056123,nonIBD
