"","x"
"1","Belnapia"
"2","Christensenellaceae_R_7_group"
"3","Pseudomonas"
"4","Empedobacter"
"5","Sphingomonas"
"6","Sutterella"
"7","Leptotrichia"
"8","Sphingobacterium"
"9","Intestinibacter"
"10","Subdoligranulum"
"11","Defluviitaleaceae_UCG_011"
"12","Anaerofustis"
"13","Gordonibacter"
"14","Solobacterium"
"15","Mollicutes_RF9(order)"
"16","Enhydrobacter"
"17","Cnuella"
"18","Selenomonas"
"19","Paenibacillus"
"20","Family_XIII_UCG_002"
"21","Solibacillus"
"22","Anaerostipes"
"23","_Eubacterium_yurii_group"
"24","Allisonella"
"25","Dielma"
"26","Prevotellaceae_NK3B31_group"
"27","Peptoniphilus"
"28","Epulopiscium"
