"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Gammaproteobacteria","Actinobacteria","Solibacteres","Bacilli","Negativicutes","Flavobacteriia","Erysipelotrichia","Spartobacteria","Fusobacteriia","Sphingobacteriia","Coriobacteriia","Opitutae","Deinococci","Cytophagia","Melainabacteria","Deltaproteobacteria","Blastocatellia","Mollicutes","Verrucomicrobia_Incertae_Sedis","Anaerolineae","Chlorobia","OPB35_soil_group","Synergistia","Tectomicrobia(phylum)","Methanobacteria","Planctomycetacia","Thermoplasmata","Chloroplast","Epsilonproteobacteria","Acidimicrobiia","ML635J_21","Acidobacteria","Cyanobacteria","Verrucomicrobiae","TK10","Candidatus_Nomurabacteria","Subgroup_2"
"X206621",0.0,0.0,0.14705882352941177,0.6764705882352942,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206622",0.005792783846408474,0.0,0.4033432638199272,0.5607414763323403,0.009764978483945714,0.0023171135385633896,0.0026481297583581596,0.0008275405494869249,0.007944389275074478,0.0004965243296921549,0.0018205892088712346,0.0,0.0,0.0018205892088712346,0.0,0.0,0.0,0.0011585567692816948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006620324395895399,0.0,0.0,0.0,0.0,0.0,0.0,0.0006620324395895399,0.0,0.0,0.0,0.0
"X206620",0.0,0.0,0.3387096774193548,0.24193548387096775,0.41935483870967744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.09078212290502793,0.0,0.10893854748603352,0.0935754189944134,0.30027932960893855,0.25977653631284914,0.0,0.0,0.0,0.0,0.030726256983240222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027932960893854747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04748603351955307,0.0,0.01675977653631285,0.0,0.008379888268156424,0.015363128491620111,0.0,0.0,0.0,0.0
"X206623",0.0,0.0,0.004807692307692308,0.09134615384615384,0.19230769230769232,0.2932692307692308,0.0,0.11538461538461539,0.004807692307692308,0.2980769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206626",0.0,0.034782608695652174,0.6695652173913044,0.06956521739130435,0.11304347826086956,0.0,0.0,0.0,0.043478260869565216,0.0,0.013043478260869565,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05217391304347826,0.0,0.0,0.0
"X206625",0.0,0.05405405405405406,0.3159159159159159,0.5519519519519519,0.01921921921921922,0.0012012012012012011,0.0,0.013813813813813814,0.010810810810810811,0.0,0.02042042042042042,0.0,0.0,0.0,0.0012012012012012011,0.0,0.0,0.0,0.0,0.010810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006006006006006006,0.0,0.0,0.0
"X206628",0.0,0.0,0.21103896103896103,0.07142857142857142,0.4090909090909091,0.006493506493506494,0.0,0.05844155844155844,0.016233766233766232,0.0,0.21428571428571427,0.0,0.006493506493506494,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206627",0.0,0.35714285714285715,0.0,0.0,0.5476190476190477,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
"X206630",0.0008663008951775916,0.01891423621137742,0.5846087207623448,0.2822697083453653,0.015882183078255847,0.014149581287900665,0.0,0.0040427375108287615,0.012994513427663876,0.0015882183078255846,0.05111175281547791,0.0,0.004764654923476754,0.0,0.005919722783713543,0.0,0.0010106843777071904,0.0,0.0010106843777071904,0.0,0.0,0.0008663008951775916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
