"","x"
"1","Frederiksenia"
"2","Oscillibacter"
"3","Blautia"
"4","Flavobacterium"
"5","Ruminococcaceae_NK4A214_group"
"6","Ruminococcus"
"7","Anaerofustis"
"8","_Eubacterium_xylanophilum_group"
"9","Desulfovibrio"
"10","Erysipelatoclostridium"
"11","NS11_12_marine_group(family)"
"12","Lachnoclostridium"
"13","Cloacibacterium"
"14","ML635J_21(class)"
"15","Ruminococcaceae_UCG_004"
"16","Allisonella"
"17","Finegoldia"
"18","Anaeroplasma"
"19","Eggerthella"
"20","Candidatus_Stoquefichus"
"21","Methanobrevibacter"
"22","Propionibacterium"
