"","x"
"1","Solibacteraceae_Subgroup_3_"
"2","Blastocatellaceae_Subgroup_4_"
"3","Flavobacteriaceae"
"4","Defluviitaleaceae"
"5","Moraxellaceae"
"6","Desulfovibrionaceae"
"7","Unknown_Family"
"8","Thermoanaerobacteraceae"
"9","OPB35_soil_group(class)"
"10","Chitinophagaceae"
"11","Tectomicrobia(phylum)"
"12","Paenibacillaceae"
"13","Nocardiaceae"
"14","Methanobacteriaceae"
"15","Victivallaceae"
"16","Family_X"
"17","Brevibacteriaceae"
"18","Solirubrobacteraceae"
"19","Anaeroplasmataceae"
"20","TK10(class)"
"21","SC_I_84(order)"
