"","x"
"1","WCHB1_32(class)"
"2","Lachnospiraceae_UCG_001"
"3","Porphyromonas"
"4","Intestinibacter"
"5","Leuconostoc"
"6","Asticcacaulis"
"7","Hyphomicrobium"
"8","_Clostridium_innocuum_group"
"9","_Eubacterium_brachy_group"
"10","Anaerofustis"
"11","Blastocatella"
"12","Rheinheimera"
"13","OPB56(family)"
"14","Gelria"
"15","Alloprevotella"
"16","vadinBE97(family)"
"17","Selenomonas"
"18","Paenibacillus"
"19","Gordonia"
"20","Zimmermannella"
"21","Hydrotalea"
"22","Paludibacter"
"23","Rhodococcus"
"24","Lachnospira"
"25","Brevibacterium"
"26","Allisonella"
"27","Finegoldia"
"28","Anaeroplasma"
"29","Eggerthella"
"30","Candidatus_Stoquefichus"
"31","Ruminococcaceae_UCG_005"
"32","Methanobrevibacter"
"33","Succiniclasticum"
"34","_Eubacterium_ventriosum_group"
"35","Escherichia_Shigella"
