"","x"
"1","Frederiksenia"
"2","Oscillibacter"
"3","Ruminococcaceae_UCG_014"
"4","_Clostridium_innocuum_group"
"5","Meiothermus"
"6","Anaerofustis"
"7","Negativicoccus"
"8","Blastocatella"
"9","Plantactinospora"
"10","Rheinheimera"
"11","OPB56(family)"
"12","Gelria"
"13","vadinBE97(family)"
"14","Dorea"
"15","Fastidiosipila"
"16","Gordonia"
"17","Hydrotalea"
"18","Thermicanus"
"19","Zymomonas"
"20","Cloacibacterium"
"21","Brevibacterium"
"22","Dyadobacter"
"23","Allisonella"
"24","Prevotellaceae_NK3B31_group"
"25","Adlercreutzia"
"26","Eggerthella"
"27","Candidatus_Stoquefichus"
"28","Methanobrevibacter"
"29","Acidisphaera"
"30","Succiniclasticum"
