"","Betaproteobacteria","Clostridia","Bacteroidia","Alphaproteobacteria","Gammaproteobacteria","Actinobacteria","Solibacteres","Bacilli","Negativicutes","Flavobacteriia","Erysipelotrichia","Fusobacteriia","Deinococci","Sphingobacteriia","Coriobacteriia","Mollicutes","Melainabacteria","Deltaproteobacteria","Subgroup_6","Epsilonproteobacteria","Synergistia","MB_A2_108","Verrucomicrobia_Incertae_Sedis","Lentisphaeria","Methanobacteria","Planctomycetacia","Thermomicrobia","Chloroplast","Acidobacteria","Cytophagia","Thermoplasmata","Thermoleophilia","Blastocatellia","Verrucomicrobiae","Latescibacteria(phylum)"
"X206657",0.00868075830121842,0.4018840748958698,0.41013663435711784,0.0034645178870333607,0.000973179181750944,3.892716727003776e-05,0.0,0.0018295768616917747,0.0049826774105648335,0.0,0.0008953248472108685,0.0,7.785433454007552e-05,0.0,0.0003503445054303398,0.00015570866908015105,0.01163922301374129,0.003970571061543852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509206275059364,0.0
"X206658",0.008080313418217433,0.5227717923604309,0.2808521057786484,0.0020200783545543583,0.050257100881488735,0.0053868756121449556,0.0,0.002877081292850147,0.00581537708129285,0.0,0.0008570029382957884,0.0,0.0,0.0,0.00018364348677766894,0.0,0.0012242899118511264,0.003672869735553379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012242899118511264,0.0004285014691478942,0.0,0.0,0.0,0.0,0.11545053868756121,0.0
"X206704",0.020413673921261543,0.5386401684938165,0.2893017227412648,0.0,0.0624291191877734,0.0023221904196144083,0.0,0.020413673921261543,0.057514716206728954,0.0,0.0010800885672625155,0.0010800885672625155,0.0,0.0,0.0012421018523518929,0.0,0.0,0.003348274558513798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022141815628881566,0.0
"X206703",0.00910960916838084,0.34728181016749926,0.5416985013223626,0.00023508668821627975,0.042785777255362915,0.0007640317367029092,0.0,0.010578900969732588,0.035733176608874526,0.0,0.0011754334410813989,0.000999118424919189,0.0,0.0,0.0003526300323244196,0.0,0.0,0.007170143990596532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002115780193946518,0.0
"X206753",0.009115488605639243,0.5033989957512554,0.3954036307454616,3.862495171881035e-05,0.00220162224797219,0.0018539976825028969,0.0,0.011896485129393588,0.04936268829663963,0.0,0.001197373503283121,0.0002317497103128621,0.0,0.0,0.0001544998068752414,0.0013518733101583623,0.0,0.009154113557358054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.862495171881035e-05,0.0,0.0,0.0,0.0,0.0,0.014600231749710313,0.0
"X206752",0.0069265924021708085,0.3949585832619252,0.4647957726363896,3.570408454727221e-05,0.002035132819194516,0.001392459297343616,0.0,0.018244787203656097,0.05580548414738646,0.0,0.001570979720079977,0.00021422450728363326,0.0,0.0,0.00017852042273636104,0.001178234790059983,0.0,0.0057483576121108255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04691516709511568,0.0
"X206711",0.00012992074834351045,0.5793599237798276,0.341388419730631,0.0,0.0009527521545190767,0.0029015633796717335,0.0,0.0013858213156641116,0.04694469706812178,0.0,0.02174007188948075,0.0002598414966870209,0.0,0.0,0.002771642631328223,0.0,0.0,0.002122038889610671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.330691611450349e-05,0.0
"X206710",0.0,0.5187714918272175,0.38640538885486836,0.0,0.0015073719911441895,0.0063592255876395495,0.0,0.008997126572141882,0.05049696170333035,0.0,0.015921616656460504,0.0005181591219558152,0.0,0.0,0.003909746102030241,0.0,0.0,0.007112911583211644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206719",0.0045281729249433975,0.4729377589815883,0.4947669699688154,0.0,0.0008116536374898544,0.0011106839249861165,0.0,8.543722499893203e-05,0.004400017087445,8.543722499893203e-05,0.012772865137340338,0.0,0.0,0.0,0.00042718612499466016,0.0,0.0,0.008031099149899612,0.0,4.2718612499466016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.003715630418627694,0.4649492197176121,0.5189497151350012,0.0,0.0004954173891503591,0.0004334902155065643,0.0,0.0006192717364379489,0.0026628684666831805,0.0,0.005016101065147387,0.0,0.0,6.192717364379489e-05,6.192717364379489e-05,0.0,0.0,0.002972504334902155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192717364379489e-05,0.0
"X206726",0.0001254495274734465,0.5385130049343481,0.42414485238772265,0.0,0.005185247135569122,0.0005854311282094171,0.0,0.00037634858242033953,0.013255833403027516,0.0,0.007359705611775529,0.008990549468930334,0.0,0.0,0.00020908254578907754,0.0,0.0,0.0006690641465250481,0.0,0.0005854311282094171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206725",0.00011280740016545086,0.6570279010303076,0.30048131157403923,0.0,0.009400616680454239,0.00018801233360908476,0.0,0.0003008197337745356,0.007294878544032489,0.0,0.0034594269384071595,0.020568549296833872,0.0,0.0,7.52049334436339e-05,0.0,0.0,0.00018801233360908476,0.0,0.0009024592013236069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
