"","x"
"1","Paracoccus"
"2","Faecalibacterium"
"3","Lachnospiraceae_UCG_001"
"4","Alloscardovia"
"5","Collinsella"
"6","Bacteroides"
"7","Hydrogenoanaerobacterium"
"8","Butyricicoccus"
"9","Ruminococcaceae_NK4A214_group"
"10","Fusobacterium"
"11","Actinomyces"
"12","Lachnospiraceae_NK4A136_group"
"13","Butyricimonas"
"14","Phascolarctobacterium"
"15","Atopostipes"
"16","Barnesiella"
"17","Lachnospiraceae(family)"
"18","Lactococcus"
"19","Haemophilus"
"20","Aerococcus"
"21","Alishewanella"
"22","Proteus"
"23","Johnsonella"
"24","_Eubacterium_ventriosum_group"
"25","Rhodopseudomonas"
"26","Epulopiscium"
