"","Bacteria","Archaea"
"X206614",0.9999999999999997,0.0
"X206616",1.0,0.0
"X206620",1.0,0.0
"X206623",0.9999999999999998,0.0
"X206627",0.9999999999999999,0.0
"X206629",0.9999999999999997,0.0
"X206635",0.9999999999999996,0.0
"X206643",1.0000000000000004,0.0
"X206645",1.0000000000000004,0.0
"X206647",0.9999999999999991,0.0
"X206655",1.0,0.0
"X206657",0.9999999999999999,0.0
"X206659",0.9999999999999998,0.0
"X206667",1.0000000000000009,0.0
"X206669",0.9999999999999996,0.0
"X206671",0.9999999999999998,0.0
"X206675",0.9994936708860758,0.000506329113924051
"X206677",0.999999999999999,0.0
"X206681",1.0000000000000004,0.0
"X206683",1.0000000000000004,0.0
"X206534",0.9999999999999992,0.0
"X206547",1.0000000000000002,0.0
"X206563",1.0,0.0
"X206569",1.0000000000000007,0.0
"X206571",1.0,0.0
"X206604",1.0,0.0
"X206608",0.9999999999999992,0.0
"X215084",0.9999999999999996,0.0
"X214994",0.9999999999999997,0.0
"X215003",1.0000000000000002,0.0
"X215007",1.0000000000000002,0.0
"X215009",0.9999999999999981,0.0
"X215048",0.9999999999999999,0.0
"X215055",0.9996414056896973,0.00035859431030361
"X215057",0.9995076130596173,0.0004923869403833038
"X215076",0.9999999999999988,0.0
"X215077",1.0000000000000007,0.0
"X222171",0.9999999999999999,0.0
"X224845",1.0,0.0
